
[00:00:00.000 --> 00:00:01.360]  如果是嚴重的
[00:00:01.360 --> 00:00:03.320]  可能會錯失了
[00:00:03.320 --> 00:00:05.240]  約一個客戶的時候
[00:00:05.240 --> 00:00:07.800]  可能會錯失了一單生意
[00:00:07.800 --> 00:00:11.480]  甚至朋友有時候可能也沒得做
[00:00:11.480 --> 00:00:13.680]  因為搞錯了一些很重要的事情
[00:00:13.680 --> 00:00:16.240]  如果搞錯了交稅的時間
[00:00:16.240 --> 00:00:17.640]  我們會怎樣?
[00:00:17.640 --> 00:00:19.360]  就會罰錢
[00:00:19.360 --> 00:00:23.880]  這些有些辦法可以在當中去彌補
[00:00:23.880 --> 00:00:26.520]  但是如果我們搞錯了信仰的話
[00:00:26.520 --> 00:00:30.840]  不但可能會錯過了我們一個豐盛的生命
[00:00:30.840 --> 00:00:31.880]  更加重要的是
[00:00:31.880 --> 00:00:35.760]  我們錯過了能夠得到這份救恩
[00:00:35.760 --> 00:00:38.840]  所以今天很想和大家透過《羅馬書》
[00:00:38.840 --> 00:00:41.720]  九章三十到三十三節
[00:00:41.720 --> 00:00:43.640]  這段經文我們先讀一讀
[00:00:43.640 --> 00:00:46.680]  然後我們繼續在當中分享神的話
[00:00:46.680 --> 00:00:48.600]  我們先讀一下這段經文
[00:00:48.600 --> 00:00:50.400]  三十到三十三節
[00:00:50.400 --> 00:00:53.440]  「這樣我們要怎麼說呢?
[00:00:53.440 --> 00:00:57.760]  那不追求義的外邦人卻獲得了義
[00:00:57.760 --> 00:01:00.560]  就是因信而獲得的義
[00:01:00.560 --> 00:01:03.800]  但以色列人追求律法的義
[00:01:03.800 --> 00:01:06.760]  反而達不到律法的義
[00:01:06.760 --> 00:01:08.680]  是什麼緣故呢?
[00:01:08.680 --> 00:01:11.840]  是因為他們憑著信心
[00:01:11.840 --> 00:01:13.800]  而是憑著行為
[00:01:13.800 --> 00:01:17.280]  他們正跌在那盤石上
[00:01:17.280 --> 00:01:19.280]  就如經上所記
[00:01:19.280 --> 00:01:23.160]  我在石安放一塊半腳的石頭
[00:01:23.160 --> 00:01:25.520]  使人跌倒的盤石
[00:01:25.520 --> 00:01:29.440]  信靠他的人必不蒙羞」
