
[00:00:00.000 --> 00:00:05.000]  今天我想和大家分享的題目是
[00:00:05.000 --> 00:00:08.000]  敢於承擔
[00:00:08.000 --> 00:00:14.000]  我有兩個副題給了今天的題目
[00:00:14.000 --> 00:00:17.000]  第一個是強弱懸殊又如何
[00:00:17.000 --> 00:00:21.000]  第二個是越歌頌越得力
[00:00:21.000 --> 00:00:26.000]  今天我們做基督徒除了要成長
[00:00:26.000 --> 00:00:30.000]  更新我們和神的關係
[00:00:30.000 --> 00:00:35.000]  成長中還有很多事情需要學習去承擔
[00:00:35.000 --> 00:00:37.000]  在今天的晚上
[00:00:37.000 --> 00:00:40.000]  我們從事事底波拉的身上
[00:00:40.000 --> 00:00:44.000]  看看對我們有什麼提醒
[00:00:44.000 --> 00:00:51.000]  不知道你認為一位事事需要具備什麼條件呢?
[00:00:51.000 --> 00:00:56.000]  我們先看看事實時代的歷史背景
[00:00:56.000 --> 00:01:00.000]  《事事記》記錄了以色列歷史上
[00:01:00.000 --> 00:01:03.000]  自約書亞去世後
[00:01:03.000 --> 00:01:07.000]  到薩姆爾興起的期間
[00:01:07.000 --> 00:01:12.000]  神的子民所渡過的過渡時期
[00:01:12.000 --> 00:01:15.000]  約書亞死後
[00:01:15.000 --> 00:01:18.000]  以色列人有300年的時間
[00:01:18.000 --> 00:01:22.000]  在事事的引導之下經過
[00:01:22.000 --> 00:01:26.000]  以色列人進入了迦南地後
[00:01:26.000 --> 00:01:28.000]  他們沒有領袖的帶領
[00:01:28.000 --> 00:01:31.000]  也沒有國王的統治
[00:01:31.000 --> 00:01:33.000]  他們對上帝的不忠
[00:01:33.000 --> 00:01:36.000]  時時帶來很多的災禍
[00:01:36.000 --> 00:01:39.000]  但是當他們悔改
[00:01:39.000 --> 00:01:42.000]  再次歸向上帝的時候
[00:01:42.000 --> 00:01:45.000]  上帝就隨時寬恕他們
[00:01:45.000 --> 00:01:48.000]  拯救他們
[00:01:48.000 --> 00:01:52.000]  事事就像從前約書亞一樣
[00:01:52.000 --> 00:01:57.000]  帶領以色列人同心對抗敵人
[00:01:57.000 --> 00:02:04.000]  究竟事事的角色和承擔是有什麼呢?
[00:02:04.000 --> 00:02:08.000]  事事不單止平日會教導人民
[00:02:08.000 --> 00:02:10.000]  上帝的律例典章
[00:02:10.000 --> 00:02:12.000]  傳遞上帝的話
[00:02:12.000 --> 00:02:16.000]  也處理民事的訴訟
[00:02:16.000 --> 00:02:20.000]  事事在以色列人眼中是民族的英雄
[00:02:20.000 --> 00:02:22.000]  帶領他們對抗
[00:02:22.000 --> 00:02:27.000]  完全還沒說出去的一班迦南人
[00:02:27.000 --> 00:02:31.000]  事事的出身每個都很不同
[00:02:31.000 --> 00:02:34.000]  性格也有很大的分別
[00:02:34.000 --> 00:02:37.000]  但唯一他們共通的
[00:02:37.000 --> 00:02:41.000]  就是他們都很熱愛自己的民族
[00:02:41.000 --> 00:02:49.000]  很熱愛自己以色列的身份
[00:02:49.000 --> 00:02:56.000]  事事對耶和華是絕對的倚靠和忠心
[00:02:56.000 --> 00:03:01.000]  而底波拉就是當中唯一的女性
[00:03:01.000 --> 00:03:04.000]  她本身已經是一個女事師
[00:03:04.000 --> 00:03:08.000]  一直傳遞上帝的話給以色列民聽
[00:03:08.000 --> 00:03:12.000]  後來上帝呼召她成為女事師
[00:03:12.000 --> 00:03:14.000]  除了繼續教導以色列民
[00:03:14.000 --> 00:03:16.000]  律法、戒命之外
[00:03:16.000 --> 00:03:21.000]  她也會為百姓排解糾紛
[00:03:21.000 --> 00:03:26.000]  究竟他們會在哪裡跟以色列民見面呢?
[00:03:26.000 --> 00:03:31.000]  我們先看看這幅地圖
[00:03:31.000 --> 00:03:35.000]  真的很感謝你
[00:03:35.000 --> 00:03:39.000]  因為你幫我剪掉了兩個很小的字
[00:03:39.000 --> 00:03:42.000]  因為我弄得很大
[00:03:42.000 --> 00:03:45.000]  原來底波拉是住在哪裡呢?
[00:03:45.000 --> 00:03:48.000]  她住在地圖下方南方
[00:03:48.000 --> 00:03:55.000]  位於拉瑪和伯特利中間的一個以法連山區
[00:03:55.000 --> 00:03:57.000]  而她跟以色列民見面
[00:03:57.000 --> 00:03:58.000]  在哪裡見面呢?
[00:03:58.000 --> 00:04:01.000]  就不像我們這樣有個教會
[00:04:01.000 --> 00:04:04.000]  或者會堂或會幕
[00:04:04.000 --> 00:04:08.000]  她就在一棵樹下
[00:04:08.000 --> 00:04:09.000]  一棵棕櫚樹
[00:04:09.000 --> 00:04:13.000]  我想大家在香港也見過棕櫚樹吧?
[00:04:13.000 --> 00:04:17.000]  她就整天都站在那裡
[00:04:17.000 --> 00:04:18.000]  不會去別處
[00:04:18.000 --> 00:04:22.000]  以色列民自然有什麼糾紛
[00:04:22.000 --> 00:04:25.000]  有什麼解決不了的事
[00:04:25.000 --> 00:04:28.000]  就會來到這棵棕樹下
[00:04:28.000 --> 00:04:31.000]  當然地圖上看不到棕樹在哪裡
[00:04:31.000 --> 00:04:33.000]  我們要有些想像力
[00:04:33.000 --> 00:04:36.000]  她會在以法連山區住
[00:04:36.000 --> 00:04:39.000]  位於拉瑪和伯特利中間
[00:04:39.000 --> 00:04:43.000]  底波拉常常在那棵樹下安靜
[00:04:43.000 --> 00:04:49.000]  祈禱和接見以色列民
[00:04:49.000 --> 00:04:52.000]  以色列民經常來到這棵樹下
[00:04:52.000 --> 00:04:54.000]  找底波拉這位女士師
[00:04:54.000 --> 00:04:56.000]  跟他們主持公道
[00:04:56.000 --> 00:04:58.000]  因為當年沒有法庭
[00:04:58.000 --> 00:05:02.000]  也沒有司法機構
[00:05:02.000 --> 00:05:05.000]  所以底波拉除了是教導神
[00:05:05.000 --> 00:05:11.000]  也像是一個審判司法官
[00:05:11.000 --> 00:05:15.000]  當以色列人面對加南人的威脅下
[00:05:15.000 --> 00:05:19.000]  底波拉扮演了安慰者的角色
[00:05:19.000 --> 00:05:22.000]  鼓勵以色列人無論遇到什麼事
[00:05:22.000 --> 00:05:25.000]  都要交託給上帝
[00:05:25.000 --> 00:05:27.000]  因為唯有上帝
[00:05:27.000 --> 00:05:33.000]  才是以色列人的後盾和倚靠
[00:05:33.000 --> 00:05:34.000]  試想像
[00:05:34.000 --> 00:05:36.000]  如果有一個這樣的人在我們中間
[00:05:36.000 --> 00:05:37.000]  也不錯
[00:05:37.000 --> 00:05:39.000]  可以主持公道
[00:05:39.000 --> 00:05:43.000]  又可以安慰你
[00:05:43.000 --> 00:05:44.000]  在以前的社會
[00:05:44.000 --> 00:05:46.000]  女性要做到這件事
[00:05:46.000 --> 00:05:48.000]  實在很不容易
[00:05:48.000 --> 00:05:49.000]  如果在軍人當中
[00:05:49.000 --> 00:05:51.000]  更加困難
[00:05:51.000 --> 00:05:54.000]  因為在當時的時代
[00:05:54.000 --> 00:05:58.000]  其實以色列人也不太跟隨上帝
[00:05:58.000 --> 00:06:01.000]  在這麼艱難的情況下
[00:06:01.000 --> 00:06:03.000]  底波拉是如何做到
[00:06:03.000 --> 00:06:07.000]  這個事實的角色呢
[00:06:07.000 --> 00:06:08.000]  我們也知道
[00:06:08.000 --> 00:06:10.000]  在以色列這個社會
[00:06:10.000 --> 00:06:14.000]  都是父權為主
[00:06:14.000 --> 00:06:17.000]  而在當中要做一個女性的領袖
[00:06:17.000 --> 00:06:19.000]  是非常艱難的
[00:06:19.000 --> 00:06:21.000]  甚至像底波拉
[00:06:21.000 --> 00:06:23.000]  她本身是一個先知
[00:06:23.000 --> 00:06:25.000]  要做一個文職
[00:06:25.000 --> 00:06:27.000]  要轉去做一個士師
[00:06:27.000 --> 00:06:28.000]  士師在士師時代來說
[00:06:28.000 --> 00:06:31.000]  甚至可能要上戰場打仗
[00:06:31.000 --> 00:06:34.000]  由一個文將變成一個武將
[00:06:34.000 --> 00:06:37.000]  其實轉變也很大
[00:06:37.000 --> 00:06:39.000]  在這麼艱難的環境
[00:06:39.000 --> 00:06:43.000]  或者不利於底波拉這個女先知的環境下
[00:06:43.000 --> 00:06:47.000]  她如何仍然能夠作出承擔呢
[00:06:47.000 --> 00:06:49.000]  在這個承擔中
[00:06:49.000 --> 00:06:53.000]  她如何能夠經歷到神的作為呢
[00:06:53.000 --> 00:06:57.000]  同樣地,今天我們身處的香港社會中
[00:06:57.000 --> 00:07:02.000]  可能也有對基督教不友善的情況
[00:07:02.000 --> 00:07:05.000]  無論你身處的工作
[00:07:05.000 --> 00:07:07.000]  會不會也遇到一些
[00:07:07.000 --> 00:07:11.000]  跟你基督信仰有衝突的地方出現呢
[00:07:11.000 --> 00:07:15.000]  我是否也可以像底波拉這位女士一樣
[00:07:15.000 --> 00:07:22.000]  有勇氣去承擔我這個基督徒的身份呢
[00:07:22.000 --> 00:07:27.000]  我們看看底波拉除了做一個先知
[00:07:27.000 --> 00:07:33.000]  在士師上,她如何在軍人當中扮演一個重要的角色
[00:07:33.000 --> 00:07:36.000]  在《士師記》第四章記載
[00:07:36.000 --> 00:07:39.000]  有一天,底波拉派人
[00:07:39.000 --> 00:07:41.000]  在先前的地圖我們看到
[00:07:41.000 --> 00:07:47.000]  由以法連山,最底的南方
[00:07:47.000 --> 00:07:52.000]  去到最上方的基底斯
[00:07:52.000 --> 00:07:55.000]  這個地方有點難讀,我經常說基底斯
[00:07:55.000 --> 00:07:57.000]  基底斯這個地方
[00:07:57.000 --> 00:08:00.000]  去找一個打仗的將軍
[00:08:00.000 --> 00:08:02.000]  為何要去找他呢
[00:08:02.000 --> 00:08:04.000]  他領受了神的指示
[00:08:04.000 --> 00:08:07.000]  他要派人去拿波他利
[00:08:07.000 --> 00:08:10.000]  即是上面基底斯的地方
[00:08:10.000 --> 00:08:13.000]  去召一個將軍回來
[00:08:13.000 --> 00:08:14.000]  這個將軍是誰呢
[00:08:14.000 --> 00:08:16.000]  按聖經的記載
[00:08:16.000 --> 00:08:20.000]  他叫阿比羅恩的兒子巴拉
[00:08:20.000 --> 00:08:23.000]  雖然有個拉字,但他是個男孩
[00:08:23.000 --> 00:08:26.000]  巴拉
[00:08:26.000 --> 00:08:28.000]  底波拉派人去叫巴拉
[00:08:28.000 --> 00:08:31.000]  從這個北方上面基底斯
[00:08:31.000 --> 00:08:33.000]  來到下面
[00:08:33.000 --> 00:08:34.000]  做甚麼呢
[00:08:34.000 --> 00:08:37.000]  我們一起讀出底波拉要說的話
[00:08:37.000 --> 00:08:40.000]  我想請大家一起讀出
[00:08:40.000 --> 00:08:42.000]  以下的經文
[00:08:42.000 --> 00:08:46.000]  在《士司記》四章六至七節
[00:08:46.000 --> 00:08:47.000]  底波拉是怎樣說的呢
[00:08:47.000 --> 00:08:49.000]  請大家讀出
[00:08:49.000 --> 00:08:51.000]  耶和華以色列的神
[00:08:51.000 --> 00:08:53.000]  吩咐你
[00:08:53.000 --> 00:08:56.000]  你要率領一萬拿忽他利人
[00:08:56.000 --> 00:09:00.000]  和西布倫人上他爬山去
[00:09:00.000 --> 00:09:04.000]  我必使耶賓的將軍西西拉
[00:09:04.000 --> 00:09:06.000]  率領他的戰車
[00:09:06.000 --> 00:09:09.000]  和全軍往基遜河
[00:09:09.000 --> 00:09:11.000]  到你那裡去
[00:09:11.000 --> 00:09:16.000]  我必把他交在你手中
[00:09:16.000 --> 00:09:17.000]  原來呢
[00:09:17.000 --> 00:09:20.000]  底波拉派人召喚巴拉
[00:09:20.000 --> 00:09:22.000]  下來南方
[00:09:22.000 --> 00:09:23.000]  這麼遠
[00:09:23.000 --> 00:09:25.000]  來到這個棕樹底下
[00:09:25.000 --> 00:09:29.000]  接受底波拉的吩咐
[00:09:29.000 --> 00:09:32.000]  當他接到這個吩咐的時候
[00:09:32.000 --> 00:09:34.000]  巴拉會怎樣想呢
[00:09:34.000 --> 00:09:35.000]  這位將軍
[00:09:35.000 --> 00:09:41.000]  堂堂的一個大將軍
[00:09:41.000 --> 00:09:43.000]  他這樣回答底波拉
