
[00:00:00.000 --> 00:00:03.320]  大兄提醒我們買了機票沒有?
[00:00:03.320 --> 00:00:10.200]  我不知道大家現在社會環境較為寬鬆
[00:00:10.200 --> 00:00:11.920]  可以有多一點點歡欣
[00:00:11.920 --> 00:00:15.080]  多想一點點都是感恩的事情
[00:00:15.080 --> 00:00:22.360]  所以今天無礙我們一起在神面前領受上帝的說話
[00:00:22.360 --> 00:00:24.280]  繼續在《以西傑書》看
[00:00:24.280 --> 00:00:27.720]  我們如何面對時代的不斷轉變
[00:00:27.720 --> 00:00:33.360]  開心的時候不如我們一起祈禱
[00:00:33.360 --> 00:00:37.080]  秋月主我們有個很美好的提醒
[00:00:37.080 --> 00:00:40.480]  就是我們如何拿著和祢的關係
[00:00:40.480 --> 00:00:42.520]  才是最重要的一個機票
[00:00:42.520 --> 00:00:46.200]  求主祢幫助我們在聖經裡面
[00:00:46.200 --> 00:00:50.640]  我們繼續讓上帝的說話充滿我們
[00:00:50.640 --> 00:00:53.280]  讓自己的靈在眾人心中運行
[00:00:53.280 --> 00:00:55.160]  亦在會場當中運行
[00:00:55.160 --> 00:00:57.760]  讓我們順服地來到祢的面前
[00:00:57.760 --> 00:01:00.840]  按祢的訓示將我們自己擺上
[00:01:00.840 --> 00:01:02.520]  願主祢大力看顧我們
[00:01:02.520 --> 00:01:04.360]  我們禱告奉耶穌基督的名
[00:01:04.360 --> 00:01:05.160]  阿們
[00:01:05.160 --> 00:01:08.680]  我首先跟大家讀出今天的《以西傑書》
[00:01:08.680 --> 00:01:11.280]  《以西傑書》今天是第24章
[00:01:11.280 --> 00:01:12.760]  《以西傑書》總共有48章
[00:01:12.760 --> 00:01:15.440]  24章是一個中心點
[00:01:15.440 --> 00:01:19.520]  我們一起思想這個中心點要向我們說的話
[00:01:19.520 --> 00:01:25.000]  我們一起讀出24章一至二節和15至27節
[00:01:25.000 --> 00:01:26.160]  好,我們一起讀
[00:01:26.160 --> 00:01:27.240]  1、2、3
[00:01:27.560 --> 00:01:30.200]  第九年十月初十
[00:01:30.200 --> 00:01:33.200]  耶和華的話臨到我說
[00:01:33.200 --> 00:01:37.840]  人子啊,你要記錄這一天的名稱
[00:01:37.840 --> 00:01:39.840]  這特別的一天
[00:01:39.840 --> 00:01:43.320]  巴比倫王圍困耶路撒冷
[00:01:43.320 --> 00:01:45.800]  就在這特別的一天
[00:01:45.800 --> 00:01:46.760]  15節
[00:01:46.760 --> 00:01:49.920]  耶和華的話臨到我說
[00:01:49.920 --> 00:01:51.840]  人子看啊
[00:01:51.840 --> 00:01:56.680]  我要以災病奪取你眼中所喜愛的
[00:01:56.680 --> 00:01:59.360]  你卻不可悲哀哭泣
[00:01:59.360 --> 00:02:01.320]  也不可流淚
[00:02:01.320 --> 00:02:03.040]  只可嘆息
[00:02:03.040 --> 00:02:04.600]  不可出聲
[00:02:04.600 --> 00:02:07.000]  不可辦理喪事
[00:02:07.000 --> 00:02:08.720]  裹上頭巾
[00:02:08.720 --> 00:02:10.600]  腳上穿鞋
[00:02:10.600 --> 00:02:12.960]  不可互著互需
[00:02:12.960 --> 00:02:16.480]  也不可吃一般人的食物
[00:02:16.480 --> 00:02:17.680]  到了
[00:02:17.680 --> 00:02:21.880]  我把這事告訴百姓
[00:02:21.880 --> 00:02:25.200]  晚上我的妻子就死了
[00:02:25.200 --> 00:02:28.920]  次日早晨我就遵命而行
[00:02:28.920 --> 00:02:30.720]  百姓對我說
[00:02:30.720 --> 00:02:34.760]  你這樣做跟我們有什麼關係
[00:02:34.760 --> 00:02:37.160]  你不告訴我們嗎
[00:02:37.160 --> 00:02:39.080]  我對他們說
[00:02:39.080 --> 00:02:42.160]  耶和華的話臨到我說
[00:02:42.160 --> 00:02:44.600]  你告訴以色列家
[00:02:44.600 --> 00:02:47.120]  主耶和華如此說
[00:02:47.120 --> 00:02:51.040]  我要使我的聖所被褻瀆
[00:02:51.040 --> 00:02:54.840]  就是你們憑勢力所誇耀
[00:02:54.840 --> 00:02:56.840]  眼裡所喜愛
[00:02:56.840 --> 00:02:59.200]  心中所愛惜的
[00:02:59.200 --> 00:03:02.520]  並且你們所遺留的兒女
[00:03:02.520 --> 00:03:04.520]  必倒在刀下
[00:03:04.520 --> 00:03:08.920]  那時你們要照我所做的去做
[00:03:08.920 --> 00:03:11.760]  你們不可互著互需
[00:03:11.760 --> 00:03:14.920]  也不可吃一般人的食物
[00:03:14.920 --> 00:03:18.120]  你們頭要裹上頭巾
[00:03:18.120 --> 00:03:20.560]  腳要穿上鞋
[00:03:20.560 --> 00:03:23.000]  不可悲哀哭泣
[00:03:23.000 --> 00:03:26.920]  你們必因自己的罪孽需殘
[00:03:26.920 --> 00:03:28.920]  相對嘆息
[00:03:28.920 --> 00:03:33.280]  以西傑必這樣成為你們的預兆
[00:03:33.280 --> 00:03:35.280]  凡他所做的
[00:03:35.280 --> 00:03:37.880]  你們也必照樣做
[00:03:37.880 --> 00:03:39.560]  那時來到
[00:03:39.560 --> 00:03:43.280]  你們就知道我是耶和華
[00:03:43.280 --> 00:03:45.040]  你人子啊
[00:03:45.040 --> 00:03:50.120]  那日當我除掉他們所倚靠的保障
[00:03:50.120 --> 00:03:52.800]  所歡喜的榮耀
[00:03:52.800 --> 00:03:55.320]  並眼中所喜愛的
[00:03:55.320 --> 00:03:58.680]  心裡所縱橫的兒女時
[00:03:58.680 --> 00:04:02.400]  逃脫的人豈不來到你這裡
[00:04:02.400 --> 00:04:05.000]  使你耳聞這事嗎
[00:04:05.000 --> 00:04:09.560]  那日你要向逃脫的人開口說話
