
[00:00:00.000 --> 00:00:03.480]  各位第四子堂的弟兄姊妹
[00:00:03.480 --> 00:00:04.480]  主內平安
[00:00:04.480 --> 00:00:05.480]  主內平安
[00:00:05.480 --> 00:00:08.480]  很開心今天跟大家一起分享
[00:00:08.480 --> 00:00:11.480]  想到大家的時候
[00:00:11.480 --> 00:00:15.480]  今早就想起《針研書》第四章
[00:00:15.480 --> 00:00:19.480]  它說二人的道路越走越明
[00:00:19.480 --> 00:00:22.480]  我也希望第四子堂在前面
[00:00:22.480 --> 00:00:26.480]  神帶領我們可以越走越明亮
[00:00:26.480 --> 00:00:30.480]  成為北區的一個燈台
[00:00:30.480 --> 00:00:34.480]  今天是教會《釋經講道》的系列
[00:00:34.480 --> 00:00:37.480]  就是已忽所書第三章
[00:00:37.480 --> 00:00:39.480]  今天跟大家思想
[00:00:39.480 --> 00:00:42.480]  一到第十三節
[00:00:42.480 --> 00:00:43.480]  我給了一個題目叫做
[00:00:43.480 --> 00:00:45.480]  被囚者的榮耀
[00:00:45.480 --> 00:00:49.480]  被囚者當然就是受到限制
[00:00:49.480 --> 00:00:52.480]  受到一些的規限
[00:00:52.480 --> 00:00:55.480]  但是在這個規限裏面
[00:00:55.480 --> 00:00:57.480]  我們看到使徒保羅
[00:00:57.480 --> 00:01:00.480]  他的生命呈現一個很美麗的見證
[00:01:00.480 --> 00:01:03.480]  他也很盼望已忽所的教會
[00:01:03.480 --> 00:01:05.480]  能夠同樣好像他看到
[00:01:05.480 --> 00:01:09.480]  神在他們身上的工作
[00:01:09.480 --> 00:01:12.480]  或者我們先開始讀一讀
[00:01:12.480 --> 00:01:15.480]  一到十三節的經文
[00:01:15.480 --> 00:01:17.480]  預備起
[00:01:17.480 --> 00:01:21.480]  因此我保羅為你們愛邦人
[00:01:21.480 --> 00:01:23.480]  作了基督耶穌被囚的
[00:01:23.480 --> 00:01:25.480]  替你們祈禱
[00:01:25.480 --> 00:01:29.480]  量必你們曾聽見神賜恩給我
[00:01:29.480 --> 00:01:32.480]  將關切你們的積分託付我
[00:01:32.480 --> 00:01:36.480]  用啟示使我知道福音的奧秘
[00:01:36.480 --> 00:01:39.480]  正如我以前略略寫過的
[00:01:39.480 --> 00:01:44.480]  你們念了就能了解我知基督的奧秘
[00:01:44.480 --> 00:01:47.480]  這奧秘在以前的世代
[00:01:47.480 --> 00:01:49.480]  沒有叫人知道
[00:01:49.480 --> 00:01:55.480]  像如今藉著聖靈啟示他的聖徒和先知一樣
[00:01:55.480 --> 00:01:59.480]  這就是愛邦人在基督耶穌裏
[00:01:59.480 --> 00:02:02.480]  藉著福音得以同為後製
[00:02:02.480 --> 00:02:04.480]  同為一體
[00:02:04.480 --> 00:02:06.480]  同蒙應許
[00:02:06.480 --> 00:02:08.480]  我作了這福音的執事
[00:02:08.480 --> 00:02:10.480]  照著神的恩賜
[00:02:10.480 --> 00:02:15.480]  這恩賜是他運行的大能賜給我的
[00:02:15.480 --> 00:02:19.480]  我本來重視聖徒最少的還少
[00:02:19.480 --> 00:02:22.480]  然而他賜給這恩典
[00:02:22.480 --> 00:02:27.480]  叫我把基督擦不透的傳給愛邦人
[00:02:27.480 --> 00:02:29.480]  由此我和人都明白
[00:02:29.480 --> 00:02:31.480]  這歷代以來
[00:02:31.480 --> 00:02:35.480]  隱藏在創造萬物之神裡的告別
[00:02:35.480 --> 00:02:37.480]  是如何安排的
