
[00:00:00.000 --> 00:00:02.920]  今天我們正正要講的道
[00:00:02.920 --> 00:00:07.000]  就是關乎一個人由不健康到健康的經歷
[00:00:07.000 --> 00:00:09.560]  一個神跡醫治的故事
[00:00:09.560 --> 00:00:12.480]  記載在《仕途行傳》第三章
[00:00:12.480 --> 00:00:14.920]  亦是今年我們五堂崇拜
[00:00:14.920 --> 00:00:18.200]  《仕途行傳》講道系列的第三講
[00:00:18.200 --> 00:00:21.440]  很快的,我們就進入經文了
[00:00:21.440 --> 00:00:25.120]  我想跟大家很快的去看看
[00:00:25.120 --> 00:00:30.520]  之前我們系列的第一、第二章講的是甚麼
[00:00:30.520 --> 00:00:32.320]  在第一章裏面
[00:00:32.320 --> 00:00:34.080]  主耶穌升天前
[00:00:34.080 --> 00:00:37.120]  祂就賜下聖靈的應許
[00:00:37.120 --> 00:00:39.120]  在一章八節這樣說
[00:00:39.120 --> 00:00:42.720]  「但聖靈降臨在你們身上
[00:00:42.720 --> 00:00:45.120]  你們就必得著能力
[00:00:45.120 --> 00:00:49.200]  並要在耶路撒冷、猶太傳地和撒瑪利亞
[00:00:49.200 --> 00:00:53.080]  直到地極作我的見證」
[00:00:53.080 --> 00:00:56.040]  神賜下,透過主耶穌
[00:00:56.040 --> 00:00:58.760]  祂賜下聖靈的應許
[00:00:58.760 --> 00:01:00.120]  去到第二章
[00:01:00.120 --> 00:01:02.000]  聖靈就降臨了
[00:01:02.000 --> 00:01:03.520]  在五重節那一天
[00:01:03.520 --> 00:01:06.760]  聖靈就好像火焰的蝕降臨
[00:01:06.760 --> 00:01:08.000]  聖靈的大能
[00:01:08.000 --> 00:01:13.840]  就叫一班如膚小子能夠放膽講神的道
[00:01:13.840 --> 00:01:18.000]  一天之間,祂呼召了三千人去跪主
[00:01:18.000 --> 00:01:21.640]  一班被聖靈充滿的教會群體
[00:01:21.640 --> 00:01:23.360]  就是這樣誕生
[00:01:23.360 --> 00:01:25.800]  在四十二節這樣說
[00:01:25.800 --> 00:01:31.000]  「他們都專注於使徒的教導和彼此的團契
[00:01:31.000 --> 00:01:33.080]  抹餅和祈禱
[00:01:33.080 --> 00:01:35.760]  眾人都心存敬畏
[00:01:35.760 --> 00:01:40.280]  使徒們有行了許多奇事神蹟」
[00:01:40.280 --> 00:01:42.440]  聖靈的大能真的很厲害
[00:01:42.440 --> 00:01:44.280]  信主的人很多
[00:01:44.280 --> 00:01:46.120]  他們敬畏愛神
[00:01:46.120 --> 00:01:48.600]  他們之間的關係很密切
[00:01:48.600 --> 00:01:49.720]  很喜樂
[00:01:49.720 --> 00:01:51.440]  四十三節說了
[00:01:51.440 --> 00:01:57.680]  「他們也能行很多奇事神蹟」
[00:01:57.680 --> 00:02:00.400]  今天我們會和大家看看
[00:02:00.400 --> 00:02:03.920]  這些奇事神蹟的其中一件
[00:02:03.920 --> 00:02:08.640]  就是一個瘸腿的病人得醫治的經歷
[00:02:08.640 --> 00:02:11.160]  我們很快就進入經文
[00:02:11.160 --> 00:02:16.480]  我邀請大家一起慢慢讀出一至十節經文
[00:02:17.280 --> 00:02:22.080]  「下午三點鐘禱告的時候
