
[00:00:00.000 --> 00:00:04.000]  今天的講題是分辨內心的聲音
[00:00:04.000 --> 00:00:08.200]  聲音是來自神 自己 還是魔鬼呢?
[00:00:08.200 --> 00:00:10.900]  為什麼今天會講這個講題呢?
[00:00:10.900 --> 00:00:15.500]  因為我在這兩年裡教了三次土告部的主日學
[00:00:15.500 --> 00:00:18.900]  主日學叫做如何分辨神的心意
[00:00:18.900 --> 00:00:21.700]  我又大了幾次退休
[00:00:21.700 --> 00:00:26.400]  弟兄姊妹都不約而同地問這條問題
[00:00:26.400 --> 00:00:29.200]  就是當我尋問神的心意的時候
[00:00:29.200 --> 00:00:31.000]  我內心聽到一些聲音
[00:00:31.000 --> 00:00:33.800]  那個聲音是來自上帝 還是我自己
[00:00:33.800 --> 00:00:35.400]  還是來自魔鬼撒旦呢?
[00:00:35.400 --> 00:00:38.000]  今天是自由講題
[00:00:38.000 --> 00:00:40.000]  我們很難得 喜歡講什麼都可以
[00:00:40.000 --> 00:00:44.800]  不如藉著這個講題去回應弟兄姊妹的疑問
[00:00:44.800 --> 00:00:48.800]  不知道你們想不想知道這個答案呢?
[00:00:48.800 --> 00:00:50.800]  想不想知道如何分辨內心的聲音呢?
[00:00:50.800 --> 00:00:53.000]  我們今天會透過《路加福音》
[00:00:53.000 --> 00:00:57.000]  四章一至十三節來學習
[00:00:57.000 --> 00:01:00.000]  我們看這段經文之前一起去土告吧
[00:01:00.000 --> 00:01:05.400]  親愛的主 我們求祢開我們的眼睛
[00:01:05.400 --> 00:01:07.800]  讓我們透過祢自己的經歷
[00:01:07.800 --> 00:01:09.800]  透過這段寶貴的經文
[00:01:09.800 --> 00:01:12.800]  去教導我們如何分辨我們內心的聲音
[00:01:12.800 --> 00:01:16.800]  究竟是來自主 還是來自我們自己的私慾
[00:01:16.800 --> 00:01:18.300]  還是來自魔鬼撒旦呢?
[00:01:18.300 --> 00:01:21.600]  求祢幫助我們去分辨學習
[00:01:21.600 --> 00:01:23.800]  我們將以下時間恭敬祂交上
[00:01:23.800 --> 00:01:25.800]  祈禱奉耶穌基督的聖名祈求
[00:01:25.800 --> 00:01:27.800]  阿們
[00:01:27.800 --> 00:01:29.800]  我們來看看《路加福音》
[00:01:29.800 --> 00:01:33.800]  頭兩章是講什麼呢?
[00:01:33.800 --> 00:01:36.800]  就是有預言 耶穌基督降生
[00:01:36.800 --> 00:01:39.800]  天使報喜訊 牧人到學
[00:01:39.800 --> 00:01:43.800]  是不是很適合我們現在將臨期去讀呢?
[00:01:43.800 --> 00:01:45.800]  如果你是靈修 不知道讀什麼比較好呢?
[00:01:45.800 --> 00:01:48.800]  讀《路加福音》頭兩章就最適合了
[00:01:48.800 --> 00:01:51.800]  然後《路加福音》第三第四章
[00:01:51.800 --> 00:01:54.800]  就講到耶穌受洗 受試探
[00:01:54.800 --> 00:01:56.800]  就是今天的正道經文
[00:01:56.800 --> 00:01:58.800]  耶穌受完試探之後
[00:01:58.800 --> 00:02:03.800]  祂就開始祂的全道的工作了
[00:02:03.800 --> 00:02:08.800]  今天我們會用新漢語譯本來看《路加福音》
[00:02:08.800 --> 00:02:10.800]  我邀請大家讀頭這兩節經文
[00:02:10.800 --> 00:02:12.800]  預備起
[00:02:12.800 --> 00:02:30.800]  (天主教教導中)
[00:02:30.800 --> 00:02:32.800]  這兩節我們看到一些特別的東西
[00:02:32.800 --> 00:02:36.800]  第一就是聖靈刻意帶領耶穌
[00:02:36.800 --> 00:02:39.800]  去到方爺那裡受魔鬼的試探
[00:02:39.800 --> 00:02:40.800]  不是耶穌自己去的
