
[00:00:00.000 --> 00:00:02.400]  謝謝敬拜隊帶領我們有敬拜
[00:00:02.400 --> 00:00:03.920]  我自己也很享受
[00:00:03.920 --> 00:00:08.880]  因為我想透過敬拜進入整個崇拜讓我們體會
[00:00:08.880 --> 00:00:11.800]  這一刻正如剛才有首詩歌的句子所說
[00:00:11.800 --> 00:00:14.240]  讓主去擁有我們的心
[00:00:14.240 --> 00:00:16.400]  敬拜就是預備我們進入
[00:00:16.400 --> 00:00:18.880]  今天上帝是活的
[00:00:18.880 --> 00:00:19.800]  是真實的
[00:00:19.800 --> 00:00:21.200]  他今天也要向我們說話
[00:00:21.200 --> 00:00:23.960]  盼望我們也一起去準備自己的心
[00:00:23.960 --> 00:00:25.960]  這個時間真的劃分給上帝
[00:00:25.960 --> 00:00:27.760]  讓上帝親自對我們說話
[00:00:27.760 --> 00:00:28.960]  感謝
[00:00:29.400 --> 00:00:33.440]  今天跟大家分享一段經文
[00:00:33.440 --> 00:00:35.720]  不過分享之前我想跟大家說一下
[00:00:35.720 --> 00:00:38.720]  上星期我有機會去放假
[00:00:38.720 --> 00:00:42.160]  第一次跟朋友去濟州島
[00:00:42.160 --> 00:00:43.760]  也是很開心的
[00:00:43.760 --> 00:00:45.800]  去到濟州島的時候
[00:00:45.800 --> 00:00:47.920]  有一件事是我經常看到的
[00:00:47.920 --> 00:00:48.680]  大家知道是什麼嗎?
[00:00:48.680 --> 00:00:49.720]  有沒有人去過濟州?
[00:00:49.720 --> 00:00:53.360]  有的
[00:00:53.360 --> 00:00:55.400]  大家猜猜經常看到的是什麼呢?
[00:00:55.400 --> 00:00:57.840]  我聽到是泡菜吧
[00:00:57.840 --> 00:00:58.800]  對了
[00:00:58.800 --> 00:01:00.000]  嗯
[00:01:00.000 --> 00:01:01.760]  不是聽到是泡菜
[00:01:01.760 --> 00:01:04.440]  不過我看到最多的是這個叫做
[00:01:04.440 --> 00:01:06.680]  中文有很多叫法
[00:01:06.680 --> 00:01:08.280]  不過我叫它做石爺爺
[00:01:08.280 --> 00:01:10.040]  在濟州島的石爺爺
[00:01:10.040 --> 00:01:11.800]  真的到處都看到
[00:01:11.800 --> 00:01:14.920]  不論是政府機構外面
[00:01:14.920 --> 00:01:18.360]  消防局的石爺爺會穿著消防服
[00:01:18.360 --> 00:01:19.640]  有不同的地方
[00:01:19.640 --> 00:01:20.840]  甚至村口的位置
[00:01:20.840 --> 00:01:23.640]  都會有石爺爺鎮守著
[00:01:23.640 --> 00:01:25.520]  起初我以為
[00:01:25.520 --> 00:01:28.920]  這個石爺爺只是一隻吉祥物
[00:01:28.920 --> 00:01:30.840]  因為我起初去到
