
[00:00:00.000 --> 00:00:04.360]  今天很願意五經人脈事件簿
[00:00:04.360 --> 00:00:07.040]  今天會處理一卷
[00:00:07.040 --> 00:00:11.000]  我們所謂在聖經當中最難處理的經文
[00:00:11.000 --> 00:00:12.560]  就是利未記
[00:00:12.560 --> 00:00:15.040]  當你看到利未記的時候
[00:00:15.040 --> 00:00:16.480]  你有什麼感覺呢?
[00:00:16.480 --> 00:00:18.440]  很久沒處理了
[00:00:18.440 --> 00:00:20.000]  很沉悶了
[00:00:20.000 --> 00:00:23.480]  牧師死得過票房毒藥
[00:00:23.480 --> 00:00:28.040]  我們今天嘗試在票房毒藥那裡進軍
[00:00:28.200 --> 00:00:34.160]  我很想跟大家讀讀利未記第一章的1到13節
[00:00:34.160 --> 00:00:37.880]  我們請弟兄
[00:00:37.880 --> 00:00:39.280]  有沒有信心?
[00:00:39.280 --> 00:00:40.960]  讀1到7節
[00:00:40.960 --> 00:00:43.280]  姐妹8到13節
[00:00:43.280 --> 00:00:44.000]  好不好?
[00:00:44.000 --> 00:00:44.520]  好
[00:00:44.520 --> 00:00:47.040]  PowerPoint的字都看得到吧?
[00:00:47.040 --> 00:00:49.040]  (看得到)
[00:00:49.040 --> 00:00:52.280]  看得到吧?
[00:00:52.280 --> 00:00:52.840]  (看不到)
[00:00:52.840 --> 00:00:53.760]  看不到嗎?
[00:00:53.760 --> 00:00:54.440]  (看不到)
[00:00:54.440 --> 00:00:55.880]  那就慘了
[00:00:55.880 --> 00:00:58.400]  我們老花近視
[00:00:58.400 --> 00:01:00.920]  我們嘗試慢慢讀
[00:01:00.920 --> 00:01:02.120]  預備
[00:01:02.120 --> 00:01:02.520]  弟兄
[00:01:02.520 --> 00:01:02.800]  1
[00:01:02.800 --> 00:01:03.080]  2
[00:01:03.080 --> 00:01:03.600]  3
[00:01:03.600 --> 00:01:07.560]  耶和華從回眸中呼喊我誓
[00:01:07.560 --> 00:01:08.680]  對他說
[00:01:08.680 --> 00:01:11.360]  李曉玉以色列人說
[00:01:11.360 --> 00:01:15.720]  你們中間若有人獻供物給耶和華
[00:01:15.720 --> 00:01:20.400]  要從牛群羊群中獻身畜為供物
[00:01:20.400 --> 00:01:23.920]  他的供物若以牛為飯祭
[00:01:23.920 --> 00:01:26.280]  就要在回眸門口
[00:01:26.280 --> 00:01:29.240]  以一隻沒有殘疾的公牛
[00:01:29.240 --> 00:01:32.760]  可以在耶和華面前蒙月立
[00:01:32.760 --> 00:01:36.800]  你要按手在飯祭身的頭上
[00:01:36.800 --> 00:01:39.000]  飯祭便蒙月立
[00:01:39.000 --> 00:01:40.640]  為他贖罪
[00:01:40.640 --> 00:01:44.240]  他要在耶和華面前載公牛
[00:01:44.240 --> 00:01:46.840]  阿倫的子孫作祭事的
[00:01:46.840 --> 00:01:48.480]  要奉上血
[00:01:48.480 --> 00:01:52.960]  把血灑在回眸門口壇的修位
[00:01:52.960 --> 00:01:56.360]  乃人要剝去飯祭身的皮
[00:01:56.360 --> 00:01:59.800]  把飯祭身切成塊紙
[00:01:59.800 --> 00:02:01.960]  以施阿倫的子孫
[00:02:01.960 --> 00:02:04.720]  要把火放在壇上
[00:02:04.720 --> 00:02:07.480]  把柴擺在火上
[00:02:07.480 --> 00:02:10.840]  請姐妹讀第8到13字經文
[00:02:10.840 --> 00:02:11.360]  預備
[00:02:11.360 --> 00:02:11.640]  1
[00:02:11.640 --> 00:02:11.920]  2
[00:02:11.920 --> 00:02:12.360]  3
[00:02:12.360 --> 00:02:15.440]  阿倫子孫作祭事的
[00:02:15.440 --> 00:02:17.880]  要擺玉拜王頭
[00:02:17.880 --> 00:02:26.880]  要用水洗祭司
[00:02:26.880 --> 00:02:30.280]  就要擺一切全燒在壇上
[00:02:30.280 --> 00:02:32.080]  當作飯祭
[00:02:32.080 --> 00:02:35.480]  願以耶和華為輕香的火祭
[00:02:35.480 --> 00:02:40.080]  人的供物若以綿羊或山羊為飯祭
[00:02:40.080 --> 00:02:43.680]  就要獻上沒有殘疾的公羊
[00:02:43.680 --> 00:02:46.760]  若把羊坐於壇的不變
[00:02:46.760 --> 00:02:48.680]  在耶和華面前
[00:02:48.680 --> 00:02:51.280]  阿倫子孫作祭事的
[00:02:51.280 --> 00:02:54.480]  要把羊血灑在壇的周圍
[00:02:54.480 --> 00:02:58.000]  要把飯祭切成塊祭紙
[00:02:58.000 --> 00:02:59.880]  蓮頭和絲油
[00:02:59.880 --> 00:03:02.480]  祭司就要擺在壇上
[00:03:02.480 --> 00:03:03.880]  火的壇上
[00:03:03.880 --> 00:03:07.480]  但早撞要用水洗
[00:03:07.480 --> 00:03:10.280]  祭司就要全面奉獻
[00:03:10.280 --> 00:03:12.080]  獻在壇上
[00:03:12.080 --> 00:03:13.600]  這是飯祭
[00:03:13.600 --> 00:03:17.600]  是獻於耶和華為輕香的火祭
[00:03:17.600 --> 00:03:19.200]  我們一起讀經文
[00:03:19.200 --> 00:03:20.400]  我們一起禱告
[00:03:20.400 --> 00:03:22.800]  沒有恩典
[00:03:22.800 --> 00:03:24.800]  沒有憐憫的天父
[00:03:24.800 --> 00:03:28.000]  當世人活在罪當中的時日
[00:03:28.000 --> 00:03:30.800]  當世人在得罪你的時候
[00:03:30.800 --> 00:03:33.000]  上帝你設立憲制
[00:03:33.000 --> 00:03:36.000]  透過祭祀讓我們重拉關係
[00:03:36.000 --> 00:03:38.200]  透過憲制的過程中
[00:03:38.200 --> 00:03:39.200]  讓我們審查
[00:03:39.200 --> 00:03:42.800]  我們今天的心是否順服跟隨你
[00:03:42.800 --> 00:03:45.600]  主啊,求你帶領我們明白聖經
[00:03:45.600 --> 00:03:46.600]  明白真理
[00:03:46.600 --> 00:03:48.600]  明白你的心意
[00:03:48.600 --> 00:03:51.600]  聖靈啊,求你在我們會場當中工作
[00:03:51.600 --> 00:03:53.600]  讓我們知道你的旨意
[00:03:53.600 --> 00:03:56.200]  我們的禱告奉耶穌名求
[00:03:56.200 --> 00:03:57.200]  阿們
[00:03:57.200 --> 00:04:02.600]  在講到解經文之先
[00:04:02.600 --> 00:04:04.800]  我和大家交代一下一些事情
[00:04:04.800 --> 00:04:07.800]  你發覺這兩個月不是怎樣見我的
[00:04:07.800 --> 00:04:08.800]  是不是?
[00:04:08.800 --> 00:04:11.800]  有些人問牧師是否被人調職了
[00:04:11.800 --> 00:04:13.800]  去了別的堂崇拜
[00:04:13.800 --> 00:04:17.800]  其實這兩個月我放了一個安息月假
[00:04:17.800 --> 00:04:19.800]  如果我再不放,今年就沒有了
[00:04:19.800 --> 00:04:20.800]  報銷的
[00:04:20.800 --> 00:04:22.800]  我打死也放了
[00:04:22.800 --> 00:04:25.800]  感恩,幸好沒有在疫症期間放
[00:04:25.800 --> 00:04:28.800]  因為疫症期間留在香港是很慘的
[00:04:28.800 --> 00:04:32.800]  這兩個月我去了冰島
[00:04:32.800 --> 00:04:33.800]  其實我去過的
[00:04:33.800 --> 00:04:36.800]  只不過我老婆今年剛剛退休
[00:04:36.800 --> 00:04:37.800]  提早退休
[00:04:37.800 --> 00:04:38.800]  不是很老
[00:04:38.800 --> 00:04:41.800]  於是她提早退休
[00:04:41.800 --> 00:04:44.800]  我就帶她出去見識見識
[00:04:44.800 --> 00:04:49.800]  於是我就帶我老婆去冰島旅行
[00:04:49.800 --> 00:04:50.800]  Powerpong 是的
[00:04:50.800 --> 00:04:52.800]  那些湖光山色
[00:04:52.800 --> 00:04:54.800]  去了兩個星期之後
[00:04:54.800 --> 00:04:57.800]  然後我一個半月就去了英國
[00:04:57.800 --> 00:05:00.800]  英國有些親戚在英國
[00:05:00.800 --> 00:05:01.800]  探親
[00:05:01.800 --> 00:05:03.800]  又探探弟兄姊妹
[00:05:03.800 --> 00:05:05.800]  坦白說
[00:05:05.800 --> 00:05:08.800]  我們團契也有幾十對夫婦去了英國
[00:05:08.800 --> 00:05:10.800]  我們就探望他們
