
[00:00:00.000 --> 00:00:03.520]  是,大家看到我,OK
[00:00:03.520 --> 00:00:07.720]  那麼,今天的題目就是「微塵與我」
[00:00:07.720 --> 00:00:10.960]  不知道你認不認同你像微塵一樣
[00:00:10.960 --> 00:00:16.320]  最近我跟一位認識了很多年的朋友
[00:00:16.320 --> 00:00:19.360]  一位很有心追求的年輕人
[00:00:19.360 --> 00:00:23.080]  在WhatsApp討論一個聖經的小人物
[00:00:23.080 --> 00:00:28.120]  不知道這位朋友是否有些代入了這個人物的角色呢
[00:00:28.120 --> 00:00:33.840]  他說:初就初在上帝沒有選我
[00:00:33.840 --> 00:00:35.840]  沒有祝福我
[00:00:35.840 --> 00:00:38.720]  沒有讓我做大事
[00:00:38.720 --> 00:00:42.200]  感覺上他好像是有感而發
[00:00:42.200 --> 00:00:43.920]  代入了他那個人
[00:00:43.920 --> 00:00:49.320]  然後隱隱約約地表露他對自己現況的不滿
[00:00:49.320 --> 00:00:55.320]  這位朋友令我想起年輕時代的我
[00:00:55.320 --> 00:00:58.240]  當年仍然是一個發夢王的年代
[00:00:58.240 --> 00:01:00.240]  很想發光發熱
[00:01:00.240 --> 00:01:03.040]  做人要不枉此生
[00:01:03.040 --> 00:01:05.520]  不可以做蛋散
[00:01:05.520 --> 00:01:07.840]  要做大事
[00:01:07.840 --> 00:01:11.120]  莫等閒百了少年頭
[00:01:11.120 --> 00:01:16.520]  但總是做起來時時不順
[00:01:16.520 --> 00:01:18.920]  一切都不如己願
[00:01:18.920 --> 00:01:24.040]  日子一日一日過,好像仍然一事無成
[00:01:24.040 --> 00:01:29.360]  有些憤憤不平開始埋怨上帝
[00:01:29.360 --> 00:01:31.560]  為什麼你不聽我禱告
[00:01:31.560 --> 00:01:34.040]  為什麼你沒有選我
[00:01:34.040 --> 00:01:40.640]  不甘心平凡年少氣盛的我的心態是怎樣的呢?
[00:01:40.640 --> 00:01:42.160]  舉個例子
[00:01:42.160 --> 00:01:47.520]  當我讀到陶淵明的《桂園田居》的時候
[00:01:47.520 --> 00:01:50.640]  我怎樣理解他呢?
[00:01:50.640 --> 00:01:52.840]  我就認為:有沒有搞錯?
[00:01:52.840 --> 00:01:55.240]  這個人只是混不起而已
[00:01:55.240 --> 00:01:59.520]  做了三十年官才誤落塵網中
[00:01:59.520 --> 00:02:01.720]  然後給自己一個藉口
[00:02:01.720 --> 00:02:07.240]  笑無色,俗穩勝本愛優生地辭工《桂園田》
[00:02:07.240 --> 00:02:10.040]  真是好搞
[00:02:10.040 --> 00:02:14.120]  縮在一角做隱士只是掩飾自己的失敗
[00:02:14.120 --> 00:02:18.320]  我一定不會像他這樣失敗的
[00:02:18.320 --> 00:02:24.120]  當年這個年少氣盛,心高氣傲的小伙子
