
[00:00:00.000 --> 00:00:02.000]  在開始的正道之先
[00:00:02.000 --> 00:00:06.360]  也邀請大家再跟我們一起有一個禱告時間
[00:00:06.360 --> 00:00:09.920]  把時間交給我們天上的父
[00:00:09.920 --> 00:00:11.560]  天父獻上感謝
[00:00:11.560 --> 00:00:12.800]  你讓我們回來
[00:00:12.800 --> 00:00:14.560]  一起可以去敬拜你
[00:00:14.560 --> 00:00:15.920]  實在是我們的福分
[00:00:15.920 --> 00:00:18.320]  求你都藉著以下的時間
[00:00:18.320 --> 00:00:21.080]  透過你的說話再一次提醒我們的生命
[00:00:21.080 --> 00:00:23.240]  以致我們更加聽得入耳
[00:00:23.240 --> 00:00:24.760]  進入我們的心裏面
[00:00:24.760 --> 00:00:27.560]  以致我們更加懂得怎樣回應你的說話
[00:00:27.560 --> 00:00:28.600]  求你幫助
[00:00:28.600 --> 00:00:30.200]  以上禱告奉主明求
[00:00:30.200 --> 00:00:30.880]  阿門
[00:00:30.880 --> 00:00:32.240]  好
[00:00:32.240 --> 00:00:33.920]  各位姐妹早晨
[00:00:33.920 --> 00:00:37.920]  這個星期不知道大家有沒有留意一則新聞
[00:00:37.920 --> 00:00:41.200]  政府最新的統計數字告訴我們
[00:00:41.200 --> 00:00:47.560]  原來港人的男性平均壽命有82.9歲
[00:00:47.560 --> 00:00:51.720]  女性平均壽命又升到88歲
[00:00:51.720 --> 00:00:55.680]  比起日本、新加坡、挪威等國家
[00:00:55.840 --> 00:00:59.240]  人口的壽命更加長命
[00:00:59.240 --> 00:01:02.400]  不知道大家聽完這則新聞後有什麼感覺
[00:01:02.400 --> 00:01:04.760]  確實今日的現代人
[00:01:04.760 --> 00:01:07.040]  他們確實很長壽
[00:01:07.040 --> 00:01:10.280]  而且他們很著重自己的飲食
[00:01:10.280 --> 00:01:11.640]  生活習慣
[00:01:11.640 --> 00:01:12.480]  作息
[00:01:12.480 --> 00:01:15.840]  甚至做什麼運動都有很多研究
[00:01:15.840 --> 00:01:20.080]  隨時可以和你身邊的人在當中分享
[00:01:20.080 --> 00:01:23.880]  如果你覺得自己哪裡痛的時候
[00:01:23.880 --> 00:01:25.720]  可能身邊的人會告訴你
[00:01:25.720 --> 00:01:27.640]  你應該做什麼運動
[00:01:27.640 --> 00:01:28.920]  或者什麼姿勢
[00:01:28.920 --> 00:01:31.040]  拉筋可以幫助你
[00:01:31.040 --> 00:01:33.120]  或者你哪裡不舒服
[00:01:33.120 --> 00:01:35.720]  可能要吃什麼食物
[00:01:35.720 --> 00:01:37.960]  可以幫助自己更加好
[00:01:37.960 --> 00:01:40.920]  相信大家都有很多經驗之談
[00:01:40.920 --> 00:01:42.440]  可以和其他人分享
[00:01:42.440 --> 00:01:44.240]  但若果我問你
[00:01:44.240 --> 00:01:47.280]  神給我們這個屬靈的生命
[00:01:47.280 --> 00:01:51.640]  究竟我們有什麼可以得勝的秘訣
[00:01:51.640 --> 00:01:54.040]  或者得勝人生
[00:01:54.200 --> 00:01:56.600]  不知道你有什麼錦囊
[00:01:56.600 --> 00:01:58.400]  可以和其他人分享呢?
[00:01:58.400 --> 00:02:01.520]  今天很想和大家透過《雅各書》
[00:02:01.520 --> 00:02:03.480]  四章一到十節的內容
[00:02:03.480 --> 00:02:06.240]  透過兩方面和大家一起思想
[00:02:06.240 --> 00:02:08.240]  首先我邀請大家一起讀
[00:02:08.240 --> 00:02:11.080]  《雅各書》四章一到五節
[00:02:11.080 --> 00:02:15.280]  「你們中間的衝突是哪裡來的
[00:02:15.280 --> 00:02:17.520]  爭執是哪裡來的
[00:02:17.520 --> 00:02:21.720]  不是從你們的肢體中交戰著的肆虐來嗎?
[00:02:22.200 --> 00:02:24.760]  你們貪戀得不著就殺人
[00:02:24.760 --> 00:02:27.520]  你們嫉妒不得受受
[00:02:27.520 --> 00:02:29.360]  就爭執和衝突
[00:02:29.360 --> 00:02:32.760]  你們得不著是因為你們不求
[00:02:32.760 --> 00:02:34.880]  你們求也得不著
[00:02:34.880 --> 00:02:36.880]  是因為你們妄求
[00:02:36.880 --> 00:02:40.240]  因為要廢在你們的言諾中
[00:02:40.240 --> 00:02:42.520]  你們這些淫亂的人哪
[00:02:42.520 --> 00:02:44.880]  豈不知道與世俗為友
[00:02:44.880 --> 00:02:46.640]  就是與神為敵嗎?
[00:02:46.640 --> 00:02:49.600]  所以凡想要與世俗為友的
[00:02:49.600 --> 00:02:51.360]  就是與神為敵
[00:02:52.000 --> 00:02:53.160]  經上說
[00:02:53.160 --> 00:02:54.600]  第五節
[00:02:54.600 --> 00:02:56.160]  經上說
[00:02:56.160 --> 00:02:59.000]  「神愛安置在我們裡面的靈
[00:02:59.000 --> 00:03:00.920]  愛到嫉妒的地步
[00:03:00.920 --> 00:03:03.800]  你們以為這話是徒然的嗎?」
[00:03:03.800 --> 00:03:06.960]  其實首先《雅各》寫了一封信
[00:03:06.960 --> 00:03:11.600]  給散居在不同地區十二支派的猶太基督徒
[00:03:11.600 --> 00:03:14.160]  當時教會大部分的信徒
[00:03:14.160 --> 00:03:16.320]  都過著一些很貧窮的生活
[00:03:16.320 --> 00:03:19.800]  在宗教上常常被其他人的歧視
[00:03:19.800 --> 00:03:21.680]  而有錢人也會剝削
[00:03:21.880 --> 00:03:23.000]  當時的窮人
[00:03:23.000 --> 00:03:25.440]  窮人也受到很多冤屈
[00:03:25.440 --> 00:03:26.840]  不但如此
[00:03:26.840 --> 00:03:29.160]  連教會裡面富有的信徒
[00:03:29.160 --> 00:03:31.560]  也欺壓一些窮人
[00:03:31.560 --> 00:03:34.280]  可見這群富有信徒的生命
[00:03:34.280 --> 00:03:37.080]  其實與其他未信的人的生命
[00:03:37.080 --> 00:03:38.280]  沒有太大的分別
[00:03:38.280 --> 00:03:41.160]  由此可見當時貧窮的信徒
[00:03:41.160 --> 00:03:44.680]  的生活實在面對一個很艱難
[00:03:44.680 --> 00:03:45.920]  很多困境
[00:03:45.920 --> 00:03:48.120]  甚至可能活在絕望裡面
[00:03:48.120 --> 00:03:50.400]  《雅各》要鼓勵這群貧窮的信徒
[00:03:50.400 --> 00:03:52.640]  要忍耐、要持守信仰
[00:03:52.640 --> 00:03:55.600]  要堅守神給他們的信仰
[00:03:55.600 --> 00:03:58.000]  但令他們從神的角度
[00:03:58.000 --> 00:04:00.800]  再次看回這整幅大圖畫
[00:04:00.800 --> 00:04:03.440]  不要只看見眼前的困難
[00:04:03.440 --> 00:04:06.320]  要好叫他們能夠在地上的生活
[00:04:06.320 --> 00:04:07.960]  仍然去跟隨神
[00:04:07.960 --> 00:04:08.960]  依靠神
[00:04:08.960 --> 00:04:10.440]  活出真正的信心
[00:04:10.440 --> 00:04:12.040]  但另一方面
[00:04:12.040 --> 00:04:13.920]  《雅各》同樣都去責備
[00:04:13.920 --> 00:04:16.240]  一群不行道的信徒
[00:04:16.240 --> 00:04:18.480]  因為他們被世界影響
[00:04:18.640 --> 00:04:20.400]  令他們心懷疑義
[00:04:20.400 --> 00:04:23.520]  一方面他們很想得到屬天的福氣
[00:04:23.520 --> 00:04:27.240]  另一方面他們也很想得到世界的享受
[00:04:27.240 --> 00:04:30.160]  反而這群信徒的生命出了問題
[00:04:30.160 --> 00:04:32.520]  所以從《雅各》書第三章
[00:04:32.520 --> 00:04:34.440]  講出屬天的智慧
[00:04:34.440 --> 00:04:36.840]  和屬地的智慧的分別
[00:04:36.840 --> 00:04:39.200]  屬天的智慧是從神而來的
[00:04:39.200 --> 00:04:41.640]  能夠帶給人生命有根深
[00:04:41.640 --> 00:04:44.080]  並且結出公義的果子
[00:04:44.080 --> 00:04:45.960]  另一種智慧是屬地
[00:04:45.960 --> 00:04:47.280]  屬情慾的智慧
[00:04:47.800 --> 00:04:49.800]  會令人生命產生私慾
[00:04:49.800 --> 00:04:51.280]  作敗壞的事
[00:04:51.280 --> 00:04:53.720]  所以剛才讀到第四章的內容
[00:04:53.720 --> 00:04:56.400]  其實都是承接第三章的討論
[00:04:56.400 --> 00:04:58.120]  首先我們要看見
[00:04:58.120 --> 00:05:00.200]  今天得勝生命
[00:05:00.200 --> 00:05:01.200]  第一個錦囊
[00:05:01.200 --> 00:05:03.520]  《雅各》要給我們一個提醒
[00:05:03.520 --> 00:05:05.480]  就是要檢視一下自己的生命
[00:05:05.480 --> 00:05:07.280]  有沒有被私慾所控
[00:05:07.280 --> 00:05:10.600]  不要順從私慾與世俗為由
[00:05:10.600 --> 00:05:12.280]  在第一節裡面
[00:05:12.280 --> 00:05:14.560]  《雅各》向信徒在當中發問
[00:05:14.560 --> 00:05:16.160]  你們中間的衝突
[00:05:16.160 --> 00:05:17.680]  是從哪裡來的
[00:05:18.000 --> 00:05:20.040]  爭執是哪裡來的
[00:05:20.040 --> 00:05:22.360]  很明顯當時教會裡面
