
[00:00:00.000 --> 00:00:03.200]  愛在婚姻中的成熟
[00:00:03.200 --> 00:00:09.240]  選取的經文是《雅歌書》八章六至七節
[00:00:09.240 --> 00:00:15.480]  今日世人如何看婚姻呢?
[00:00:15.480 --> 00:00:21.920]  是否只是計過、度過、算過的關係呢?
[00:00:21.920 --> 00:00:25.440]  只是想有一份安全感?
[00:00:25.440 --> 00:00:29.360]  還是只是一個妥協?
[00:00:30.360 --> 00:00:34.360]  《雅歌書》不僅為當時的讀者
[00:00:34.360 --> 00:00:40.360]  提供了正規婚姻和男女之間的愛情藍圖
[00:00:40.360 --> 00:00:43.360]  亦為今天的讀者
[00:00:43.360 --> 00:00:48.360]  揭示了神對婚姻和男女情愛的心意
[00:00:48.360 --> 00:00:53.360]  雅歌之所以被納入正典之內
[00:00:53.360 --> 00:00:57.360]  是因為它是由於神的恩典
[00:00:57.360 --> 00:00:59.360]  而納入正典之內
[00:00:59.360 --> 00:01:03.360]  是因為祂的忠心思想——愛
[00:01:03.360 --> 00:01:08.360]  這份愛在男與女
[00:01:08.360 --> 00:01:12.360]  在神與人之間呈現出來
[00:01:12.360 --> 00:01:18.360]  男女的愛佔人生一大部份
[00:01:18.360 --> 00:01:22.360]  神關心人是人的全面
[00:01:22.360 --> 00:01:24.360]  包括性愛
[00:01:24.360 --> 00:01:29.360]  雅歌肯定了男女的情愛和性愛
[00:01:29.360 --> 00:01:31.360]  並且為神的百姓
[00:01:31.360 --> 00:01:36.360]  建立了一個可以談論婚姻性愛的平台
[00:01:36.360 --> 00:01:45.360]  男與女原本是上帝視為甚好的創造
[00:01:45.360 --> 00:01:51.360]  但是罪惡卻將上帝賜給人類
[00:01:51.360 --> 00:01:53.360]  本性的愛慾扭曲了
[00:01:54.360 --> 00:01:56.360]  在雅歌書裏面
[00:01:56.360 --> 00:02:02.360]  描述男女彼此傾慕互屬
[00:02:02.360 --> 00:02:06.360]  赤身露體都不覺得羞恥的畫面
[00:02:06.360 --> 00:02:13.360]  就好像神在伊甸園對亞當和夏娃的期許
[00:02:13.360 --> 00:02:17.360]  亞當夏娃因為背叛神的命令
[00:02:17.360 --> 00:02:19.360]  失去了伊甸
[00:02:20.360 --> 00:02:23.360]  但是在雅歌書裏面
[00:02:23.360 --> 00:02:26.360]  所形容的男女之間的情愛
[00:02:26.360 --> 00:02:30.360]  就是朝著伊甸這個方向而出發
[00:02:30.360 --> 00:02:33.360]  為要重返伊甸
[00:02:33.360 --> 00:02:37.360]  恢復起初神所定義的愛
[00:02:37.360 --> 00:02:42.360]  今晚正道的經文
[00:02:42.360 --> 00:02:45.360]  雅歌書八章六至七節
[00:02:45.360 --> 00:02:47.360]  這兩節的經文
[00:02:47.360 --> 00:02:52.360]  將愛提升到雅歌的最高峰
[00:02:52.360 --> 00:02:56.360]  很多關於雅歌的中文詩歌
[00:02:56.360 --> 00:02:59.360]  歌詞裏面用得最多的經文
[00:02:59.360 --> 00:03:01.360]  就是這兩節
[00:03:01.360 --> 00:03:05.360]  我們先來讀一次這兩節的經文
[00:03:05.360 --> 00:03:08.360]  預備起
[00:03:08.360 --> 00:03:12.360]  求你將我放在你心上如印記
[00:03:12.360 --> 00:03:16.360]  帶在你臂上如桌記
[00:03:16.360 --> 00:03:19.360]  為愛情如死之堅強
[00:03:19.360 --> 00:03:23.360]  窒恨如陰間之殘忍
[00:03:23.360 --> 00:03:27.360]  所發的電光是火焰的電光
[00:03:27.360 --> 00:03:30.360]  是夜和華的烈焰
[00:03:30.360 --> 00:03:34.360]  愛情縱水不能熄滅
