
[00:00:00.000 --> 00:00:04.600]  我分享一件令我比較尷尬的事
[00:00:04.600 --> 00:00:08.800]  話說十幾年前我來到恩福做傳道人
[00:00:08.800 --> 00:00:10.720]  差不多十六年前了
[00:00:10.720 --> 00:00:11.720]  眨眨眼
[00:00:11.720 --> 00:00:15.520]  你知道來恩福做傳道人有些要求
[00:00:15.520 --> 00:00:19.200]  要讀一些三福教師的課程
[00:00:19.200 --> 00:00:21.720]  栽培員的教師課程
[00:00:21.720 --> 00:00:24.640]  我要讀三福教師課程
[00:00:24.640 --> 00:00:26.640]  要做三福出隊
[00:00:26.640 --> 00:00:31.200]  那時黎家翹牧師的太太Ada師母
[00:00:31.200 --> 00:00:33.800]  知道我在讀三福
[00:00:33.800 --> 00:00:37.720]  她說牧師和我媽媽傳福音
[00:00:37.720 --> 00:00:41.080]  她想著我這些老鬼傳福音比較有用
[00:00:41.080 --> 00:00:45.160]  誰知那晚和伯母談福音
[00:00:45.160 --> 00:00:48.320]  說三福內容由頭說到尾
[00:00:48.320 --> 00:00:51.800]  說到最後伯母都不肯頓耶穌
[00:00:51.800 --> 00:00:55.800]  我死裏了
[00:00:55.800 --> 00:00:58.040]  介紹多次
[00:00:58.040 --> 00:01:00.040]  說說服下幾次
[00:01:00.040 --> 00:01:01.760]  希望順著
[00:01:01.760 --> 00:01:03.240]  她都不肯
[00:01:03.240 --> 00:01:06.200]  最後她說一句話很傷我心
[00:01:06.200 --> 00:01:07.680]  她說
[00:01:07.680 --> 00:01:09.040]  她又不知道我是牧師
[00:01:09.040 --> 00:01:10.040]  叫我散仔
[00:01:10.040 --> 00:01:12.840]  她說
[00:01:12.840 --> 00:01:16.320]  我女婿黎家翹牧師都戒不了信耶穌
[00:01:16.320 --> 00:01:19.960]  就憑你?
[00:01:19.960 --> 00:01:22.960]  那時聽完
[00:01:22.960 --> 00:01:25.440]  真的KO了我
[00:01:25.440 --> 00:01:27.240]  我好像無地自容
[00:01:27.240 --> 00:01:28.840]  你這個
[00:01:28.840 --> 00:01:32.600]  你有什麼新鮮蘿蔔皮
[00:01:32.600 --> 00:01:35.960]  但我要說說結果
[00:01:35.960 --> 00:01:37.960]  十幾年後伯母都信了耶穌
[00:01:37.960 --> 00:01:39.960]  感謝主
[00:01:39.960 --> 00:01:43.800]  榮耀上帝
[00:01:43.800 --> 00:01:45.800]  叫人信耶穌
[00:01:45.800 --> 00:01:46.720]  可能透過我
[00:01:46.720 --> 00:01:48.200]  透過很多人的努力
[00:01:48.200 --> 00:01:50.200]  逐個逐個的開山劈石
[00:01:50.200 --> 00:01:52.200]  就令人信耶穌
[00:01:52.200 --> 00:01:55.200]  但有時我們面對拒絕都幾淒慘
[00:01:55.200 --> 00:01:57.200]  你怎樣自處呢?
[00:01:57.200 --> 00:01:59.200]  你怎樣自
[00:01:59.200 --> 00:02:01.200]  是不是你無了道呢?
[00:02:01.200 --> 00:02:03.200]  那種質疑會在你心裏
[00:02:03.200 --> 00:02:05.200]  我曾經在牧會期間
[00:02:05.200 --> 00:02:07.200]  遇到一個人跟我說
[00:02:07.200 --> 00:02:11.200]  阿芝牧師你有什麼新鮮蘿蔔皮牧養我?
[00:02:11.200 --> 00:02:14.200]  嘩!真是想辭職
[00:02:14.200 --> 00:02:17.200]  對呀!有什麼新鮮蘿蔔皮牧養人呢?
[00:02:17.200 --> 00:02:19.200]  人家又學歷高
[00:02:19.200 --> 00:02:20.200]  又社會地位高
[00:02:20.200 --> 00:02:22.200]  我憑什麼去牧養他呀?
[00:02:22.200 --> 00:02:24.200]  我憑什麼去
[00:02:24.200 --> 00:02:27.200]  去帶他去查經呀?
[00:02:27.200 --> 00:02:31.200]  如果你會在這樣的循環的思維當中
[00:02:31.200 --> 00:02:34.200]  希望今天的經文可以幫到你
[00:02:34.200 --> 00:02:38.200]  到底我們憑什麼有能力去侍奉上帝?
[00:02:38.200 --> 00:02:41.200]  我憑什麼有能力去為主做見證?
[00:02:41.200 --> 00:02:43.200]  我憑什麼能力去傳福音呢?
[00:02:43.200 --> 00:02:46.200]  在這個《使徒行傳》十三章
[00:02:46.200 --> 00:02:48.200]  有四段的記載
[00:02:48.200 --> 00:02:51.200]  嘩!四段的記載好像散溜溜不拉攏
[00:02:51.200 --> 00:02:53.200]  我嘗試今天去幫你組織一下
[00:02:53.200 --> 00:02:55.200]  第一段記載說到
[00:02:55.200 --> 00:02:57.200]  在安提阿教會
[00:02:57.200 --> 00:03:00.200]  差派了保羅和巴拿巴出去宣教
[00:03:00.200 --> 00:03:02.200]  第二段教會去到宣教的時候
[00:03:02.200 --> 00:03:06.200]  遇到一個假先知
[00:03:06.200 --> 00:03:08.200]  叫做巴耶蘇的事件
[00:03:08.200 --> 00:03:10.200]  第三段記載
[00:03:10.200 --> 00:03:13.200]  保羅去到另一個叫安提阿的地方
[00:03:13.200 --> 00:03:15.200]  近加拿大的地方
[00:03:15.200 --> 00:03:17.200]  他第一次講到
[00:03:17.200 --> 00:03:19.200]  第四段講到
[00:03:19.200 --> 00:03:21.200]  保羅面對一些人的反對
[00:03:21.200 --> 00:03:25.200]  他用什麼心態回應這些人反對的經文
[00:03:25.200 --> 00:03:27.200]  所以四段不拉攏
[00:03:27.200 --> 00:03:29.200]  其實講到一個同一個信息
[00:03:29.200 --> 00:03:32.200]  我們憑什麼去侍奉上帝?
[00:03:32.200 --> 00:03:35.200]  首先《使徒行傳》第十三章一到四節
