
[00:00:00.000 --> 00:00:02.320]  我們教會在今年四月開始
[00:00:02.320 --> 00:00:05.880]  我們每個月都會有一次主題講道
[00:00:05.880 --> 00:00:09.160]  用「以忽所書」跟大家一起思想
[00:00:09.160 --> 00:00:12.360]  我們如何在恩典中同主同行
[00:00:12.360 --> 00:00:15.080]  接下來我們都會用神的話語
[00:00:15.080 --> 00:00:16.680]  聽聽神跟我們怎麼說
[00:00:16.680 --> 00:00:17.920]  我們一起先祈禱
[00:00:17.920 --> 00:00:23.480]  「神父,我們感謝祢賜給我們生命氣息
[00:00:23.480 --> 00:00:26.160]  讓我們可以回到祢的家
[00:00:26.160 --> 00:00:28.600]  去敬拜祢、去親近祢
[00:00:28.600 --> 00:00:30.760]  奉祢為祢給我們的恩典
[00:00:30.760 --> 00:00:32.160]  我們獻上感恩
[00:00:32.160 --> 00:00:34.720]  求祢與我們眾人同在
[00:00:34.720 --> 00:00:39.480]  讓我們可以將我們在世上的雜務
[00:00:39.480 --> 00:00:44.080]  那些思想、雜念放下
[00:00:44.080 --> 00:00:47.200]  專心來聆聽祢自己的話
[00:00:47.200 --> 00:00:50.800]  願祢的聖靈在我們每一個人的心裡動功
[00:00:50.800 --> 00:00:53.120]  無論說的、聽的
[00:00:53.120 --> 00:00:55.720]  都受到神祢自己的感動
[00:00:55.720 --> 00:00:58.640]  叫我們能夠按著祢的心意而活
[00:00:58.640 --> 00:01:00.040]  聽我們祈禱
[00:01:00.040 --> 00:01:02.600]  奉耶穌基督得勝名求
[00:01:02.600 --> 00:01:03.600]  阿們」
[00:01:03.600 --> 00:01:06.520]  今天要跟大家思想經文是來自
[00:01:06.520 --> 00:01:09.400]  《以忽所書》第二章一到十節
[00:01:09.400 --> 00:01:11.400]  我會先讀一次
[00:01:11.400 --> 00:01:12.520]  大家不需要擔心
[00:01:12.520 --> 00:01:13.920]  待會你們有機會讀
[00:01:13.920 --> 00:01:15.640]  因為當我說到每一段的時候
[00:01:15.640 --> 00:01:16.600]  我就會請你們讀
