
[00:00:00.000 --> 00:00:03.900]  今天很開心能夠再一次跟大家分享
[00:00:03.900 --> 00:00:06.900]  在聖經上神對我們的話語
[00:00:06.900 --> 00:00:12.500]  今天我的分享特別讓我開心和緊張
[00:00:12.500 --> 00:00:18.500]  我緊張到昨晚睡眠不足,經常驚醒
[00:00:18.500 --> 00:00:24.800]  因為今天的訊息是我很想跟大家分享的一篇訊息
[00:00:24.800 --> 00:00:31.800]  這個訊息其實也是藏著我的使命
[00:00:31.800 --> 00:00:34.800]  甚至我來到恩福堂服侍的使命
[00:00:34.800 --> 00:00:37.800]  不過在分享訊息之前
[00:00:37.800 --> 00:00:43.800]  很想了解一下大家有沒有生活上的習慣
[00:00:43.800 --> 00:00:46.800]  讓我認識一下大家
[00:00:46.800 --> 00:00:50.800]  想問一下在座的弟兄姊妹
[00:00:50.800 --> 00:00:53.800]  有沒有人曾經試過網購?
[00:00:54.800 --> 00:00:58.800]  哇,不少喔,是嗎?
[00:00:58.800 --> 00:01:03.800]  如果曾經試過網購,我想大家都會有留意到
[00:01:03.800 --> 00:01:10.800]  通常每年的十一月份,發生什麼事?
[00:01:10.800 --> 00:01:16.800]  是雙十一,購物節
[00:01:16.800 --> 00:01:20.800]  自從十幾年開始,我記得我也有網購
[00:01:20.800 --> 00:01:25.800]  最近也在網上買了一些自己很喜歡的東西
[00:01:25.800 --> 00:01:31.800]  從一個Apps裡面,我發現原來大約十二年前
[00:01:31.800 --> 00:01:36.800]  十二週年,有一個Apps在推動網購
[00:01:36.800 --> 00:01:42.800]  然後每年到十一月的時候,就會有很多優惠
[00:01:42.800 --> 00:01:45.800]  我相信大家都享受過
[00:01:45.800 --> 00:01:50.800]  慢慢地形成了一個氛圍
[00:01:50.800 --> 00:01:56.800]  特別是十一月的時候,就會有很多人鼓動去做網購
[00:01:56.800 --> 00:02:01.800]  而這個氛圍不單單是在網上
[00:02:01.800 --> 00:02:03.800]  我不知道大家有沒有留意到
[00:02:03.800 --> 00:02:10.800]  在這幾年,除了在網上鼓吹購物之外
[00:02:10.800 --> 00:02:16.800]  我們一些實店,一些食肆,其實也開始在十一月的時候
[00:02:16.800 --> 00:02:23.800]  有很多優惠讓大家投入在購物的…
[00:02:23.800 --> 00:02:25.800]  這裡怎麼形容?
[00:02:25.800 --> 00:02:28.800]  瘋狂的裡面
[00:02:28.800 --> 00:02:36.800]  但是十一月份,1111除了購物節之外
[00:02:36.800 --> 00:02:42.800]  我相信在座的都知道還有另外一個節日很有意義
[00:02:42.800 --> 00:02:44.800]  大聲一點
[00:02:44.800 --> 00:02:46.800]  對呀,就是夫妻節
[00:02:46.800 --> 00:02:48.800]  剛剛過去星期一
[00:02:48.800 --> 00:02:53.800]  我們在恩福堂裡面都舉行了一個夫妻節的聚會
[00:02:53.800 --> 00:02:57.800]  有哪位在底英節目有參與今年的夫妻節?
[00:02:57.800 --> 00:03:00.800]  哇,也有不少
[00:03:00.800 --> 00:03:04.800]  除了1111,除了購物節之外
[00:03:04.800 --> 00:03:09.800]  我們很清楚知道,其實每年在11月11日
[00:03:09.800 --> 00:03:11.800]  我們都有舉辦一個夫妻節
[00:03:11.800 --> 00:03:14.800]  特別是我們有信仰的人
[00:03:14.800 --> 00:03:18.800]  因為我們很清楚知道夫妻節的意義
[00:03:18.800 --> 00:03:20.800]  就是一男一女
[00:03:20.800 --> 00:03:22.800]  一夫一妻
[00:03:22.800 --> 00:03:24.800]  一生一世
[00:03:24.800 --> 00:03:26.800]  一心一意
[00:03:26.800 --> 00:03:28.800]  在這一天裡面
[00:03:28.800 --> 00:03:31.800]  我們重新去檢視
[00:03:31.800 --> 00:03:33.800]  或者去鼓動我們
[00:03:33.800 --> 00:03:35.800]  怎樣能夠在我們家庭
[00:03:35.800 --> 00:03:37.800]  在我們夫妻之間
[00:03:37.800 --> 00:03:43.800]  能夠再一次有一個更親密的關係去邁進
[00:03:43.800 --> 00:03:50.800]  但是,我想我們回到人生這麼久的經歷
[00:03:50.800 --> 00:03:52.800]  或者日子的時候
[00:03:52.800 --> 00:03:53.800]  我們都清楚知道
[00:03:53.800 --> 00:03:56.800]  是不是只是1111,慶祝完
[00:03:56.800 --> 00:04:01.800]  我們就能夠有一個和諧美滿的夫妻關係?
[00:04:01.800 --> 00:04:07.800]  這個可能是一個更新的時間
[00:04:07.800 --> 00:04:11.800]  但是其實要去有一個和諧美滿的夫妻
[00:04:11.800 --> 00:04:13.800]  或者家庭關係
[00:04:13.800 --> 00:04:16.800]  就是需要用心去經營的
[00:04:16.800 --> 00:04:18.800]  不單只是1111這一天
[00:04:18.800 --> 00:04:20.800]  甚至是接下來的時間
[00:04:20.800 --> 00:04:22.800]  接下來的年月
[00:04:22.800 --> 00:04:24.800]  接下來的每一天
[00:04:24.800 --> 00:04:26.800]  就好像購物
[00:04:26.800 --> 00:04:28.800]  也不是11月才是購物
[00:04:28.800 --> 00:04:31.800]  我們每個月都會去購物
[00:04:31.800 --> 00:04:35.800]  所以如果要去經營一個美好的婚姻
[00:04:35.800 --> 00:04:40.800]  其實1111只是一個milestone
[00:04:40.800 --> 00:04:41.800]  去提醒我們
[00:04:41.800 --> 00:04:47.800]  我們是每一天都需要去保持著這份關係
[00:04:47.800 --> 00:04:49.800]  記得嗎?
[00:04:49.800 --> 00:04:51.800]  我10月的時候
[00:04:51.800 --> 00:04:54.800]  在祖堂當值
[00:04:54.800 --> 00:04:56.800]  其中站在一個角落
[00:04:56.800 --> 00:04:59.800]  我看到一個很吸引我的畫面
[00:04:59.800 --> 00:05:04.800]  我不知道那天吸引我這個畫面的弟兄姊妹
[00:05:04.800 --> 00:05:07.800]  今天是否坐在我們當中
[00:05:07.800 --> 00:05:09.800]  我看到的是什麼呢?
[00:05:09.800 --> 00:05:11.800]  我看到一位姊妹
[00:05:11.800 --> 00:05:13.800]  很細心、很用心地
[00:05:13.800 --> 00:05:15.800]  在聖餐主日那天
[00:05:15.800 --> 00:05:20.800]  慢慢地撕開聖餐的一層
[00:05:20.800 --> 00:05:22.800]  然後又再撕開一層
[00:05:22.800 --> 00:05:26.800]  就是為了坐在旁邊的丈夫
[00:05:26.800 --> 00:05:30.800]  能夠很順利地去領受聖餐
[00:05:30.800 --> 00:05:33.800]  這個好像很簡單的畫面
[00:05:33.800 --> 00:05:37.800]  但是在裡面即時很吸引我
[00:05:37.800 --> 00:05:39.800]  很想拿出相機
[00:05:39.800 --> 00:05:42.800]  立刻拍下這個景象
[00:05:42.800 --> 00:05:44.800]  讓我可以去留念
[00:05:44.800 --> 00:05:46.800]  但當然我不可以隨便去拍照
[00:05:46.800 --> 00:05:50.800]  在禮堂不可以隨便去拍照
[00:05:50.800 --> 00:05:53.800]  但就是這個畫面
[00:05:53.800 --> 00:05:55.800]  讓我很想
[00:05:55.800 --> 00:05:58.800]  今天能夠和大家分享
[00:05:58.800 --> 00:06:02.800]  今天我想和大家的訊息
[00:06:02.800 --> 00:06:06.800]  在分享之前
[00:06:06.800 --> 00:06:08.800]  我們一起有一個禱告的時間
