
[00:00:00.000 --> 00:00:01.800]  在撒姆爾記上的第一章
[00:00:01.800 --> 00:00:05.920]  其實是在記錄撒姆爾的父母的一段故事
[00:00:05.920 --> 00:00:08.200]  特別是關於他母親的一段故事
[00:00:08.200 --> 00:00:10.840]  這裡提到撒姆爾的父母是
[00:00:10.840 --> 00:00:12.800]  「爾利迦那」和「哈那」
[00:00:12.800 --> 00:00:13.760]  第一節
[00:00:13.760 --> 00:00:16.280]  在以法連山地的拉瑪所飛
[00:00:16.280 --> 00:00:19.040]  有一個以法連人名叫爾利迦那
[00:00:19.040 --> 00:00:21.640]  是耶羅汗的兒子
[00:00:21.640 --> 00:00:23.120]  爾利胡的孫子
[00:00:23.120 --> 00:00:24.960]  托胡的曾孫
[00:00:24.960 --> 00:00:26.160]  蘇弗的元孫
[00:00:26.160 --> 00:00:28.480]  為什麼會記錄得這麼仔細呢?
[00:00:28.480 --> 00:00:30.200]  因為他是一個大人物
[00:00:30.200 --> 00:00:32.840]  就是撒姆爾的家譜
[00:00:32.840 --> 00:00:35.480]  所以他記錄得比較仔細一點
[00:00:35.480 --> 00:00:37.200]  他是以法連人
[00:00:37.200 --> 00:00:38.800]  就是以色列有十二支派
[00:00:38.800 --> 00:00:40.320]  他是其中以法連人
[00:00:40.320 --> 00:00:44.480]  但是其實如果他真的將來要做祭司的話
[00:00:44.480 --> 00:00:45.960]  就比較難一點
[00:00:45.960 --> 00:00:47.440]  因為真的做祭司
[00:00:47.440 --> 00:00:50.720]  只有利未支派的人才可以做到祭司
[00:00:50.720 --> 00:00:51.840]  那麼
[00:00:51.840 --> 00:00:54.040]  爾利迦那有兩個妻子
[00:00:54.040 --> 00:00:54.960]  一個叫哈那
[00:00:54.960 --> 00:00:56.400]  就是撒姆爾的母親
[00:00:56.400 --> 00:00:58.320]  另一個叫比利那
[00:00:58.320 --> 00:00:59.960]  比利那有孩子
[00:00:59.960 --> 00:01:01.920]  哈那卻沒有孩子
[00:01:01.920 --> 00:01:03.840]  根據很多色經學者所看
[00:01:03.840 --> 00:01:06.040]  其實哈那應該是大婆
[00:01:06.040 --> 00:01:07.200]  就是先娶了她
[00:01:07.200 --> 00:01:10.920]  但是她很不幸地沒有孩子
[00:01:10.920 --> 00:01:12.200]  就是無法生育
[00:01:12.200 --> 00:01:14.520]  結果她的丈夫娶了第二個
[00:01:14.520 --> 00:01:15.600]  就叫做比利那
[00:01:15.600 --> 00:01:17.440]  比利那是能夠生育的
[00:01:17.440 --> 00:01:18.920]  這個兒子不是一個兒子
[00:01:18.920 --> 00:01:20.800]  是幾個兒女
[00:01:20.800 --> 00:01:21.680]  就是很多
[00:01:21.680 --> 00:01:24.320]  就好像你踢這些勾罐杯
[00:01:24.320 --> 00:01:25.480]  你不是一比零
[00:01:25.480 --> 00:01:26.800]  你是六七比零
[00:01:27.440 --> 00:01:29.040]  那麼相當吃虧
[00:01:29.040 --> 00:01:30.280]  尤其是以前的女性
[00:01:30.280 --> 00:01:32.560]  她不是說好像我們今天的女性那麼獨立
[00:01:32.560 --> 00:01:33.840]  賺錢比我還多
[00:01:33.840 --> 00:01:34.720]  沒有這些
[00:01:34.720 --> 00:01:40.680]  以前的女性真的靠她的丈夫的家人去養活她
[00:01:40.680 --> 00:01:43.600]  有兒子可以多分一些地產
[00:01:43.600 --> 00:01:46.720]  有兒子可以讓人覺得是受神的祝福
[00:01:46.720 --> 00:01:47.720]  沒有被歧視
[00:01:47.720 --> 00:01:49.760]  但是奈何她真的沒有了
[00:01:49.760 --> 00:01:51.440]  那麼到了第三節
[00:01:51.440 --> 00:01:52.760]  他就這麼說
[00:01:52.760 --> 00:01:56.040]  "這人每年都從他的本城上士羅去敬拜"
[00:01:56.040 --> 00:01:58.280]  "獻祭給萬軍之耶和華"
[00:01:58.280 --> 00:02:01.080]  "在士羅有以利的兩個兒子"
[00:02:01.080 --> 00:02:04.760]  "何弗尼和菲尼哈作耶和華的祭司"
[00:02:04.760 --> 00:02:06.240]  "以利加拿在祭"
[00:02:06.240 --> 00:02:09.560]  "獻祭的那天就把祭肉分給妻子"
[00:02:09.560 --> 00:02:11.840]  "比利那和她所有的兒女"
[00:02:11.840 --> 00:02:12.960]  意思就是
[00:02:12.960 --> 00:02:14.480]  這個以利加拿
[00:02:14.480 --> 00:02:15.680]  就是薩姆爾的父親
[00:02:15.680 --> 00:02:17.440]  也是很敬畏神的
[00:02:17.440 --> 00:02:22.280]  他每年都上去士羅當時的敬拜中心去獻祭
[00:02:22.280 --> 00:02:24.440]  獻祭有很多種祭
[00:02:24.440 --> 00:02:26.560]  其中一些祭例如平安祭
[00:02:26.560 --> 00:02:29.880]  他可以將獻完祭或者獻的祭肉
[00:02:29.880 --> 00:02:33.120]  分給自己的家人和所有的兒女
[00:02:33.120 --> 00:02:34.680]  你看第四節就知道了
[00:02:34.680 --> 00:02:37.920]  哈拿沒有兒子也沒有女兒
