
[00:00:00.000 --> 00:00:01.480]  早安,大英姐妹
[00:00:01.480 --> 00:00:04.160]  給你一點反應吧,早安,大英姐妹
[00:00:04.160 --> 00:00:08.720]  要打個招呼,大家是大英姐妹,打個招呼是好
[00:00:08.720 --> 00:00:12.960]  多謝敬拜隊帶我們一起去敬拜,重新經歷上帝愛
[00:00:12.960 --> 00:00:16.720]  我想問問大哥的問題,你和上帝有多友善?
[00:00:16.720 --> 00:00:19.920]  你和上帝有多熟悉?
[00:00:19.920 --> 00:00:26.240]  當我們去讚美上帝的時候,你有沒有覺得那些歌詞你不太明白它在說什麼?
[00:00:27.640 --> 00:00:35.480]  我剛才在敬拜裡面,當然我自己也敬拜
[00:00:35.480 --> 00:00:41.320]  我也看看大英姐妹的狀況
[00:00:41.320 --> 00:00:48.240]  我覺得你們好像不是唱了那麼久,什麼時候結束?
[00:00:48.240 --> 00:00:49.840]  有一點這樣的感覺
[00:00:49.840 --> 00:00:52.120]  我想為什麼我們會這樣呢?
[00:00:52.120 --> 00:00:55.240]  可能有時候我們說我們沒有經歷過上帝
[00:00:55.240 --> 00:00:58.000]  有時候我們說我們讚美上帝,覺得很奇怪
[00:00:58.000 --> 00:00:59.520]  我覺得那些是什麼呢?
[00:00:59.520 --> 00:01:02.600]  會不會是因為你們都不認識上帝?
[00:01:02.600 --> 00:01:06.520]  會不會是因為我們根本不知道上帝是誰?
[00:01:06.520 --> 00:01:10.200]  你讚美他,他很愛我,究竟是什麼呢?
[00:01:10.200 --> 00:01:12.160]  有時候我們都不認識上帝
[00:01:12.160 --> 00:01:17.280]  我們一起去認識上帝吧,從認識上帝的華語開始
[00:01:17.280 --> 00:01:19.320]  我們今天進入港島的時候
[00:01:19.320 --> 00:01:23.520]  今天去港島,哇,拍拖啊
[00:01:23.520 --> 00:01:27.720]  我記得早一兩年的時候,可能是兩三年
[00:01:27.720 --> 00:01:31.400]  我們有一次在大早的時候說拍拖
[00:01:31.400 --> 00:01:36.040]  當時應該是中一的年輕人,我不知道是不是你
[00:01:36.040 --> 00:01:37.560]  或者他已經走了
[00:01:37.560 --> 00:01:42.240]  但是他一說,大早要拍拖,說這些東西
[00:01:42.240 --> 00:01:45.320]  我記得那個角落,不是你
[00:01:45.320 --> 00:01:47.600]  那個角落有一組人在那裡
[00:01:47.600 --> 00:01:51.560]  然後就拿著機器出來打,不知道在做什麼
[00:01:51.560 --> 00:01:55.000]  我那支很兇的,就走過去
[00:01:55.000 --> 00:01:57.800]  你啊?不是吧?
[00:01:57.800 --> 00:02:00.160]  我那支很兇的,我就走過去,你們在做什麼?
[00:02:00.160 --> 00:02:04.480]  其實我表面很兇,但我心底裡很溫柔
