
[00:00:00.000 --> 00:00:01.600]  親愛的恩主,我們感謝祢
[00:00:01.600 --> 00:00:03.680]  感謝祢給我們有利的話
[00:00:03.680 --> 00:00:07.800]  也幫助我們一起實踐祢的真理
[00:00:07.800 --> 00:00:10.760]  讓我們在世界不同的角落
[00:00:10.760 --> 00:00:13.880]  在身邊的社群裏面
[00:00:13.880 --> 00:00:15.400]  為主祢作見證
[00:00:15.400 --> 00:00:17.800]  我們感謝祢,瑞聽禱告,奉主名求
[00:00:17.800 --> 00:00:18.800]  阿們
[00:00:18.800 --> 00:00:24.600]  我不知道大家在身邊的群體裏面
[00:00:24.600 --> 00:00:28.280]  信仰給人的印象是怎樣
[00:00:28.280 --> 00:00:32.280]  在香港基督教對微信的朋友來說
[00:00:32.280 --> 00:00:35.120]  除了給我們兩天假期之外
[00:00:35.120 --> 00:00:37.480]  讓我們可以放鬆一下
[00:00:37.480 --> 00:00:40.160]  聖誕節、復活節
[00:00:40.160 --> 00:00:42.960]  有人說基督教給人的印象
[00:00:42.960 --> 00:00:44.680]  其實一點也不輕鬆
[00:00:44.680 --> 00:00:48.280]  好像畫面上孫悟空的緊箍咒
[00:00:48.280 --> 00:00:50.080]  沒有自由
[00:00:50.080 --> 00:00:52.480]  基督教有很多規矩
[00:00:52.480 --> 00:00:54.240]  怎樣說呢?
[00:00:54.240 --> 00:00:56.000]  又要回教會
[00:00:56.000 --> 00:00:57.240]  又要奉獻
[00:00:57.240 --> 00:00:59.160]  好像綁手綁腳一樣
[00:00:59.160 --> 00:01:02.560]  不知道你跟身邊的朋友說你是基督徒
[00:01:02.560 --> 00:01:05.240]  他抱著什麼眼光看著你呢?
[00:01:05.240 --> 00:01:07.480]  會不會是同情的眼光呢?
[00:01:07.480 --> 00:01:09.080]  哎呀,真是淒涼
[00:01:09.080 --> 00:01:11.160]  是基督徒
[00:01:11.160 --> 00:01:12.440]  是嗎?
[00:01:12.440 --> 00:01:13.680]  不過很特別
[00:01:13.680 --> 00:01:17.120]  基督教又給人一種釋放的感覺
[00:01:17.120 --> 00:01:19.680]  很有趣的是
[00:01:19.680 --> 00:01:21.920]  解讀、解禱
[00:01:21.920 --> 00:01:25.320]  一些很大威力的力量
[00:01:25.320 --> 00:01:27.000]  其實都是來自基督教
[00:01:27.000 --> 00:01:29.120]  福音大給人釋放的力量
[00:01:29.120 --> 00:01:31.840]  福音解讀是現時最有效
[00:01:31.840 --> 00:01:32.960]  比起沒有宗教
[00:01:32.960 --> 00:01:35.200]  甚至其他宗教的解讀
[00:01:35.200 --> 00:01:38.200]  更加有威力
[00:01:38.200 --> 00:01:41.840]  我上網看到一些資料
[00:01:41.840 --> 00:01:45.320]  甚至有其他宗教的學者
[00:01:45.320 --> 00:01:50.320]  去研究為什麼基督教的福音解讀
[00:01:50.320 --> 00:01:52.440]  這麼大威力呢?
[00:01:52.440 --> 00:01:54.680]  我自己這樣看
[00:01:54.680 --> 00:01:57.440]  可能給人一種接納
[00:01:57.440 --> 00:01:59.200]  一種威力
[00:01:59.200 --> 00:02:00.920]  一種敬愛
[00:02:00.920 --> 00:02:03.680]  有弟兄亦都告訴我
[00:02:03.680 --> 00:02:05.440]  他信耶穌的時候
[00:02:05.440 --> 00:02:10.800]  很幫助他戒煙、戒酒、戒賭
[00:02:10.800 --> 00:02:13.520]  又聽說信仰幫到一些姐妹
[00:02:13.520 --> 00:02:14.760]  不可以只這樣說
[00:02:14.760 --> 00:02:17.160]  信仰幫到一些弟兄姐妹
[00:02:17.160 --> 00:02:21.320]  在一些購物上
[00:02:21.320 --> 00:02:24.200]  不會有這麼多沉溺
[00:02:24.200 --> 00:02:25.200]  換言之
[00:02:25.200 --> 00:02:28.520]  會不會基督教對於正常人來說
[00:02:28.520 --> 00:02:30.240]  就是綑綁
