
[00:00:00.000 --> 00:00:02.440]  今天我們的主題是非一般的王
[00:00:02.440 --> 00:00:04.440]  詩篇93篇
[00:00:04.440 --> 00:00:09.640]  王對於你來說是什麼意思呢
[00:00:09.640 --> 00:00:10.880]  王
[00:00:10.880 --> 00:00:12.800]  皇帝
[00:00:12.800 --> 00:00:14.320]  君王
[00:00:14.320 --> 00:00:16.040]  秦始皇
[00:00:16.040 --> 00:00:17.520]  太皇
[00:00:17.520 --> 00:00:19.040]  日本天皇
[00:00:19.040 --> 00:00:22.280]  又令你想起什麼呢
[00:00:22.280 --> 00:00:24.760]  至高無上的權利
[00:00:24.760 --> 00:00:26.320]  享有特權
[00:00:26.320 --> 00:00:29.680]  在18世紀以前
[00:00:30.160 --> 00:00:33.960]  君主制的國家幾乎遍佈世界
[00:00:33.960 --> 00:00:38.720]  但自資產階級民主革命發生至今
[00:00:38.720 --> 00:00:42.960]  剩下的君主制的國家只有幾十個
[00:00:42.960 --> 00:00:47.000]  現今很多君主的功能已經退化
[00:00:47.000 --> 00:00:51.160]  很多時候你會留意到他們出來都是做做騷
[00:00:51.160 --> 00:00:53.440]  做做親善的大事
[00:00:53.440 --> 00:00:56.640]  在政治上的角色是很有限
[00:00:58.400 --> 00:01:00.200]  現代人大多數認為
[00:01:00.200 --> 00:01:03.520]  君主的政制是落後的
[00:01:03.520 --> 00:01:08.120]  不少人更抗拒這種治理模式
[00:01:08.120 --> 00:01:12.000]  無疑人世間的王權
[00:01:12.000 --> 00:01:14.480]  不少都充斥著暴政
[00:01:14.480 --> 00:01:17.560]  即使沒有稱為君王
[00:01:17.560 --> 00:01:19.440]  而改用其他的清閒
[00:01:19.440 --> 00:01:23.800]  亦冷染式極權統治的本質
[00:01:23.800 --> 00:01:25.880]  此外
[00:01:26.440 --> 00:01:28.440]  君主和那班王室成員
[00:01:28.440 --> 00:01:30.320]  他們享有特權
[00:01:30.320 --> 00:01:32.160]  龐大的財產
[00:01:32.160 --> 00:01:33.600]  奢華的生活
[00:01:33.600 --> 00:01:37.000]  都成為平民百姓評擊的對象
[00:01:37.000 --> 00:01:39.720]  但既然如此
[00:01:39.720 --> 00:01:42.040]  為什麼聖經說天國
