
[00:00:00.000 --> 00:00:04.000]  你可否留意這支咪是不同的
[00:00:04.000 --> 00:00:06.000]  剛才阿心給我這支咪
[00:00:06.000 --> 00:00:08.000]  我發現這支咪好像不同了
[00:00:08.000 --> 00:00:10.000]  尾巴為何會長了
[00:00:10.000 --> 00:00:12.000]  然後阿心就說
[00:00:12.000 --> 00:00:14.000]  其實這支咪轉了很久
[00:00:14.000 --> 00:00:16.000]  這支咪已經有段時間了
[00:00:16.000 --> 00:00:18.000]  其實是因為我放假了
[00:00:18.000 --> 00:00:22.000]  所以這支咪轉了我也不知道
[00:00:22.000 --> 00:00:24.000]  我放了三個月假
[00:00:24.000 --> 00:00:26.000]  然後剛才阿心說
[00:00:26.000 --> 00:00:28.000]  其實咪轉了
[00:00:28.000 --> 00:00:30.000]  這三個月裏面還有甚麼不同
[00:00:30.000 --> 00:00:32.000]  還有甚麼變了
[00:00:32.000 --> 00:00:34.000]  我頭髮應該是長了
[00:00:34.000 --> 00:00:36.000]  然後我就想
[00:00:36.000 --> 00:00:40.000]  由實體轉去上線
[00:00:40.000 --> 00:00:42.000]  然後又上線轉回實體
[00:00:42.000 --> 00:00:44.000]  然後想起有些你們離開了
[00:00:44.000 --> 00:00:46.000]  去了外國
[00:00:46.000 --> 00:00:48.000]  有些升了團等等
[00:00:48.000 --> 00:00:50.000]  然後其實生命裏面很多事都不同了
[00:00:50.000 --> 00:00:52.000]  短短三個月離開了
[00:00:52.000 --> 00:00:54.000]  都變了很多東西
[00:00:54.000 --> 00:00:56.000]  但令我很感動的就是
[00:00:56.000 --> 00:00:58.000]  我想起唯一我們
[00:00:58.000 --> 00:01:00.000]  看著powerpoint去敬拜著
[00:01:00.000 --> 00:01:02.000]  是不變
[00:01:02.000 --> 00:01:04.000]  這個是令我很感動
[00:01:04.000 --> 00:01:06.000]  所以願意我們一起找不變的主
[00:01:06.000 --> 00:01:08.000]  我們一起去敬拜
[00:01:08.000 --> 00:01:10.000]  還有今天聽他的講道
[00:01:10.000 --> 00:01:12.000]  我們開始之前有個祈禱
[00:01:12.000 --> 00:01:14.000]  七天父感謝你
[00:01:14.000 --> 00:01:16.000]  是一個不變的主
[00:01:16.000 --> 00:01:18.000]  我們的生命
[00:01:18.000 --> 00:01:20.000]  有很多改變
[00:01:20.000 --> 00:01:22.000]  我們社會都變了很多
[00:01:22.000 --> 00:01:24.000]  我們身邊可能很多朋友
[00:01:24.000 --> 00:01:26.000]  離開了
[00:01:26.000 --> 00:01:28.000]  我們很多變化
[00:01:28.000 --> 00:01:30.000]  甚至我們自己都不同了
[00:01:30.000 --> 00:01:32.000]  都是在變
[00:01:32.000 --> 00:01:34.000]  但天父唯有你是不變
[00:01:34.000 --> 00:01:36.000]  我們感謝你
[00:01:36.000 --> 00:01:38.000]  願意在萬變的裏面
[00:01:38.000 --> 00:01:40.000]  你的不變你去安穩我們
[00:01:40.000 --> 00:01:42.000]  你去令我們知道
[00:01:42.000 --> 00:01:44.000]  其實多艱難都好
[00:01:44.000 --> 00:01:46.000]  多浮動都好
[00:01:46.000 --> 00:01:48.000]  我們有你去做我們的 anchor
[00:01:48.000 --> 00:01:50.000]  讓我們知道認定
[00:01:50.000 --> 00:01:52.000]  你就是我們的主
[00:01:52.000 --> 00:01:54.000]  以致我們可以一生的
[00:01:54.000 --> 00:01:56.000]  去敬拜你
[00:01:56.000 --> 00:01:58.000]  願今天你的說話
[00:01:58.000 --> 00:02:00.000]  去教導我們怎樣成為一個群體
[00:02:00.000 --> 00:02:02.000]  以致我們可以一起的
[00:02:02.000 --> 00:02:04.000]  不單是孤單的去面對一切的變化
[00:02:04.000 --> 00:02:06.000]  但我們可以一起的
[00:02:06.000 --> 00:02:08.000]  去走在這條信仰的路上
[00:02:08.000 --> 00:02:10.000]  我們以上的討告
[00:02:10.000 --> 00:02:12.000]  奉主命求,衙門
[00:02:12.000 --> 00:02:14.000]  我問一下
[00:02:14.000 --> 00:02:16.000]  大家一個幾有爭議性的問題
[00:02:16.000 --> 00:02:18.000]  我沒有想過是那麼爭議性的
[00:02:18.000 --> 00:02:20.000]  不過我做一下research
[00:02:20.000 --> 00:02:22.000]  google一下
[00:02:22.000 --> 00:02:24.000]  發現原來不是,原來是很爭議性的
[00:02:24.000 --> 00:02:26.000]  爭議性的問題是什麼呢
[00:02:26.000 --> 00:02:28.000]  就是你覺得男朋友
[00:02:28.000 --> 00:02:30.000]  好不好
[00:02:30.000 --> 00:02:32.000]  應不應該
[00:02:32.000 --> 00:02:34.000]  幫女朋友
[00:02:34.000 --> 00:02:36.000]  拿手袋呢
[00:02:36.000 --> 00:02:40.000]  當你在街上見到一個男孩
[00:02:40.000 --> 00:02:42.000]  幫他的女朋友拿手袋
[00:02:42.000 --> 00:02:44.000]  你覺得怎樣呢
[00:02:44.000 --> 00:02:46.000]  你有拍拖的
[00:02:46.000 --> 00:02:48.000]  你現在是男朋友的
[00:02:48.000 --> 00:02:50.000]  你又會不會幫你的女朋友
[00:02:50.000 --> 00:02:52.000]  拿手袋呢
[00:02:52.000 --> 00:02:54.000]  你是女朋友那個,你又會不會
[00:02:54.000 --> 00:02:56.000]  叫你男朋友幫你拿手袋呢
[00:02:56.000 --> 00:02:58.000]  他拿不拿你覺得代表什麼呢
[00:02:58.000 --> 00:03:00.000]  我爸爸
[00:03:00.000 --> 00:03:02.000]  是很大男人的
[00:03:02.000 --> 00:03:04.000]  超大男人的
[00:03:04.000 --> 00:03:06.000]  所以當他在街上見到男孩
[00:03:06.000 --> 00:03:08.000]  幫女朋友拿手袋
[00:03:08.000 --> 00:03:10.000]  特別是拿一些很小的
[00:03:10.000 --> 00:03:12.000]  很可愛的
[00:03:12.000 --> 00:03:14.000]  很多毛公仔
[00:03:14.000 --> 00:03:16.000]  很女性化的手袋,他就有話說
[00:03:16.000 --> 00:03:18.000]  他講什麼就不要
[00:03:18.000 --> 00:03:20.000]  告訴大家,不跟大家分享
[00:03:20.000 --> 00:03:22.000]  因為他都是比較主觀和偏激的
[00:03:22.000 --> 00:03:24.000]  不過
[00:03:24.000 --> 00:03:26.000]  在他雲雲的很多評語
[00:03:26.000 --> 00:03:28.000]  之下,有一句是令我
[00:03:28.000 --> 00:03:30.000]  很深刻的
[00:03:30.000 --> 00:03:32.000]  那句是在我大學的時候
[00:03:32.000 --> 00:03:34.000]  他說
[00:03:34.000 --> 00:03:36.000]  幫女朋友拿著丁屎
[00:03:36.000 --> 00:03:38.000]  這麼大的手袋
[00:03:38.000 --> 00:03:40.000]  有什麼用呢
[00:03:40.000 --> 00:03:42.000]  你要看他將來是否願意為你承擔
[00:03:42.000 --> 00:03:44.000]  起一頭家
[00:03:44.000 --> 00:03:46.000]  他這句話
