
[00:00:00.000 --> 00:00:03.840]  今晚的序會的講題叫做
[00:00:03.840 --> 00:00:07.420]  超時空同行者,不知道大家想起什麼
[00:00:07.420 --> 00:00:08.700]  會不會想起
[00:00:08.700 --> 00:00:10.500]  超時空要塞
[00:00:10.500 --> 00:00:13.560]  可能大家的年代會想起這個
[00:00:13.560 --> 00:00:16.640]  超時空同行者是誰來的呢
[00:00:16.640 --> 00:00:21.240]  這張PBT裡面也有一句說話
[00:00:21.240 --> 00:00:22.780]  最近大家都會
[00:00:22.780 --> 00:00:24.580]  很深印象
[00:00:24.580 --> 00:00:27.140]  生人也有很多地獄
[00:00:27.640 --> 00:00:30.460]  有誰可以陪你走過呢
[00:00:30.460 --> 00:00:31.740]  然後
[00:00:31.740 --> 00:00:34.820]  Poster也很好,設計上有隻手
[00:00:34.820 --> 00:00:38.400]  指向誰呢
[00:00:38.400 --> 00:00:40.960]  好像指向答案
[00:00:40.960 --> 00:00:43.520]  有誰可以陪你走過
[00:00:43.520 --> 00:00:47.360]  就是超時空同行者,他究竟是誰呢
[00:00:47.360 --> 00:00:48.380]  好
[00:00:48.380 --> 00:00:51.700]  想問一下在我們當中
[00:00:53.240 --> 00:00:58.100]  哪一位是第一次來參加我們崇拜的新朋友
[00:00:58.100 --> 00:01:01.180]  如果有請你舉手
[00:01:01.180 --> 00:01:03.480]  我看到
[00:01:03.480 --> 00:01:06.300]  也有一些新朋友在,感謝
[00:01:06.300 --> 00:01:09.120]  好
[00:01:09.120 --> 00:01:11.420]  但也就是說
[00:01:11.420 --> 00:01:15.780]  大部分在我們當中已經是信主的弟兄姊妹了
[00:01:15.780 --> 00:01:18.840]  今晚是福音聖崇拜
[00:01:18.840 --> 00:01:20.880]  適合新朋友
[00:01:20.880 --> 00:01:21.920]  但弟兄姊妹
[00:01:22.680 --> 00:01:23.700]  你們現在是不是
[00:01:23.700 --> 00:01:24.980]  可以走呢
[00:01:24.980 --> 00:01:31.640]  不用走的,大家不是陪太子讀書,也不是陪新朋友聽信息
[00:01:31.640 --> 00:01:35.220]  今晚的信息也是對弟兄姊妹說的
