
[00:00:00.000 --> 00:00:04.000]  在西班牙有個球會
[00:00:04.000 --> 00:00:06.000]  叫做貝迪斯的
[00:00:06.000 --> 00:00:08.000]  花方可以數出來
[00:00:08.000 --> 00:00:10.000]  這個球場是坐五萬人左右的
[00:00:10.000 --> 00:00:12.000]  皇家貝迪斯
[00:00:12.000 --> 00:00:14.000]  很有趣的
[00:00:14.000 --> 00:00:18.000]  每年聖誕節前的比賽當中
[00:00:18.000 --> 00:00:20.000]  他們有個活動
[00:00:20.000 --> 00:00:22.000]  這個活動就是他們要求球迷
[00:00:22.000 --> 00:00:24.000]  帶一個公仔回來
[00:00:24.000 --> 00:00:26.000]  怎樣呢
[00:00:26.000 --> 00:00:28.000]  在中場休息的時候
[00:00:28.000 --> 00:00:32.000]  一二三就將公仔扔到球場中間
[00:00:32.000 --> 00:00:34.000]  你猜他們在做什麼呢
[00:00:34.000 --> 00:00:38.000]  其實他們想搜集一些人捐獻的公仔
[00:00:38.000 --> 00:00:40.000]  做聖誕禮物
[00:00:40.000 --> 00:00:42.000]  給貧窮的小朋友
[00:00:42.000 --> 00:00:44.000]  那一次
[00:00:44.000 --> 00:00:46.000]  剛剛在聖誕節之前
[00:00:46.000 --> 00:00:48.000]  他們在主場比賽的時候
[00:00:48.000 --> 00:00:50.000]  就扔公仔
[00:00:50.000 --> 00:00:54.000]  搜集超過一萬九千隻公仔
[00:00:54.000 --> 00:00:57.000]  送給當地貧窮的兒童
[00:00:57.000 --> 00:00:59.000]  一份聖誕禮物
[00:00:59.000 --> 00:01:01.000]  那場比賽皇家貝迪斯
[00:01:01.000 --> 00:01:04.000]  贏了皇家蘇斯達四比零
[00:01:04.000 --> 00:01:07.000]  升到聯賽榜第三位
[00:01:07.000 --> 00:01:09.000]  在報紙或者網絡上就說
[00:01:09.000 --> 00:01:12.000]  好人好事好成績
[00:01:12.000 --> 00:01:14.000]  是的
[00:01:14.000 --> 00:01:16.000]  這個世界上好人好事的東西
[00:01:16.000 --> 00:01:18.000]  真的叫做買少見少
[00:01:18.000 --> 00:01:22.000]  心想現在你去到某些地方
[00:01:22.000 --> 00:01:24.000]  你見到婆婆跌倒
[00:01:24.000 --> 00:01:25.000]  你不敢扶她
[00:01:25.000 --> 00:01:27.000]  你是不是推她
[00:01:27.000 --> 00:01:28.000]  或者有些情況
[00:01:28.000 --> 00:01:31.000]  做好人好心著雷劈
[00:01:31.000 --> 00:01:32.000]  是不是
[00:01:32.000 --> 00:01:34.000]  有時候我們真的不敢做好事
[00:01:34.000 --> 00:01:36.000]  因為好像聖經這樣說
[00:01:36.000 --> 00:01:38.000]  一向不乏事事增加
[00:01:38.000 --> 00:01:42.000]  人的愛心就漸漸凋嘆了
[00:01:42.000 --> 00:01:46.000]  真的楊世間是這麼扭曲
[00:01:46.000 --> 00:01:49.000]  楊世間有沒有全流美好呢
[00:01:49.000 --> 00:01:52.000]  是今天我們經文當中思想的問題
[00:01:52.000 --> 00:01:54.000]  在聖經當中
[00:01:54.000 --> 00:01:56.000]  我們先看一看
[00:01:56.000 --> 00:02:01.000]  當時保羅寫提摩太前後書
[00:02:01.000 --> 00:02:04.000]  有一個背景
[00:02:04.000 --> 00:02:06.000]  當時的背景
[00:02:06.000 --> 00:02:09.000]  可以說聖經認為提摩太前後書
[00:02:09.000 --> 00:02:13.000]  是保羅最後所寫的兩卷宣信
[00:02:13.000 --> 00:02:15.000]  當時保羅面對的
[00:02:15.000 --> 00:02:17.000]  就是當時的羅馬政權
[00:02:17.000 --> 00:02:20.000]  對教開始不友善
[00:02:20.000 --> 00:02:23.000]  甚至因為政治的緣故
[00:02:23.000 --> 00:02:27.000]  尼祿王轉移政治的視線
[00:02:27.000 --> 00:02:30.000]  就開始鼓勵教徒或者教餓教徒
[00:02:30.000 --> 00:02:33.000]  甚至猶太教開始對教徒也不妥
[00:02:33.000 --> 00:02:36.000]  這班人是異端來的
[00:02:36.000 --> 00:02:38.000]  不讓他們去會堂
[00:02:38.000 --> 00:02:40.000]  甚至保羅不斷為了
[00:02:40.000 --> 00:02:43.000]  收不收夠約的國禮
[00:02:43.000 --> 00:02:46.000]  和猶太人爭不已
[00:02:46.000 --> 00:02:48.000]  抓去坐牢
[00:02:48.000 --> 00:02:49.000]  但是另一方面
[00:02:49.000 --> 00:02:52.000]  而福音書已經傳遍整個歐洲外邦人
[00:02:52.000 --> 00:02:54.000]  很多教會成立
[00:02:54.000 --> 00:02:56.000]  很多人信耶穌
[00:02:56.000 --> 00:02:58.000]  而且福音所講的內容
[00:02:58.000 --> 00:03:00.000]  是愛的內容
[00:03:00.000 --> 00:03:03.000]  是充滿我們行真理
[00:03:03.000 --> 00:03:05.000]  做多明的事
[00:03:05.000 --> 00:03:08.000]  我們充滿愛心的行為
[00:03:08.000 --> 00:03:09.000]  甚至我們宣講有個上帝
[00:03:09.000 --> 00:03:11.000]  愛我們的上帝
[00:03:11.000 --> 00:03:13.000]  好像很矛盾
[00:03:13.000 --> 00:03:14.000]  一邊被人迫害
[00:03:14.000 --> 00:03:17.000]  一邊我們宣揚愛
[00:03:17.000 --> 00:03:20.000]  我們心想我們沒有得罪大家
[00:03:20.000 --> 00:03:23.000]  何必這樣對待我們
[00:03:23.000 --> 00:03:25.000]  甚至我們面具的世界
[00:03:25.000 --> 00:03:28.000]  對我們的態度不知如期
[00:03:28.000 --> 00:03:30.000]  我們大惑不解
[00:03:30.000 --> 00:03:32.000]  我們做好心做好事
