
[00:00:00.000 --> 00:00:05.680]  今日的講題是從情緒分辨屬靈狀況
[00:00:05.680 --> 00:00:09.880]  有大英姐妹知道我講這個講題
[00:00:09.880 --> 00:00:12.480]  她們的反應都很特別
[00:00:12.480 --> 00:00:14.920]  她們說這個講題很有趣
[00:00:14.920 --> 00:00:16.400]  講情緒
[00:00:16.400 --> 00:00:19.160]  又說很貼地
[00:00:19.160 --> 00:00:20.680]  很想聽
[00:00:20.680 --> 00:00:22.760]  其實反映一件事
[00:00:22.760 --> 00:00:26.760]  就是我們人是有很多情緒的
[00:00:26.760 --> 00:00:30.760]  不知道大英姐妹你最近是負面的情緒多一點
[00:00:30.760 --> 00:00:32.760]  還是正面的情緒多一點
[00:00:32.760 --> 00:00:36.760]  一邊聽的時候就去想一下自己有沒有這些情緒
[00:00:36.760 --> 00:00:39.760]  剛才唱詩提到很多不同的情緒
[00:00:39.760 --> 00:00:41.760]  我們有沒有那些情緒呢
[00:00:41.760 --> 00:00:44.760]  怎樣才有多一點喜樂多一點力量呢
[00:00:44.760 --> 00:00:48.760]  其實聖經裡面都講很多情緒
[00:00:48.760 --> 00:00:50.760]  無論舊約新約都有講
[00:00:50.760 --> 00:00:52.760]  所以我們今天都會看
[00:00:52.760 --> 00:00:54.760]  聖經裡面不同的經文
[00:00:54.760 --> 00:00:56.760]  看看怎樣講情緒
[00:00:56.760 --> 00:00:58.760]  講我們內心的狀態
[00:00:58.760 --> 00:01:00.760]  其實這些情緒
[00:01:00.760 --> 00:01:03.760]  高高低低正面又負面又好
[00:01:03.760 --> 00:01:06.760]  其實是反映著你裡面的狀況
[00:01:06.760 --> 00:01:10.760]  甚至反映著你跟神的關係是怎樣的
[00:01:10.760 --> 00:01:14.760]  我們一起祈禱吧
[00:01:14.760 --> 00:01:18.760]  親愛的天父我們感謝你
[00:01:18.760 --> 00:01:20.760]  你賜給我們情緒
[00:01:20.760 --> 00:01:23.760]  讓我們透過情緒認識自己更加多
[00:01:23.760 --> 00:01:26.760]  知道自己的真正需要
[00:01:26.760 --> 00:01:29.760]  求你透過你的聖言向我們說話
[00:01:29.760 --> 00:01:31.760]  讓我們更加明白你的心意
[00:01:31.760 --> 00:01:33.760]  求你賜福以後的時間
