
[00:00:00.000 --> 00:00:02.640]  不如給點掌聲我們的侍奉團隊好嗎
[00:00:02.640 --> 00:00:05.240]  感恩啦,他們可以去服侍
[00:00:05.240 --> 00:00:08.920]  特別是過了暑假,很多侍奉人員
[00:00:08.920 --> 00:00:10.280]  其實我聽到的都是
[00:00:10.280 --> 00:00:13.520]  嘩,那個暑假比上學還要忙
[00:00:13.520 --> 00:00:16.200]  所以不如我們給點掌聲我們旁邊那個
[00:00:16.200 --> 00:00:19.200]  有份參與服侍的大兄姐妹
[00:00:19.200 --> 00:00:20.520]  (掌聲)
[00:00:20.520 --> 00:00:22.880]  嘩,暑假還比較長
[00:00:22.880 --> 00:00:25.640]  有沒有突然間覺得好像開學好一點的感覺
[00:00:25.640 --> 00:00:27.960]  沒有啦,應該沒有的,我相信沒有
[00:00:27.960 --> 00:00:29.960]  不如你跟旁邊那個說
[00:00:29.960 --> 00:00:32.680]  青春不就是這樣拿來燃燒的嗎
[00:00:32.680 --> 00:00:34.480]  跟你旁邊那個這樣說
[00:00:34.480 --> 00:00:36.920]  (掌聲)
[00:00:36.920 --> 00:00:38.920]  值得的,真的
[00:00:38.920 --> 00:00:40.760]  (掌聲)
[00:00:40.760 --> 00:00:43.320]  可以體會更多,是不是很棒
[00:00:43.320 --> 00:00:45.320]  所以一切都是值得的
[00:00:45.320 --> 00:00:49.440]  今天開始之前很想跟大家說一個故事
[00:00:49.440 --> 00:00:50.600]  是一個笑話
[00:00:50.600 --> 00:00:53.200]  大家記得要笑話,不然很難看
[00:00:53.200 --> 00:00:55.040]  故事是怎樣的呢
[00:00:55.040 --> 00:00:57.400]  有一個人,是一個女人
[00:00:57.400 --> 00:00:58.920]  她想買個手袋
[00:00:58.920 --> 00:01:00.920]  嘩,好貴呀
[00:01:00.920 --> 00:01:03.920]  不斷儲錢買這個手袋
[00:01:03.920 --> 00:01:06.440]  最後儲夠了就去買
[00:01:06.440 --> 00:01:07.720]  很開心回到家
[00:01:07.720 --> 00:01:10.840]  一開手袋,整條拉鏈飛了出來
[00:01:10.840 --> 00:01:13.120]  然後她就知道她買了假貨
[00:01:13.120 --> 00:01:14.400]  這個女人很不開心
[00:01:14.400 --> 00:01:16.800]  嘩,我儲了這麼久錢買這個手袋
[00:01:16.800 --> 00:01:18.200]  結果是假貨
[00:01:18.200 --> 00:01:20.400]  她不開心到一個地步
[00:01:20.400 --> 00:01:22.560]  她抑鬱,還要自殺
[00:01:22.560 --> 00:01:25.400]  她就去買生埃,想毒死自己
[00:01:25.400 --> 00:01:28.320]  怎知道吃了生埃,為甚麼沒事
[00:01:28.320 --> 00:01:31.200]  因為生埃是假的
[00:01:31.200 --> 00:01:34.760]  然後她吃完生埃沒事,沒有死
[00:01:34.760 --> 00:01:36.560]  突然間她覺悟了人生
[00:01:36.560 --> 00:01:38.440]  嘩,原來有生命已經很好
[00:01:38.440 --> 00:01:40.000]  手袋算得了甚麼
[00:01:40.000 --> 00:01:42.240]  然後她就覺得值得慶祝
[00:01:42.240 --> 00:01:43.800]  先買一瓶紅酒慶祝
[00:01:43.800 --> 00:01:45.000]  然後怎樣
[00:01:45.000 --> 00:01:46.520]  死了
[00:01:46.520 --> 00:01:47.880]  最後這個女人就死了
[00:01:47.880 --> 00:01:49.880]  因為那瓶紅酒是假的
[00:01:49.880 --> 00:01:52.720]  所以其實這個故事教訓我們
[00:01:52.720 --> 00:01:54.720]  這個世界很多事都不可信
[00:01:54.720 --> 00:01:56.320]  大家要大眼識人
[00:01:56.320 --> 00:01:58.120]  正如我買鞋
[00:01:58.120 --> 00:01:59.520]  買一雙Hawker
[00:01:59.520 --> 00:02:01.320]  上網嘩,這麼便宜
[00:02:01.320 --> 00:02:02.720]  七百多八百元
[00:02:02.720 --> 00:02:04.520]  原來很多東西上網都是假的
[00:02:04.520 --> 00:02:06.720]  所以大家小心,大眼識人
[00:02:06.720 --> 00:02:07.720]  是不是
[00:02:07.720 --> 00:02:08.920]  有個人這樣說過
[00:02:08.920 --> 00:02:13.520]  他說一個毒的酒為甚麼是毒呢
[00:02:13.520 --> 00:02:15.720]  不是因為它沒有酒
[00:02:15.720 --> 00:02:17.320]  而是因為它有毒
[00:02:17.320 --> 00:02:20.320]  它裡面是很好的酒
[00:02:20.320 --> 00:02:23.320]  可以是千年佳釀
[00:02:23.320 --> 00:02:25.720]  但其實當中如果有少許毒素
[00:02:25.720 --> 00:02:28.120]  其實可以毒死我們
[00:02:28.120 --> 00:02:29.520]  或者可能買個手袋
[00:02:29.520 --> 00:02:31.320]  這些很簡單,很小事
[00:02:31.320 --> 00:02:32.720]  買雙鞋很小事
[00:02:32.720 --> 00:02:34.920]  甚至買酒就嚴重些
[00:02:34.920 --> 00:02:36.320]  因為你會毒死
[00:02:36.320 --> 00:02:38.920]  有些東西其實要來得緊要
[00:02:38.920 --> 00:02:39.920]  來得謹慎
[00:02:39.920 --> 00:02:41.520]  我們要好好保護它
[00:02:41.520 --> 00:02:43.520]  不要讓它成為一種毒素
[00:02:43.520 --> 00:02:44.920]  會傷害到我們
[00:02:44.920 --> 00:02:46.120]  今天不是說酒
[00:02:46.120 --> 00:02:47.520]  也不是說買鞋
[00:02:47.520 --> 00:02:49.720]  其實今天很想說關係
