
[00:00:00.000 --> 00:00:04.960]  今天很想和大家一起去看羅馬書
[00:00:04.960 --> 00:00:06.960]  兩節很短的經文
[00:00:06.960 --> 00:00:10.640]  我們一起讀經文吧
[00:00:10.640 --> 00:00:11.640]  預備起
[00:00:11.640 --> 00:00:14.240]  「我不以福音為始
[00:00:14.240 --> 00:00:17.040]  這福音本是神的大能
[00:00:17.040 --> 00:00:19.360]  要救一切相信的
[00:00:19.360 --> 00:00:21.200]  先是猶太人
[00:00:21.200 --> 00:00:23.200]  後是希臘尼人
[00:00:23.200 --> 00:00:27.960]  因為神的義正在這福音上顯明出來
[00:00:27.960 --> 00:00:30.200]  這義是本於順
[00:00:30.200 --> 00:00:31.840]  以至於順
[00:00:31.840 --> 00:00:33.840]  如經上所記
[00:00:33.840 --> 00:00:36.400]  義人必因順得生」
[00:00:36.400 --> 00:00:38.400]  我們一起禱告吧
[00:00:38.400 --> 00:00:41.400]  前海天父多謝你
[00:00:41.400 --> 00:00:44.600]  你將寶貴的救恩賜給我們
[00:00:44.600 --> 00:00:48.880]  讓我們能夠不再沉淪
[00:00:48.880 --> 00:00:51.880]  不再死在罪惡過犯之中
[00:00:51.880 --> 00:00:55.480]  得著寶貴兒女的身份
[00:00:55.480 --> 00:00:57.480]  主我們多謝你
[00:00:57.480 --> 00:01:02.960]  求你帶領以下我們講道的時間
[00:01:02.960 --> 00:01:07.000]  讓講的聽的一同被你自己的話語去建立
[00:01:07.000 --> 00:01:08.000]  造就
[00:01:08.000 --> 00:01:09.520]  多謝你聽我們禱告
[00:01:09.520 --> 00:01:10.880]  奉主耶穌名求
[00:01:10.880 --> 00:01:11.880]  阿門
[00:01:11.880 --> 00:01:17.000]  羅馬書可以說是寶羅書信裡很重要的一卷
[00:01:17.000 --> 00:01:19.600]  因為寶貴的地方
[00:01:19.600 --> 00:01:25.200]  就是寶羅很清楚又有系統地解釋完整的救恩
[00:01:25.200 --> 00:01:29.880]  神的義藉著主耶穌的救贖顯明出來
[00:01:29.880 --> 00:01:33.880]  全人類都犯了罪
[00:01:33.880 --> 00:01:38.200]  全人類都在神的震怒之下
[00:01:38.200 --> 00:01:41.200]  但是因著神對人的愛
[00:01:41.200 --> 00:01:44.200]  就藉著主耶穌死在十字架上
[00:01:44.200 --> 00:01:47.680]  為全人類成就了救恩
[00:01:47.680 --> 00:01:51.480]  這不是輕輕鬆鬆完成的事
[00:01:51.480 --> 00:01:54.480]  是重大的救贖
[00:01:54.480 --> 00:01:57.480]  剛才我們讀的這兩節經文
[00:01:57.480 --> 00:02:00.480]  正是羅馬書的主題
[00:02:00.480 --> 00:02:03.480]  前文即是一章一至十五節
[00:02:03.480 --> 00:02:05.480]  其實是書卷引言的部分
[00:02:05.480 --> 00:02:09.480]  而這個引言就是要預備宣告這個信息
