
[00:00:00.000 --> 00:00:04.000]  各位朋友 各位影子妹 新年好
[00:00:04.000 --> 00:00:07.000]  讓主的平安 時時與你同在
[00:00:07.000 --> 00:00:10.000]  主的福氣 永遠伴隨你
[00:00:10.000 --> 00:00:13.000]  今天是年初十
[00:00:13.000 --> 00:00:16.000]  剛剛過完農曆新年
[00:00:16.000 --> 00:00:21.000]  在2021年教會講道專題裏
[00:00:21.000 --> 00:00:25.000]  我們都講到與神相遇
[00:00:25.000 --> 00:00:32.000]  每個月都會介紹大家用一種途徑與神相遇
[00:00:32.000 --> 00:00:38.000]  以致大家可以知道原來我們有這麼多途徑可以親近神
[00:00:38.000 --> 00:00:40.000]  可以認識神
[00:00:40.000 --> 00:00:47.000]  今天第一講就是用盡五官傳人與神相遇
[00:00:47.000 --> 00:00:52.000]  在我們開始分享的時候我們先討論
[00:00:54.000 --> 00:01:00.000]  我們阿爸父神你是全能全知全在全愛的神
[00:01:00.000 --> 00:01:02.000]  你用你的愛圍繞我們
[00:01:02.000 --> 00:01:06.000]  只要我們敏銳你的同在
[00:01:06.000 --> 00:01:09.000]  我們就能與你相遇
[00:01:09.000 --> 00:01:13.000]  就求主你藉著今天講道的分享
[00:01:13.000 --> 00:01:16.000]  讓我們知道怎樣可以在四方面
[00:01:16.000 --> 00:01:19.000]  時時都認識你 親近你
[00:01:19.000 --> 00:01:22.000]  我們這樣禱告奉主基督的名字而求
[00:01:22.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:27.000]  我不知道你們有沒有唱過一首兒歌
[00:01:27.000 --> 00:01:29.000]  那首兒歌是這樣的
[00:01:29.000 --> 00:01:33.000]  頭肩膝頭腳至公 神造我 震又擁
[00:01:33.000 --> 00:01:38.000]  頭肩膝頭腳至公 顏 衣 厚 鼻
[00:01:38.000 --> 00:01:39.000]  有沒有唱過
[00:01:39.000 --> 00:01:43.000]  可惜口罩遮住鼻子和口
[00:01:43.000 --> 00:01:46.000]  但這首這麼簡單的兒歌
[00:01:46.000 --> 00:01:49.000]  是告訴我們兩個的真理
[00:01:49.000 --> 00:01:53.000]  第一個是我們是神所創造的
[00:01:53.000 --> 00:01:58.000]  第二就是神創造我們身體每一個部份
[00:01:58.000 --> 00:02:00.000]  都是很有用的
[00:02:00.000 --> 00:02:06.000]  詩篇139篇13至16節
[00:02:06.000 --> 00:02:10.000]  他就講道神好像編織一樣
[00:02:10.000 --> 00:02:16.000]  很細緻地在母腹那裏已經塑造我們
[00:02:16.000 --> 00:02:20.000]  塑造我們的肺腑即是內臟
[00:02:20.000 --> 00:02:23.000]  亦都給我們有形體
[00:02:23.000 --> 00:02:29.000]  有骨骼 有肌肉 有五官
[00:02:29.000 --> 00:02:32.000]  其實甚麼叫五官呢
[00:02:32.000 --> 00:02:36.000]  五官就是眼就是視覺
[00:02:36.000 --> 00:02:38.000]  一個感官
