
[00:00:00.000 --> 00:00:04.000]  在學校的時候應該也試過做群組項目
[00:00:04.000 --> 00:00:06.000]  通常做群組項目的時候
[00:00:06.000 --> 00:00:10.000]  第一時間當然會找一下身邊有沒有一些學霸
[00:00:10.000 --> 00:00:15.000]  如果有學霸當然馬上把他帶到自己的組裡
[00:00:15.000 --> 00:00:18.000]  可以幫忙一定會拿到好的分數
[00:00:18.000 --> 00:00:20.000]  如果看到一些自由的學生
[00:00:20.000 --> 00:00:23.000]  當然馬上避開他
[00:00:23.000 --> 00:00:25.000]  不要連累街坊
[00:00:25.000 --> 00:00:28.000]  又或者現在上班
[00:00:28.000 --> 00:00:31.000]  上班的時候如果出現一位新的同事
[00:00:31.000 --> 00:00:33.000]  你通常會打探一下他
[00:00:33.000 --> 00:00:35.000]  看看他是什麼來歷
[00:00:35.000 --> 00:00:38.000]  會不會是哪一個部門的同事介紹他來的
[00:00:38.000 --> 00:00:40.000]  又會聊聊天
[00:00:40.000 --> 00:00:42.000]  看看會不會跟自己合適
[00:00:42.000 --> 00:00:44.000]  如果合適的話
[00:00:44.000 --> 00:00:48.000]  當然就把他拉到自己的組裡
[00:00:48.000 --> 00:00:49.000]  如果不是的話
[00:00:49.000 --> 00:00:51.000]  當然少一點接觸
[00:00:51.000 --> 00:00:54.000]  免得惹麻煩
[00:00:54.000 --> 00:00:57.000]  無論是在學習的環境
[00:00:57.000 --> 00:00:59.000]  還是在職場裡
[00:00:59.000 --> 00:01:03.000]  當我們有一個任務要去面對或處理
[00:01:03.000 --> 00:01:06.000]  通常都會盤算一下
[00:01:06.000 --> 00:01:09.000]  怎樣才能夠成功去完成
[00:01:09.000 --> 00:01:12.000]  期間還可能會評估一下
[00:01:12.000 --> 00:01:15.000]  哪些人對自己是有利的
[00:01:15.000 --> 00:01:16.000]  又或者有威脅
[00:01:16.000 --> 00:01:18.000]  然後就作出反應
[00:01:18.000 --> 00:01:21.000]  就好像今天我們一起看的經文裡
[00:01:21.000 --> 00:01:26.000]  約書亞正正面對一個很重要的任務
[00:01:26.000 --> 00:01:28.000]  他怎樣去面對呢
