
[00:00:00.000 --> 00:00:03.820]  謝謝敬拜隊帶領我們一齊回到上帝那裡
[00:00:03.820 --> 00:00:05.820]  去經歷祂的愛
[00:00:05.820 --> 00:00:07.820]  也看到透過詩歌
[00:00:07.820 --> 00:00:09.820]  也讓我們反思我們的生命
[00:00:09.820 --> 00:00:14.420]  但不知道每個禮拜回來敬拜的時候
[00:00:14.420 --> 00:00:16.420]  你有什麼體會
[00:00:16.420 --> 00:00:18.420]  當我們回來敬拜的時候
[00:00:18.420 --> 00:00:21.220]  就好像我們生活上面對著很多衝擊
[00:00:21.220 --> 00:00:23.220]  但當回來的時候
[00:00:23.220 --> 00:00:25.220]  也找回我們有時候生命上的
[00:00:25.220 --> 00:00:27.220]  原點是什麼
[00:00:27.220 --> 00:00:30.820]  鼓勵大家每個禮拜回來敬拜的時候
[00:00:30.820 --> 00:00:34.820]  每一次崇拜之後
[00:00:34.820 --> 00:00:36.820]  也讓我們反思一下
[00:00:36.820 --> 00:00:38.820]  其實我們在敬拜裡面
[00:00:38.820 --> 00:00:40.820]  在神的懷裡也讓我們體會什麼
[00:00:40.820 --> 00:00:44.820]  今天很想和大家分享訊息
[00:00:44.820 --> 00:00:46.820]  在進入訊息之前
[00:00:46.820 --> 00:00:48.820]  很想問大家一件事
[00:00:48.820 --> 00:00:53.820]  大家不知道你認不認同以下這句話所說的
[00:00:53.820 --> 00:01:00.820]  環境的衝擊容易令人信仰滑坳
[00:01:00.820 --> 00:01:03.820]  相信在座的信主年日
[00:01:03.820 --> 00:01:05.820]  可能也有多也有少
[00:01:05.820 --> 00:01:07.820]  也有不同
[00:01:07.820 --> 00:01:09.820]  為什麼我會問這個問題呢
[00:01:09.820 --> 00:01:14.820]  我猜有時候我們人生去到某一個年紀
[00:01:14.820 --> 00:01:17.820]  可能我們面對著很多不同的衝擊和挑戰
[00:01:17.820 --> 00:01:21.820]  可能有時候我們對信仰的熱誠也會有不同的起伏
[00:01:21.820 --> 00:01:23.820]  最近我看了一部電影
[00:01:23.820 --> 00:01:25.820]  不知道大家有沒有看過
[00:01:25.820 --> 00:01:27.820]  也是今天我講題的其中一個部分
[00:01:27.820 --> 00:01:29.820]  就是《白日之下》
[00:01:29.820 --> 00:01:31.820]  不知道大家有沒有看
[00:01:31.820 --> 00:01:33.820]  其實這部電影也很值得看
[00:01:33.820 --> 00:01:36.820]  這部電影當中的故事是說什麼呢
[00:01:36.820 --> 00:01:40.820]  是說一些社會現實的問題和現象
[00:01:40.820 --> 00:01:44.820]  它特別描述一群傳媒和記者
[00:01:44.820 --> 00:01:46.820]  在面對這些挑戰和壓力的時候
[00:01:46.820 --> 00:01:48.820]  他們怎樣去應付
[00:01:48.820 --> 00:01:53.820]  也在過程中怎樣去揭露一些問題的真相
