
[00:00:00.000 --> 00:00:04.640]  好,感謝敬拜隊帶領我們一起去敬拜
[00:00:04.640 --> 00:00:06.960]  我覺得很好的
[00:00:06.960 --> 00:00:11.920]  敬拜隊在裡面再次帶領我們迎接新一年的時候
[00:00:11.920 --> 00:00:13.600]  我們帶著什麼心態去呢?
[00:00:13.600 --> 00:00:15.200]  其實是我們的想望
[00:00:15.200 --> 00:00:18.280]  還是我們從心底而發地很想跟隨主
[00:00:18.280 --> 00:00:20.240]  其實都是一個選擇
[00:00:20.240 --> 00:00:23.360]  今年盼望我們在生命裡面學習
[00:00:23.360 --> 00:00:24.560]  正如剛才所說
[00:00:24.560 --> 00:00:26.720]  我們認定主是我們所跟隨的
[00:00:26.720 --> 00:00:28.320]  我們每一步都要跟隨著祂
[00:00:28.320 --> 00:00:28.960]  好不好?
[00:00:28.960 --> 00:00:32.840]  每次看著這隊敬拜隊去帶領敬拜
[00:00:32.840 --> 00:00:34.800]  其實心裡都會有一種很窩心的感覺
[00:00:34.800 --> 00:00:36.480]  這隊叫AFC
[00:00:36.480 --> 00:00:39.760]  過去他們其實從很小的時候
[00:00:39.760 --> 00:00:41.040]  是嗎?很小的時候已經
[00:00:41.040 --> 00:00:42.560]  就是耳朵下的時候已經
[00:00:42.560 --> 00:00:44.880]  一直是這隊敬拜隊
[00:00:44.880 --> 00:00:45.760]  經常都是他們
[00:00:45.760 --> 00:00:47.520]  然後出來又會見面
[00:00:47.520 --> 00:00:51.120]  然後到現在還是很齊齊整整的感覺
[00:00:51.120 --> 00:00:53.200]  其實都是有一種很窩心
[00:00:53.200 --> 00:00:55.760]  好像經常都會有一種感覺
[00:00:55.760 --> 00:00:59.120]  一個群體其實可以一直陪伴著
[00:00:59.120 --> 00:01:00.960]  好像那句叫什麼
[00:01:00.960 --> 00:01:02.320]  Grow old together
[00:01:02.320 --> 00:01:04.640]  就是我們可以一起成長到老
[00:01:04.640 --> 00:01:05.680]  其實很幸福
[00:01:05.680 --> 00:01:07.440]  你想想如果你的小組
[00:01:07.440 --> 00:01:08.320]  從小看到大
[00:01:08.320 --> 00:01:09.080]  看到長青
[00:01:09.080 --> 00:01:11.720]  都還是看到他們多麼幸福的一件事
[00:01:11.720 --> 00:01:13.480]  是很窩心的一件事
[00:01:13.480 --> 00:01:17.400]  始終群體裡面可以一起成長
[00:01:17.400 --> 00:01:19.160]  到最後都齊齊整整
[00:01:19.160 --> 00:01:21.920]  都是一件不容易的事
[00:01:21.920 --> 00:01:23.360]  如果你有的話
[00:01:23.360 --> 00:01:25.440]  為你感到開心
[00:01:25.440 --> 00:01:28.240]  我們也要為了這件事去感恩
[00:01:28.240 --> 00:01:31.040]  很多事情都不是人可以控制的
[00:01:31.040 --> 00:01:32.280]  有些可能離別的
[00:01:32.280 --> 00:01:33.640]  可能會去移民
[00:01:33.640 --> 00:01:36.680]  可能會有不同的路向
[00:01:36.680 --> 00:01:38.960]  但有一件事今天特別想說的
[00:01:38.960 --> 00:01:40.600]  就是衝突
[00:01:40.600 --> 00:01:44.160]  一個群體有衝突容易嗎?
[00:01:44.160 --> 00:01:45.320]  容易的
[00:01:45.320 --> 00:01:47.840]  其實因為每一個人生出來
[00:01:47.840 --> 00:01:49.960]  其實也不只是生出來
[00:01:49.960 --> 00:01:52.600]  在生命裡面一直走的時候
[00:01:52.600 --> 00:01:54.920]  都會有我們的一些信念
[00:01:54.920 --> 00:01:56.200]  我們的一些看法
[00:01:56.200 --> 00:01:57.520]  我們的一些喜好
[00:01:57.520 --> 00:01:58.520]  一些愛好
[00:01:58.520 --> 00:02:00.880]  以至人與人之間相處
[00:02:00.880 --> 00:02:04.000]  其實你也預料到一定會有些不同
[00:02:04.000 --> 00:02:06.440]  一定會有衝突這件事
[00:02:06.440 --> 00:02:08.680]  衝突其實真的很不容易
[00:02:08.680 --> 00:02:10.840]  新聞每天都見到衝突
[00:02:10.840 --> 00:02:12.760]  去到國與國之間都有衝突
[00:02:12.760 --> 00:02:14.560]  今天不說那些很悲傷的事情
[00:02:14.560 --> 00:02:18.120]  不然又進入了很憂傷的模式
[00:02:18.120 --> 00:02:20.080]  今天先說一件搞笑的
[00:02:20.080 --> 00:02:23.600]  今天說一說一個很有趣的衝突
[00:02:23.600 --> 00:02:25.600]  就是英國與美國的衝突
[00:02:25.600 --> 00:02:27.120]  不知道你們有沒有聽過
[00:02:27.120 --> 00:02:29.840]  最近的茶杯風波
[00:02:29.840 --> 00:02:30.840]  說什麼呢
[00:02:30.840 --> 00:02:33.400]  英國人很喜歡喝茶
