
[00:00:00.000 --> 00:00:02.800]  很高興今天能來到大家當中
[00:00:02.800 --> 00:00:06.600]  我非常感謝神席著子牧師的安排
[00:00:06.600 --> 00:00:09.040]  讓我有幸來到五堂崇拜
[00:00:09.040 --> 00:00:10.640]  來到正道
[00:00:10.640 --> 00:00:12.880]  在講道之前
[00:00:12.880 --> 00:00:16.800]  分享一句大家應該常常聽到的諺語
[00:00:16.800 --> 00:00:22.080]  就是「做人要有甚麼?有始有終」
[00:00:22.080 --> 00:00:25.200]  這句話是要提醒我們
[00:00:25.200 --> 00:00:27.200]  做人要貫徹到底
[00:00:27.200 --> 00:00:28.400]  有頭有尾
[00:00:28.400 --> 00:00:30.560]  來到一年將要完結
[00:00:30.560 --> 00:00:33.040]  新一年又快要開始之際
[00:00:33.040 --> 00:00:37.680]  很想藉著聖經裡一段接連記載了
[00:00:37.680 --> 00:00:40.080]  三個關於終結的經文
[00:00:40.080 --> 00:00:41.600]  跟大家一起領受
[00:00:41.600 --> 00:00:46.000]  今天上帝給我們一個有終有始的訊息
[00:00:46.000 --> 00:00:48.640]  這個有終有始的訊息是怎樣的呢?
[00:00:48.640 --> 00:00:51.840]  我想先邀請大家讀出今天講道的經文
[00:00:51.840 --> 00:00:54.800]  講道經文是記載在舊約聖經
[00:00:54.800 --> 00:00:56.800]  約書雅記二十四章
[00:00:56.800 --> 00:00:58.960]  二十九到三十三節
[00:00:58.960 --> 00:01:01.520]  你可以看著螢幕顯示的經文
[00:01:01.520 --> 00:01:03.520]  又或者你手上程序表的經文
[00:01:03.520 --> 00:01:04.640]  一同中讀
[00:01:04.640 --> 00:01:07.520]  列出來的經文是和合版的經文
[00:01:07.520 --> 00:01:09.520]  想大家一起讀出
[00:01:09.520 --> 00:01:11.120]  由第二十九節開始
[00:01:11.120 --> 00:01:12.800]  我們一起讀出
[00:01:12.800 --> 00:01:14.720]  「這些事以後
[00:01:14.720 --> 00:01:16.240]  耶和華的僕人
[00:01:16.240 --> 00:01:18.560]  嫩的兒子約書雅
[00:01:18.560 --> 00:01:22.000]  正一百一十歲就死了
[00:01:22.000 --> 00:01:24.480]  以色列人將他葬在
[00:01:24.480 --> 00:01:26.720]  他地業的境內
[00:01:26.720 --> 00:01:29.680]  就是在以法連山地的
[00:01:29.680 --> 00:01:31.520]  亭拿西拉
[00:01:31.520 --> 00:01:34.560]  在加實山德不變
