
[00:00:00.000 --> 00:00:03.000]  好,弟兄姊妹早安
[00:00:03.000 --> 00:00:04.000]  早安
[00:00:04.000 --> 00:00:08.000]  今天很開心可以跟大家分享神話語言
[00:00:08.000 --> 00:00:11.000]  一開始想跟大家說一句
[00:00:11.000 --> 00:00:14.000]  這句話就是We tell our own story
[00:00:14.000 --> 00:00:15.000]  這句話的意思是什麼呢?
[00:00:15.000 --> 00:00:16.000]  這句話的意思就是
[00:00:16.000 --> 00:00:20.000]  其實我們每一個人都在說自己是什麼人
[00:00:20.000 --> 00:00:22.000]  而我們在說自己是什麼人的時候
[00:00:22.000 --> 00:00:26.000]  同時間都會成就我們將會成為什麼人
[00:00:26.000 --> 00:00:27.000]  什麼意思呢?
[00:00:27.000 --> 00:00:29.000]  例如有人過來問你
[00:00:29.000 --> 00:00:31.000]  你介紹一下自己
[00:00:31.000 --> 00:00:33.000]  你會怎樣呢?
[00:00:33.000 --> 00:00:37.000]  你會回想一下過去我成長生命的經歷的時候
[00:00:37.000 --> 00:00:39.000]  我的焦點放在哪裡
[00:00:39.000 --> 00:00:44.000]  例如如果我想起我以前大部分都是開心的回憶
[00:00:44.000 --> 00:00:45.000]  或者我經常笑
[00:00:45.000 --> 00:00:48.000]  你會跟別人說我是一個很開朗的人
[00:00:48.000 --> 00:00:51.000]  這句話就是We tell our own story
[00:00:51.000 --> 00:00:53.000]  而你說自己開心的人的時候
[00:00:53.000 --> 00:00:58.000]  你之後也會慢慢成為一個更開心的人
[00:00:58.000 --> 00:01:02.000]  所以當別人問你是一個怎樣的基督徒的時候
[00:01:02.000 --> 00:01:04.000]  很大程度上就決定於
[00:01:04.000 --> 00:01:07.000]  究竟在你們回教會的信仰生活中
[00:01:07.000 --> 00:01:09.000]  在教會的生活中
[00:01:09.000 --> 00:01:12.000]  你們的焦點放在哪裡
[00:01:12.000 --> 00:01:15.000]  所以接下來就跟大家做一個實驗
[00:01:15.000 --> 00:01:17.000]  這幅圖你看一下有點暈
[00:01:17.000 --> 00:01:18.000]  所以盡量不要看
[00:01:18.000 --> 00:01:19.000]  Focus這樣
[00:01:19.000 --> 00:01:21.000]  跟大家做一個實驗
[00:01:21.000 --> 00:01:25.000]  我想很多人都有電話
[00:01:25.000 --> 00:01:26.000]  我們一起做一個實驗
[00:01:26.000 --> 00:01:28.000]  你拿著電話
[00:01:28.000 --> 00:01:30.000]  但是不開的反轉的
[00:01:30.000 --> 00:01:32.000]  你可以嗎?你拿著
[00:01:32.000 --> 00:01:34.000]  可能放在大腿上
