
[00:00:00.000 --> 00:00:03.760]  今天我會和大家分享一個訊息
[00:00:03.760 --> 00:00:08.360]  大家知道今年木區三的年題是
[00:00:08.360 --> 00:00:11.280]  "Glorify God, Fight for Jesus"
[00:00:11.280 --> 00:00:15.600]  這個月的月題其實是在說馴服
[00:00:15.600 --> 00:00:17.720]  所以過去幾個星期
[00:00:17.720 --> 00:00:22.400]  無論是Resty還是Edith都提到相關類似的主題
[00:00:22.400 --> 00:00:25.520]  今天我想和大家分享一個問題
[00:00:25.520 --> 00:00:28.520]  就是這個我提到的主題
[00:00:28.520 --> 00:00:31.720]  好像這個年代裡面
[00:00:31.720 --> 00:00:34.480]  時勢好像越來越艱難的時候
[00:00:34.480 --> 00:00:38.080]  其實我們如何去學習馴服呢?
[00:00:38.080 --> 00:00:40.760]  有人會說在這個後現代裡面
[00:00:40.760 --> 00:00:44.920]  好像社會的氛圍都是以我為中心
[00:00:44.920 --> 00:00:49.560]  彷彿要去學習馴服是一件很困難的事
[00:00:49.560 --> 00:00:51.400]  馴服我們想起的是
[00:00:51.400 --> 00:00:54.400]  很多時候都是說馴服在上
[00:00:54.400 --> 00:00:58.600]  馴服的時候就是要學習放下自我
[00:00:58.600 --> 00:01:02.720]  有一種由下而上的態度
[00:01:02.720 --> 00:01:05.120]  要在這個年代去學習馴服
[00:01:05.120 --> 00:01:08.480]  其實是不是一件很困難的事呢?
[00:01:08.480 --> 00:01:09.960]  或者我會問的是
[00:01:09.960 --> 00:01:12.680]  作為教徒其實在這個世代裡面
[00:01:12.680 --> 00:01:15.960]  我們如何去學習馴服的功課呢?
[00:01:15.960 --> 00:01:19.200]  今天很想透過《肥立比書》的經文
[00:01:19.200 --> 00:01:21.960]  透過保羅對肥立比教會的提醒
[00:01:21.960 --> 00:01:24.720]  同樣成為我們今天的提醒
[00:01:24.720 --> 00:01:26.400]  先說說《肥立比書》
[00:01:26.400 --> 00:01:28.400]  《肥立比書》是保羅在監獄裡面
[00:01:28.400 --> 00:01:31.000]  寫給肥立比教會的其中一封信
[00:01:31.000 --> 00:01:34.560]  肥立比教會其實是保羅當年在宣教旅程裡面
[00:01:34.560 --> 00:01:37.880]  由亞洲跨越到歐洲傳福音的第一站
[00:01:37.880 --> 00:01:39.400]  如果大家有看《史道行傳》的話
[00:01:39.400 --> 00:01:43.200]  應該會記得馬其頓呼聲的那個景況
[00:01:43.200 --> 00:01:47.160]  肥立比教會正正是保羅親手所建立的
[00:01:47.160 --> 00:01:49.000]  保羅很想寫這封信
[00:01:49.000 --> 00:01:53.160]  除了帶給肥立比教會一些智者的說話之外
[00:01:53.160 --> 00:01:56.680]  其實也在回應當時他們面對的一些挑戰
[00:01:56.680 --> 00:02:02.000]  特別是那些信徒面對著很多不同宗教的挑戰
[00:02:02.000 --> 00:02:04.320]  當中有一些猶太教的信徒
[00:02:04.320 --> 00:02:07.560]  對基督徒有很多不同的衝擊
[00:02:07.560 --> 00:02:10.920]  同樣《肥立比書》也有提到的是
[00:02:10.920 --> 00:02:13.000]  那些肥立比的信徒
[00:02:13.000 --> 00:02:15.120]  他們很同心合意地希望福音
[00:02:15.120 --> 00:02:19.160]  不過同時他們在當中仍然要處理一些合一的問題
[00:02:19.160 --> 00:02:22.920]  所以保羅很想在這裡挑戰肥立比教會
[00:02:22.920 --> 00:02:27.400]  要在真道上、在當時的文化上要站立得穩
[00:02:27.400 --> 00:02:29.840]  我們先讀讀這段經文
[00:02:29.840 --> 00:02:32.200]  是《肥立比書》的二章十二到十八節
[00:02:32.200 --> 00:02:33.480]  很想邀請大家一起讀
[00:02:33.480 --> 00:02:35.000]  準備起
[00:02:35.000 --> 00:02:36.680]  「這樣看來……」
[00:02:36.680 --> 00:02:43.160]  「不但我在你們那裡」
[00:02:43.160 --> 00:02:46.080]  「就是我如今不在你們那裡」
[00:02:46.080 --> 00:02:47.880]  「更是信服的」
[00:02:47.880 --> 00:02:49.880]  「就當恐懼戰驚」
[00:02:49.880 --> 00:02:52.600]  「造成你們得救的功夫」
[00:02:52.600 --> 00:02:54.800]  「因為你們立志行事」
[00:02:54.800 --> 00:02:57.680]  「都是身在你們心裡蘊含」
[00:02:57.680 --> 00:03:00.160]  「為要成就他的美意」
[00:03:00.160 --> 00:03:04.400]  「凡所行的都不要發辯而起爭論」
[00:03:04.400 --> 00:03:08.120]  「使你們無可指責誠實無礙」
[00:03:08.120 --> 00:03:10.560]  「在這彎曲薄柳的西檔」
[00:03:10.560 --> 00:03:13.160]  「作神無瑕疵的兒女」
[00:03:13.160 --> 00:03:15.440]  「你們顯在這世代中」
[00:03:15.440 --> 00:03:17.440]  「抱著明光照耀」
[00:03:17.440 --> 00:03:20.160]  「將生命的道表明出來」
[00:03:20.160 --> 00:03:22.160]  「若在其中……」
[00:03:22.160 --> 00:03:24.160]  「……」
[00:03:24.160 --> 00:03:26.160]  「……」
[00:03:26.160 --> 00:03:28.160]  「……」
[00:03:28.160 --> 00:03:30.160]  「……」
[00:03:30.160 --> 00:03:32.160]  「我要被挑點在其上」
[00:03:32.160 --> 00:03:34.160]  「也是喜樂」
[00:03:34.160 --> 00:03:36.160]  「並且要被引入同喜樂」
[00:03:36.160 --> 00:03:38.160]  「……」
[00:03:38.160 --> 00:03:40.160]  「……」
[00:03:40.160 --> 00:03:42.160]  「我們一起思考禱告」
[00:03:42.160 --> 00:03:44.160]  「我一起禱告」
[00:03:44.160 --> 00:03:46.160]  「主願祢帶領我們」
[00:03:46.160 --> 00:03:50.160]  「先將我們的焦點放在祢那裡」
[00:03:50.160 --> 00:03:54.160]  「以致祢讓祢的話語同樣成為我們的提醒」
[00:03:54.160 --> 00:03:56.160]  「讓我們在當中學習」
[00:03:56.160 --> 00:03:59.160]  「就像保羅對比利比亞會的提醒一樣」
[00:03:59.160 --> 00:04:01.160]  「我們如何學習信服」
[00:04:01.160 --> 00:04:03.160]  「我們如何在這個世代中」
[00:04:03.160 --> 00:04:05.160]  「持守信服」
[00:04:05.160 --> 00:04:07.160]  「主願祢帶領我們」
[00:04:07.160 --> 00:04:08.160]  「多謝祢,聽祢禱告」
[00:04:08.160 --> 00:04:10.160]  「多謝主,奉主名求」
[00:04:10.160 --> 00:04:12.160]  在二章的一開始
[00:04:12.160 --> 00:04:14.160]  其實是在說什麼呢?
[00:04:14.160 --> 00:04:17.160]  其實都是大家經常聽到的經文
[00:04:17.160 --> 00:04:20.160]  就是在說我們要以基督的心為心
[00:04:20.160 --> 00:04:22.160]  我們要看別人比自己強
[00:04:22.160 --> 00:04:24.160]  其實保羅在這裡很想帶出
[00:04:24.160 --> 00:04:28.160]  信徒群體應該要有的特質和心態
[00:04:28.160 --> 00:04:30.160]  正正就是要謙卑自己
[00:04:30.160 --> 00:04:32.160]  要為他者合一
[00:04:32.160 --> 00:04:34.160]  之後
[00:04:34.160 --> 00:04:36.160]  保羅帶出原來信徒群體
[00:04:36.160 --> 00:04:38.160]  是終極要學習的榜樣
