
[00:00:00.000 --> 00:00:03.120]  今天是教會的主題
[00:00:03.120 --> 00:00:07.120]  是《雅各書》的系列
[00:00:07.120 --> 00:00:12.400]  教會希望透過《雅各書》所講到的分享
[00:00:12.400 --> 00:00:17.120]  來推動大家以行動來回應時代
[00:00:17.120 --> 00:00:21.440]  今天的講題就是《漢德建的信心》
[00:00:21.440 --> 00:00:25.320]  《雅各書》二章十四至二十六節
[00:00:25.320 --> 00:00:28.600]  開始講的時候想問問大家
[00:00:28.600 --> 00:00:31.720]  你記不記得你自己初信的時候
[00:00:31.720 --> 00:00:34.080]  你身邊的人知道你是基督徒
[00:00:34.080 --> 00:00:35.640]  他們有什麼反應
[00:00:35.640 --> 00:00:37.600]  你還記不記得
[00:00:37.600 --> 00:00:39.080]  他們是怎樣的
[00:00:39.080 --> 00:00:40.480]  很開心 替你開心
[00:00:40.480 --> 00:00:42.800]  感謝主 你信了主
[00:00:42.800 --> 00:00:43.400]  還是怎樣
[00:00:43.400 --> 00:00:47.000]  我很記得我當時初信主的時候
[00:00:47.000 --> 00:00:49.520]  身邊的人知道我成為基督徒的時候
[00:00:49.520 --> 00:00:50.440]  他們的反應
[00:00:50.440 --> 00:00:52.520]  他們的反應第一個就是
[00:00:52.520 --> 00:00:56.960]  「吓 你也是基督徒?」
[00:00:56.960 --> 00:01:00.720]  「那你可以知道我當時是怎樣的人」
[00:01:00.720 --> 00:01:01.880]  他們都很驚訝
[00:01:01.880 --> 00:01:05.720]  又不是說你不可以信
[00:01:05.720 --> 00:01:06.840]  只不過是說
[00:01:06.840 --> 00:01:10.600]  你對你的行為
[00:01:10.600 --> 00:01:13.040]  或者你的人本身
[00:01:13.040 --> 00:01:15.480]  覺得不像信主
[00:01:15.480 --> 00:01:16.800]  或者是怎樣
[00:01:16.800 --> 00:01:19.280]  我想這個其實有時候
[00:01:19.280 --> 00:01:21.160]  都是我們身邊的人
[00:01:21.160 --> 00:01:22.960]  或者是對於一個信仰
[00:01:22.960 --> 00:01:25.160]  一個基督徒
[00:01:25.160 --> 00:01:27.680]  他們的行為上
[00:01:27.680 --> 00:01:30.720]  其實都是有一定的期望
[00:01:30.720 --> 00:01:34.520]  我想這個都是一個合理
[00:01:34.520 --> 00:01:35.880]  或者我們對自己
[00:01:35.880 --> 00:01:39.600]  其實都是應該有這個期望
[00:01:39.600 --> 00:01:40.880]  不過到了今時今日
[00:01:40.880 --> 00:01:43.600]  就算我在團體上
[00:01:43.600 --> 00:01:45.960]  有新朋友來到我團體的時候
[00:01:45.960 --> 00:01:47.120]  就介紹
[00:01:47.120 --> 00:01:50.560]  他們介紹我是Rex牧師
[00:01:50.560 --> 00:01:52.720]  然後他們就不會說
[00:01:52.720 --> 00:01:54.880]  「吓 你是牧師?」
[00:01:54.880 --> 00:01:58.440]  他們只會定格
[00:01:58.440 --> 00:02:00.360]  有些事情就是
[00:02:00.360 --> 00:02:01.440]  他不認識我的時候
[00:02:01.440 --> 00:02:04.240]  他也不知道你是牧師
[00:02:04.240 --> 00:02:05.120]  或者是怎樣
[00:02:05.120 --> 00:02:06.280]  當他認識我的時候
[00:02:06.280 --> 00:02:07.800]  或者是當他慢慢知道
[00:02:07.800 --> 00:02:09.720]  我其實是一個怎樣的人的時候
[00:02:09.720 --> 00:02:10.920]  或者我的行為
[00:02:10.920 --> 00:02:13.840]  或者我所做的事
[00:02:13.840 --> 00:02:16.240]  就讓他也會知道
[00:02:16.240 --> 00:02:18.000]  其實作為一個基督徒
[00:02:18.000 --> 00:02:18.800]  作為一個牧者
[00:02:18.800 --> 00:02:20.720]  作為他身邊的人的時候
[00:02:20.720 --> 00:02:22.800]  其實究竟是做些什麼的
[00:02:22.800 --> 00:02:24.440]  或者會有些什麼行動
[00:02:24.440 --> 00:02:26.760]  伴隨而來的呢?
[00:02:26.760 --> 00:02:28.720]  所以今天我們也去
[00:02:28.720 --> 00:02:32.200]  透過《雅各書》的二章14到26節
[00:02:32.200 --> 00:02:33.640]  我們去思想一下
[00:02:33.640 --> 00:02:35.280]  其實我們自己
[00:02:35.280 --> 00:02:36.880]  在一個
[00:02:36.880 --> 00:02:40.720]  在你的社群裡面
[00:02:40.720 --> 00:02:42.200]  或者是你的家
[00:02:42.200 --> 00:02:44.160]  或者可能是你工作的地方
[00:02:44.160 --> 00:02:46.720]  或者是在這個社會上面
[00:02:46.720 --> 00:02:48.600]  其實你的行動
[00:02:48.600 --> 00:02:50.000]  別人怎樣看你的呢?
[00:02:50.000 --> 00:02:51.520]  或者是
[00:02:51.520 --> 00:02:53.160]  可能你說
[00:02:53.160 --> 00:02:54.680]  其實我沒有什麼行動
[00:02:54.680 --> 00:02:56.440]  沒有行動也是一個行動
[00:02:56.440 --> 00:02:58.120]  他怎樣看你的呢?
[00:02:58.120 --> 00:02:59.680]  透過今天的經文
[00:02:59.680 --> 00:03:00.880]  我們一同去思考
[00:03:00.880 --> 00:03:02.680]  其實我們信心
[00:03:02.680 --> 00:03:04.360]  為什麼說是看得見呢?
[00:03:04.360 --> 00:03:06.840]  其實我們怎樣在這個世代裡面
[00:03:06.840 --> 00:03:08.320]  去活出來
[00:03:08.320 --> 00:03:11.240]  或者是回應這個世代呢?
[00:03:11.240 --> 00:03:14.360]  我們先去閱讀
[00:03:14.360 --> 00:03:17.200]  我們去看14到20節
[00:03:17.400 --> 00:03:20.080]  我們先去一起去讀
[00:03:20.080 --> 00:03:21.560]  14節
[00:03:21.560 --> 00:03:22.480]  開始
[00:03:22.480 --> 00:03:24.160]  我的弟兄們
[00:03:24.160 --> 00:03:25.440]  好,謝謝大家
[00:03:25.440 --> 00:03:26.520]  是,讀得很好
[00:03:26.520 --> 00:03:28.120]  大家很整齊
[00:03:28.120 --> 00:03:29.920]  大家很精神
[00:03:29.920 --> 00:03:33.720]  先去看上半段的時候
[00:03:33.720 --> 00:03:35.080]  其實一開始
[00:03:35.080 --> 00:03:38.480]  其實雅各就發出這個問題
[00:03:38.480 --> 00:03:39.720]  就是來去問
[00:03:39.720 --> 00:03:41.920]  其實信心
[00:03:41.920 --> 00:03:44.120]  如果有人說自己有信心
[00:03:44.120 --> 00:03:45.280]  沒有行為
[00:03:45.280 --> 00:03:47.280]  這個信心能夠他媽
[00:03:47.280 --> 00:03:49.760]  這個是一個提問來開始
[00:03:49.760 --> 00:03:53.640]  但是其實當你去看這個原文的時候
[00:03:53.640 --> 00:03:55.720]  其實他一開始第一句
[00:03:55.720 --> 00:03:58.720]  其實是在說有什麼益處呢?
[00:03:58.720 --> 00:04:03.040]  用有什麼益處來開始這個段落
[00:04:03.040 --> 00:04:05.360]  而去到16節的時候
[00:04:05.360 --> 00:04:09.760]  也用有什麼益處來回應
[00:04:09.760 --> 00:04:11.000]  這個其實也是
[00:04:11.000 --> 00:04:12.200]  當去看的時候
[00:04:12.200 --> 00:04:14.400]  其實14到16節
[00:04:14.400 --> 00:04:16.760]  其實也是一個小分段
[00:04:16.760 --> 00:04:17.760]  來去看
[00:04:17.760 --> 00:04:21.560]  其實在這個行為
[00:04:21.560 --> 00:04:24.040]  信心沒有行為的時候
[00:04:24.040 --> 00:04:26.240]  其實是沒有益處的
[00:04:26.240 --> 00:04:28.240]  雅各覺得是沒有益處的
[00:04:28.240 --> 00:04:29.840]  為什麼會沒有益處呢?
[00:04:29.840 --> 00:04:31.280]  我們先去看
[00:04:31.280 --> 00:04:33.080]  其實上文裡面
[00:04:33.080 --> 00:04:37.760]  在2章1至13節裡面
[00:04:37.760 --> 00:04:38.680]  其實很多
[00:04:38.680 --> 00:04:41.560]  他講到就是以貌取人
[00:04:41.560 --> 00:04:43.800]  或者是提及到
[00:04:43.800 --> 00:04:45.560]  不憐憫人
[00:04:45.560 --> 00:04:50.080]  他們重視一群比較有錢
[00:04:50.080 --> 00:04:51.240]  權貴的人
[00:04:51.240 --> 00:04:55.480]  就輕看這些可能比較貧窮
[00:04:55.480 --> 00:04:58.480]  出身很卑微的人
