
[00:00:00.000 --> 00:00:02.000]  大影姐妹早晨
[00:00:02.000 --> 00:00:06.000]  有不少大影姐妹今天已經回到神土會
[00:00:06.000 --> 00:00:10.000]  剛才領事的都問了
[00:00:10.000 --> 00:00:13.000]  的確比平時我們早堂多了很多人
[00:00:13.000 --> 00:00:20.000]  你都明白早上回來真的要付代價
[00:00:20.000 --> 00:00:21.000]  你又願意
[00:00:21.000 --> 00:00:23.000]  因為你真的想回來先吃個早餐
[00:00:23.000 --> 00:00:25.000]  在附近
[00:00:25.000 --> 00:00:28.000]  知不知道附近最早的早餐餐廳
[00:00:28.000 --> 00:00:30.000]  是哪一間?什麼時候開?
[00:00:30.000 --> 00:00:32.000]  不知道
[00:00:32.000 --> 00:00:34.000]  最早那間都要六點半
[00:00:34.000 --> 00:00:36.000]  如果你能吃的話
[00:00:36.000 --> 00:00:38.000]  都很敏需,才來到七點的神土會
[00:00:38.000 --> 00:00:40.000]  所以如果你在附近
[00:00:40.000 --> 00:00:42.000]  可能剛才都是OK便利店買簡單的東西
[00:00:42.000 --> 00:00:44.000]  或者你在家裡吃了
[00:00:44.000 --> 00:00:46.000]  但是你回來
[00:00:46.000 --> 00:00:48.000]  是因為很想
[00:00:48.000 --> 00:00:50.000]  在2023年
[00:00:50.000 --> 00:00:52.000]  新的一年
[00:00:52.000 --> 00:00:54.000]  1月1日
[00:00:54.000 --> 00:00:57.000]  很想聽到從神而來的訊息
[00:00:57.000 --> 00:00:59.000]  和有力量
[00:00:59.000 --> 00:01:01.000]  讓你新的一年
[00:01:01.000 --> 00:01:03.000]  活得
[00:01:03.000 --> 00:01:05.000]  更開心
[00:01:05.000 --> 00:01:07.000]  也更夢神喜悅
[00:01:07.000 --> 00:01:09.000]  你們是不是這樣?
[00:01:09.000 --> 00:01:13.000]  我相信在家裡
[00:01:13.000 --> 00:01:15.000]  或者在其他地方
[00:01:15.000 --> 00:01:17.000]  看直播或者視像的Youtube
[00:01:17.000 --> 00:01:19.000]  他們這麼早起
[00:01:19.000 --> 00:01:21.000]  都是想等候神
[00:01:21.000 --> 00:01:23.000]  尋求神的心意
[00:01:23.000 --> 00:01:25.000]  如果你都有這個禱告和心願
[00:01:25.000 --> 00:01:27.000]  我相信神一定會垂聽
[00:01:27.000 --> 00:01:29.000]  神一定會垂聽
[00:01:29.000 --> 00:01:33.000]  你相信嗎?
[00:01:33.000 --> 00:01:35.000]  相信
[00:01:35.000 --> 00:01:37.000]  我們一起禱告吧
[00:01:37.000 --> 00:01:39.000]  七恩主
[00:01:39.000 --> 00:01:41.000]  在今天清晨我們恭敬交托
[00:01:41.000 --> 00:01:43.000]  也將未來的一年
[00:01:43.000 --> 00:01:45.000]  都仰望你
[00:01:45.000 --> 00:01:47.000]  因為這裡有很多敬畏你的弟兄姊妹
[00:01:47.000 --> 00:01:49.000]  是仰望你自己聖經的說話
[00:01:49.000 --> 00:01:51.000]  你自己的引導
[00:01:51.000 --> 00:01:53.000]  你聖靈的幫助
[00:01:53.000 --> 00:01:55.000]  讓你自己的說話
[00:01:55.000 --> 00:01:57.000]  造就我們的生命
[00:01:57.000 --> 00:01:59.000]  帶領我們新的一年
[00:01:59.000 --> 00:02:01.000]  是得夢神喜悅
[00:02:01.000 --> 00:02:03.000]  我們的禱告交托
[00:02:03.000 --> 00:02:05.000]  是靠主耶穌基督得聖名求
[00:02:05.000 --> 00:02:09.000]  在新的一年
[00:02:09.000 --> 00:02:11.000]  我要和大家思想的訊息
[00:02:11.000 --> 00:02:13.000]  在聖經裡
[00:02:13.000 --> 00:02:15.000]  有提及到
[00:02:15.000 --> 00:02:17.000]  神喜悅
[00:02:17.000 --> 00:02:19.000]  神悅納人的欺憐
[00:02:19.000 --> 00:02:21.000]  有些人都聽過欺憐
[00:02:21.000 --> 00:02:23.000]  這兩個字
[00:02:23.000 --> 00:02:25.000]  但欺憐是什麼意思呢?
[00:02:25.000 --> 00:02:27.000]  我們新的一年
[00:02:27.000 --> 00:02:29.000]  通常有時見到一些人
[00:02:29.000 --> 00:02:31.000]  可能街坊
[00:02:31.000 --> 00:02:33.000]  或者是鄰里
[00:02:33.000 --> 00:02:35.000]  今早見到人的時候
[00:02:35.000 --> 00:02:37.000]  可能和大廈坑間說
[00:02:37.000 --> 00:02:39.000]  新年快樂、新年進步
[00:02:39.000 --> 00:02:41.000]  身體健康
[00:02:41.000 --> 00:02:43.000]  無論是
[00:02:43.000 --> 00:02:45.000]  新年或是農曆新年
[00:02:45.000 --> 00:02:47.000]  我們祝福人新年快樂
[00:02:47.000 --> 00:02:49.000]  身體健康
[00:02:49.000 --> 00:02:51.000]  有沒有聽過
[00:02:51.000 --> 00:02:53.000]  有些人祝福民安
[00:02:53.000 --> 00:02:55.000]  恭賀新禧
[00:02:55.000 --> 00:02:57.000]  有啦
[00:02:57.000 --> 00:02:59.000]  恭賀新禧這個圖片
[00:02:59.000 --> 00:03:01.000]  這個飾物
[00:03:01.000 --> 00:03:03.000]  裝飾
[00:03:03.000 --> 00:03:05.000]  知不知道在哪裡
[00:03:05.000 --> 00:03:07.000]  有沒有留意到在附近哪個地方
[00:03:07.000 --> 00:03:13.000]  在長沙灣廣場
[00:03:13.000 --> 00:03:15.000]  一樓你搭電動樓梯上去
[00:03:15.000 --> 00:03:17.000]  你就細心會留意到
[00:03:17.000 --> 00:03:19.000]  恭賀新禧
[00:03:19.000 --> 00:03:21.000]  恭賀新禧
[00:03:21.000 --> 00:03:23.000]  很想新的一年
[00:03:23.000 --> 00:03:25.000]  有新的開始
[00:03:25.000 --> 00:03:27.000]  不知道你有沒有祝福人
[00:03:27.000 --> 00:03:29.000]  在新的一年
[00:03:29.000 --> 00:03:31.000]  新禧快樂
[00:03:31.000 --> 00:03:33.000]  欺憐快樂
[00:03:33.000 --> 00:03:35.000]  不知道什麼欺憐
[00:03:35.000 --> 00:03:39.000]  中國人
[00:03:39.000 --> 00:03:41.000]  欺字是有意思的
[00:03:41.000 --> 00:03:43.000]  其實欺字有
[00:03:43.000 --> 00:03:45.000]  福指
[00:03:45.000 --> 00:03:47.000]  幸福快樂的意思
[00:03:47.000 --> 00:03:49.000]  所以新的一年
[00:03:49.000 --> 00:03:51.000]  你祝福別人新年快樂
[00:03:51.000 --> 00:03:53.000]  一般有些人
[00:03:53.000 --> 00:03:55.000]  或者未信耶穌的人
[00:03:55.000 --> 00:03:57.000]  直接就是賺多些
[00:03:57.000 --> 00:03:59.000]  賺多些增加收入
[00:03:59.000 --> 00:04:01.000]  身體健康就開心快樂些
[00:04:01.000 --> 00:04:03.000]  這個都很正常
[00:04:03.000 --> 00:04:05.000]  當來的新的一年
[00:04:05.000 --> 00:04:07.000]  身體健康
[00:04:07.000 --> 00:04:09.000]  或者叫事事順利
[00:04:09.000 --> 00:04:11.000]  家人收入增加
[00:04:11.000 --> 00:04:13.000]  自己收入增加
[00:04:13.000 --> 00:04:15.000]  開心嗎?
[00:04:15.000 --> 00:04:17.000]  很開心
[00:04:17.000 --> 00:04:19.000]  但你願意新的一年
[00:04:19.000 --> 00:04:21.000]  在你的禱告裏面
[00:04:21.000 --> 00:04:23.000]  有一個願望
[00:04:23.000 --> 00:04:25.000]  神都很喜悅
[00:04:25.000 --> 00:04:27.000]  很接納你
[00:04:27.000 --> 00:04:29.000]  接下來這一年
[00:04:29.000 --> 00:04:31.000]  2023年
[00:04:31.000 --> 00:04:33.000]  你有沒有一個禱告的願望和心志
[00:04:33.000 --> 00:04:35.000]  是神是願納你
[00:04:35.000 --> 00:04:37.000]  接下來新的一年
[00:04:37.000 --> 00:04:39.000]  是神嘉許你的
[00:04:39.000 --> 00:04:41.000]  接納你的
[00:04:41.000 --> 00:04:43.000]  從今年到年尾
[00:04:43.000 --> 00:04:45.000]  最後一天
[00:04:45.000 --> 00:04:47.000]  你回頭看
