
[00:00:00.000 --> 00:00:04.240]  今天是2021年10月17日
[00:00:04.240 --> 00:00:07.240]  去到接近年尾的時間
[00:00:07.240 --> 00:00:10.240]  現在我想大家去想一想
[00:00:10.240 --> 00:00:14.240]  在這一年全香港人聽得最多
[00:00:14.240 --> 00:00:17.240]  見得最多的會是什麼呢?
[00:00:17.240 --> 00:00:26.240]  早兩個月可能就會經常見到張家朗
[00:00:26.240 --> 00:00:28.240]  李慧詩這些名字
[00:00:28.240 --> 00:00:33.240]  但來到10月都沒有人再提了
[00:00:33.240 --> 00:00:38.240]  又或者可能最近大家都在說消費券如何使用
[00:00:38.240 --> 00:00:44.240]  又或者看得出劇集叫做《魷魚遊戲》
[00:00:44.240 --> 00:00:47.240]  都只不過是近排的事
[00:00:47.240 --> 00:00:50.240]  要數到整個2021年
[00:00:50.240 --> 00:00:53.240]  見得最多聽得最多的
[00:00:53.240 --> 00:00:56.240]  一定是中文字是一個字
[00:00:56.240 --> 00:00:58.240]  驚
[00:00:58.240 --> 00:01:01.240]  英文是mirror
[00:01:01.240 --> 00:01:03.240]  沒錯
[00:01:03.240 --> 00:01:04.240]  驚
[00:01:04.240 --> 00:01:05.240]  mirror不是驚嗎?
[00:01:05.240 --> 00:01:06.240]  是驚
[00:01:06.240 --> 00:01:10.240]  驚
[00:01:10.240 --> 00:01:11.240]  好
[00:01:11.240 --> 00:01:14.240]  大家討論這個字怎麼讀
[00:01:14.240 --> 00:01:17.240]  由年頭紅到年尾
[00:01:17.240 --> 00:01:18.240]  最恐怖的是
[00:01:18.240 --> 00:01:21.240]  去墨記都見到Gentle and Friends
[00:01:21.240 --> 00:01:23.240]  去尖沙咀又見到誰?
[00:01:23.240 --> 00:01:25.240]  Anson Lo
[00:01:25.240 --> 00:01:27.240]  去巴士廣告呢?
[00:01:27.240 --> 00:01:29.240]  那些人我都不認識
[00:01:29.240 --> 00:01:31.240]  總之經常都是Happy Birthday
[00:01:31.240 --> 00:01:35.240]  有一間我不太肯定的日資百貨店
[00:01:35.240 --> 00:01:36.240]  不知道大家有沒有去
[00:01:36.240 --> 00:01:38.240]  首首歌都是播MIRROR
[00:01:38.240 --> 00:01:40.240]  完全是洗腦
[00:01:40.240 --> 00:01:43.240]  難怪早幾個月網上有一個群組
[00:01:43.240 --> 00:01:45.240]  不知道大家有沒有加入
[00:01:45.240 --> 00:01:49.240]  就叫做《我老婆嫁了給MIRROR》
[00:01:49.240 --> 00:01:52.240]  組織婚姻破裂關注組
[00:01:52.240 --> 00:01:54.240]  你一會兒完了崇拜之後
[00:01:54.240 --> 00:01:55.240]  可以Google一下
[00:01:55.240 --> 00:01:57.240]  打我老婆這三個字
[00:01:57.240 --> 00:01:59.240]  後面就見到這些關聯的字
[00:01:59.240 --> 00:02:02.240]  第一個就是這個關注組
[00:02:02.240 --> 00:02:05.240]  可想而知有多少MIRROR的受害者
[00:02:05.240 --> 00:02:08.240]  尤其是老公
[00:02:08.240 --> 00:02:11.240]  雖然MIRROR在香港紅到發紙
[00:02:11.240 --> 00:02:14.240]  但上星期我看網上的報道
[00:02:14.240 --> 00:02:18.240]  就說國內的同胞好像不太Like他
[00:02:18.240 --> 00:02:19.240]  為了逼真一點
[00:02:19.240 --> 00:02:23.240]  我用我懶得不堪的普通話讀出來
[00:02:23.240 --> 00:02:25.240]  這麼醜
[00:02:25.240 --> 00:02:30.240]  根本看不出是哪個是明星的程度
[00:02:30.240 --> 00:02:34.240]  像一群00年代的死髮男
[00:02:34.240 --> 00:02:37.240]  但愛豆門檻這麼低嗎
[00:02:37.240 --> 00:02:38.240]  等等等等
[00:02:38.240 --> 00:02:39.240]  大家聽得明白嗎
[00:02:39.240 --> 00:02:40.240]  聽不明白
[00:02:40.240 --> 00:02:41.240]  OK
[00:02:41.240 --> 00:02:46.240]  聽不明白就算了
[00:02:46.240 --> 00:02:49.240]  在香港MIRROR紅到發紙
[00:02:49.240 --> 00:02:52.240]  但國內的網民看不上眼
[00:02:52.240 --> 00:02:54.240]  而國內的藍團
[00:02:54.240 --> 00:02:57.240]  香港的網民也也如一番
[00:02:57.240 --> 00:02:58.240]  各花入各眼
[00:02:58.240 --> 00:03:00.240]  各有各選擇
[00:03:00.240 --> 00:03:02.240]  你可以選擇聽哪位歌手
[00:03:02.240 --> 00:03:05.240]  也可以選擇買哪位明星的產品
[00:03:05.240 --> 00:03:07.240]  選擇哪位買什麼
[00:03:07.240 --> 00:03:08.240]  無所謂的
[00:03:08.240 --> 00:03:10.240]  沒有對與錯
[00:03:10.240 --> 00:03:12.240]  但當我們看回聖經
[00:03:12.240 --> 00:03:14.240]  我們今天看這段經文
[00:03:14.240 --> 00:03:15.240]  昔日一眾以色列民
[00:03:15.240 --> 00:03:17.240]  在約書亞面前
[00:03:17.240 --> 00:03:21.240]  要選擇的不是他們的喜好
[00:03:21.240 --> 00:03:23.240]  而是關乎他們的一生
[00:03:23.240 --> 00:03:26.240]  一個生命攸關的決定
[00:03:26.240 --> 00:03:30.240]  今天當我們面對21世紀的洪流的時候
[00:03:30.240 --> 00:03:33.240]  你會選擇跟隨這個世界
[00:03:33.240 --> 00:03:36.240]  還是跟隨愛我們的主呢
[00:03:36.240 --> 00:03:37.240]  盼望今天的訊息
[00:03:37.240 --> 00:03:41.240]  能夠讓你更堅定的說出
[00:03:41.240 --> 00:03:42.240]  即或怎樣
[00:03:42.240 --> 00:03:45.240]  我也願意一生一世跟隨主耶穌
[00:03:45.240 --> 00:03:47.240]  今天和大家分享這段經文
[00:03:47.240 --> 00:03:50.240]  是記載在約書亞記的第24章
[00:03:50.240 --> 00:03:52.240]  現在我們一起讀出好嗎
[00:03:52.240 --> 00:03:55.240]  我們先讀出第11至13節
[00:03:55.240 --> 00:03:57.240]  好 預備起
[00:03:57.240 --> 00:04:02.240]  「約書亞將以色列的眾志派聚集在事件
[00:04:02.240 --> 00:04:06.240]  照料以色列的長老、族長、審判官
[00:04:06.240 --> 00:04:08.240]  並觀長來
[00:04:08.240 --> 00:04:11.240]  他們就站在神面前
[00:04:11.240 --> 00:04:13.240]  約書亞對眾民說
[00:04:13.240 --> 00:04:16.240]  耶和華以色列的神如此說
[00:04:16.240 --> 00:04:18.240]  古時你們的列祖
[00:04:18.240 --> 00:04:23.240]  就是亞伯拉罕和拿學的父親他拉
[00:04:23.240 --> 00:04:26.240]  住在大河那邊侍奉別神
[00:04:26.240 --> 00:04:29.240]  我將你們的祖宗亞伯拉罕
[00:04:29.240 --> 00:04:32.240]  從大河那邊帶來
[00:04:32.240 --> 00:04:35.240]  令他走遍迦南全地
[00:04:35.240 --> 00:04:37.240]  又使他的子孫眾多
[00:04:37.240 --> 00:04:39.240]  把以撒賜給他」
[00:04:39.240 --> 00:04:43.240]  又把雅各和以素賜給以撒
[00:04:43.240 --> 00:04:46.240]  將西爾山賜給以素為業
[00:04:46.240 --> 00:04:49.240]  後來雅各和他的子孫
[00:04:49.240 --> 00:04:51.240]  下到埃及去殮
[00:04:51.240 --> 00:04:54.240]  我差遣摩西亞倫
[00:04:54.240 --> 00:04:59.240]  並召我在埃及中所行的降災員埃及
[00:04:59.240 --> 00:05:02.240]  然後把你們領出了
[00:05:02.240 --> 00:05:05.240]  我領你們列祖出埃及
[00:05:05.240 --> 00:05:07.240]  他們就到了紅海
[00:05:07.240 --> 00:05:14.240]  埃及人帶領車馬兵追趕你們列祖到紅海
[00:05:14.240 --> 00:05:16.240]  列祖哀求耶和華
[00:05:16.240 --> 00:05:21.240]  他就使你們和埃及人中間黑暗了
[00:05:21.240 --> 00:05:24.240]  又使海水淹沒埃及人
[00:05:24.240 --> 00:05:26.240]  我在埃及人所行的事
[00:05:26.240 --> 00:05:29.240]  你們親眼見過
[00:05:29.240 --> 00:05:33.240]  你們在曠野也住了許多年
[00:05:33.240 --> 00:05:38.240]  我領你們到約旦河東阿摩利人所住之地
[00:05:38.240 --> 00:05:41.240]  他們與你們爭戰
[00:05:41.240 --> 00:05:44.240]  我與他們交在你們手中
[00:05:44.240 --> 00:05:47.240]  你們變得了他們的弟為業
[00:05:47.240 --> 00:05:51.240]  我也在你們面前將他們滅絕
