
[00:00:00.000 --> 00:00:02.360]  大英姐妹們早安
[00:00:02.360 --> 00:00:05.760]  各位中秋節快樂
[00:00:05.760 --> 00:00:10.480]  在團圓的日子可以一家共聚都很開心
[00:00:10.480 --> 00:00:15.680]  我們先有個禱告
[00:00:15.680 --> 00:00:18.680]  親愛的天父多謝你的恩典
[00:00:18.680 --> 00:00:21.560]  我們可以和家人共聚
[00:00:21.560 --> 00:00:24.000]  而今早也可以在神家裡
[00:00:24.000 --> 00:00:26.760]  和大英姐妹們一起敬拜祢
[00:00:26.760 --> 00:00:28.760]  願我們聽祢的話語
[00:00:28.760 --> 00:00:31.000]  一生去追隨主耶穌
[00:00:31.000 --> 00:00:32.880]  多謝你聽我們禱告
[00:00:32.880 --> 00:00:35.200]  祈禱奉主耶穌基督名求
[00:00:35.200 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:41.000]  不知道大家有沒有試過走錯路
[00:00:41.000 --> 00:00:44.080]  或者坐錯車
[00:00:44.080 --> 00:00:46.520]  經常都是這樣
[00:00:46.520 --> 00:00:48.560]  我都好幾次
[00:00:48.560 --> 00:00:51.040]  回彌恩福坐地鐵
[00:00:51.040 --> 00:00:54.440]  明明應該在荔枝角下車
[00:00:54.440 --> 00:00:57.600]  但是好幾次都去了長沙橫才知道
[00:00:57.600 --> 00:00:59.720]  糟了還沒下車
[00:00:59.720 --> 00:01:02.480]  所以有時候好像平時一樣
[00:01:02.480 --> 00:01:05.200]  走錯路過了站
[00:01:05.200 --> 00:01:10.000]  都會花多了一點時間才可以回來
[00:01:10.000 --> 00:01:13.480]  如果是馬拉松
[00:01:13.480 --> 00:01:18.040]  走錯路可能分分鐘連獎牌都沒有了
[00:01:18.040 --> 00:01:19.840]  原來去年在美國
[00:01:19.840 --> 00:01:23.720]  有一個四個城市聯合舉辦的馬拉松比賽
[00:01:23.720 --> 00:01:27.240]  當中有不同國籍的參賽者
[00:01:27.240 --> 00:01:33.400]  大家知不知道通常跑得最快的是哪個州的選手
[00:01:33.400 --> 00:01:34.200]  非洲啊
[00:01:34.200 --> 00:01:35.680]  好厲害
[00:01:35.680 --> 00:01:37.360]  非洲跑得最快
[00:01:37.360 --> 00:01:41.560]  有兩個非洲的選手搖搖領先
[00:01:41.560 --> 00:01:43.680]  馬拉松通常他們安排
[00:01:43.680 --> 00:01:48.800]  第一名前面有一個踩單車的義工
[00:01:48.800 --> 00:01:50.400]  幫他們帶路
[00:01:50.400 --> 00:01:52.880]  因為可能在別的國家不太熟路
[00:01:52.880 --> 00:01:55.440]  不過都有路標的
[00:01:55.440 --> 00:01:57.720]  去到最後彎道
[00:01:57.720 --> 00:02:00.920]  那兩個選手看到單車的義工
