
[00:00:00.000 --> 00:00:10.000]  萬安,想問問今天是C篇系列的第幾講?
[00:00:10.000 --> 00:00:15.000]  很快有人答到,第五啊,證明他有留意
[00:00:15.000 --> 00:00:18.000]  其實下面的QR Code,你就可以看到
[00:00:18.000 --> 00:00:22.000]  我們還有兩篇第六和第七講的
[00:00:22.000 --> 00:00:27.000]  在這個月裡有三篇C篇的發生,所以都是很好的
[00:00:27.000 --> 00:00:30.000]  既然你這麼留心,不如我考考你
[00:00:30.000 --> 00:00:37.000]  我不知道你什麼原因會上星期六晚的崇拜
[00:00:37.000 --> 00:00:39.000]  可能有很多原因吧?
[00:00:39.000 --> 00:00:43.000]  但你有沒有留意,我們這個星期六晚的晚課比較特別
[00:00:43.000 --> 00:00:47.000]  我一般去很多教會都是五點、六點,最遲都是七點
[00:00:47.000 --> 00:00:51.000]  我們是特別晚的,八點,很少的
[00:00:51.000 --> 00:00:53.000]  不過有個好處,你發現是怎樣?
[00:00:53.000 --> 00:00:58.000]  你下班或有事要做,就先吃飯,崇拜也比較好
[00:00:58.000 --> 00:01:01.000]  不過吃飽了,我就不知道了
[00:01:01.000 --> 00:01:03.000]  我們等等再看看怎樣吧
[00:01:03.000 --> 00:01:06.000]  我想知道一下,或者你自己知道一下
[00:01:06.000 --> 00:01:09.000]  你自己上星期六晚崇拜的原因
[00:01:09.000 --> 00:01:14.000]  一會兒就會有一個QR Code出來
[00:01:14.000 --> 00:01:19.000]  大家就可以拿手機出來,打開它,做一下那幾條問題
[00:01:19.000 --> 00:01:25.000]  我有個要求,要安靜,不要跟別人商量,不要起哄
[00:01:25.000 --> 00:01:27.000]  我給你一分鐘時間
[00:01:27.000 --> 00:01:35.000]  我們看看,因為這個是我用免費軟件做的,所以有很多廣告
[00:01:35.000 --> 00:01:40.000]  所以記住要按這個,不要按其他東西,那些是叫你買衣服的
[00:01:40.000 --> 00:01:44.000]  你按這個,跳過它,你進去就可以開始做了
[00:01:44.000 --> 00:01:48.000]  給大家一分鐘,你現在就打開它,就可以開始做了
[00:01:48.000 --> 00:01:55.000]  我不會,但也不要緊,你坐在旁邊,留意一下別人怎樣做就可以了
[00:01:55.000 --> 00:02:00.000]  不要說話,一分鐘
[00:02:00.000 --> 00:02:03.000]  完成之後,你就知道自己有多少分,記住了
[00:02:03.000 --> 00:02:14.000]  我等等會跟你分析一下有多少分
[00:02:14.000 --> 00:02:20.000]  記住關機
[00:02:20.000 --> 00:02:23.000]  記住不要想,直接回答就可以了
