
[00:00:00.000 --> 00:00:01.380]  今天的訊息的題目是
[00:00:01.380 --> 00:00:02.880]  人在做 天在看
[00:00:02.880 --> 00:00:04.180]  約書亞記九章
[00:00:04.180 --> 00:00:05.600]  如果你發覺
[00:00:05.600 --> 00:00:08.800]  很多人覺得其實在基督徒的成性路途裡面
[00:00:08.800 --> 00:00:09.840]  是挺艱難的
[00:00:09.840 --> 00:00:12.840]  因為魔鬼處處都被陷阱陷害我們
[00:00:12.840 --> 00:00:13.840]  有多少人覺得是
[00:00:13.840 --> 00:00:16.180]  有時候你發覺特別是靈性軟弱的時候
[00:00:16.180 --> 00:00:17.840]  你覺得處處都是陷阱
[00:00:17.840 --> 00:00:20.000]  很怕會做錯事得罪神
[00:00:20.000 --> 00:00:22.140]  甚至做錯事得罪自己得罪別人
[00:00:22.140 --> 00:00:23.800]  有這樣的感覺的時候看看
[00:00:23.800 --> 00:00:25.500]  我們很多同路人
[00:00:25.500 --> 00:00:26.600]  我看到同路人
[00:00:26.600 --> 00:00:28.480]  我心裡面都覺得安慰很多
[00:00:28.940 --> 00:00:31.140]  今天我們說的約書亞記九章
[00:00:31.140 --> 00:00:32.900]  之前六至八章
[00:00:32.900 --> 00:00:35.400]  作者約書亞已經鋪排陳述了
[00:00:35.400 --> 00:00:37.600]  進加拿大要得到福氣
[00:00:37.600 --> 00:00:40.400]  其實要靠很多的屬靈增賤
[00:00:40.400 --> 00:00:42.100]  要靠我們用信心
[00:00:42.100 --> 00:00:43.400]  好像在第六章裡面
[00:00:43.400 --> 00:00:45.400]  用信心圍繞著耶利哥城
[00:00:45.400 --> 00:00:46.700]  以色列人哭了七次
[00:00:46.700 --> 00:00:49.100]  圍繞著七個圈
[00:00:49.100 --> 00:00:50.900]  然後造成了倒塌
[00:00:50.900 --> 00:00:52.400]  要靠真正的信心
[00:00:52.400 --> 00:00:55.400]  又要靠求問神去打仗
[00:00:55.400 --> 00:00:57.600]  所以去到第七章
[00:00:57.600 --> 00:00:59.900]  他們因為不聽神的指教
[00:00:59.900 --> 00:01:01.800]  拿了當滅之物之後
[00:01:01.800 --> 00:01:04.200]  神派去約書亞領軍
[00:01:04.200 --> 00:01:08.100]  去打艾城的時候
[00:01:08.100 --> 00:01:09.300]  他們沒有求問神
[00:01:09.300 --> 00:01:11.000]  結果敗北
[00:01:11.000 --> 00:01:14.700]  一個很明顯的印證告訴我們
[00:01:14.700 --> 00:01:16.400]  不求問神增賤
[00:01:16.400 --> 00:01:19.000]  在屬靈的歷程裡面我們輸定了
[00:01:19.000 --> 00:01:21.000]  另外在整個歷程裡面
[00:01:21.000 --> 00:01:22.300]  我們在整個道路裡面
[00:01:22.300 --> 00:01:25.400]  怎麼能夠時時不點染外邦的風俗
[00:01:25.400 --> 00:01:28.200]  和要守神的弱 守聖潔呢
[00:01:28.200 --> 00:01:30.600]  其實這個我相信在第八章
[00:01:30.600 --> 00:01:32.500]  神給一次機會約書亞
[00:01:32.500 --> 00:01:35.200]  再率領他們的兵兵去上艾城
[00:01:35.200 --> 00:01:36.400]  這次他們求問神
[00:01:36.400 --> 00:01:38.500]  神給他們用計謀得勝
[00:01:38.500 --> 00:01:41.200]  在這裡張抹第八章三十節三十五節
[00:01:41.200 --> 00:01:43.100]  我用這裡來引進第九章
[00:01:43.100 --> 00:01:45.100]  約書亞將律法書上的祝福
[00:01:45.100 --> 00:01:46.200]  和就座的話
[00:01:46.200 --> 00:01:48.400]  照律法書上所寫的一切說話
[00:01:48.400 --> 00:01:50.400]  都向會眾講了一篇
[00:01:50.400 --> 00:01:53.800]  一沒想到第九章全章一至二十七節
[00:01:53.800 --> 00:01:56.700]  其實我想你有沒有試過聽的講道
[00:01:56.700 --> 00:01:58.400]  是有二十七節這麼多經文的
[00:01:58.400 --> 00:02:01.900]  你今天就要和我捱過這二十七節
[00:02:01.900 --> 00:02:02.900]  行不行
[00:02:02.900 --> 00:02:04.500]  不是很捱過而已
[00:02:04.500 --> 00:02:06.000]  如果我剛剛上個星期一日
[00:02:06.000 --> 00:02:08.300]  都捱過那麼熱的營會
[00:02:08.300 --> 00:02:10.200]  你們今天在安書的環境裡面
[00:02:10.200 --> 00:02:12.200]  希望你能夠更加明白
[00:02:12.200 --> 00:02:13.200]  這段經文
[00:02:13.200 --> 00:02:14.500]  竟然告訴我們
[00:02:14.500 --> 00:02:16.700]  律法書上神的就座
[00:02:16.700 --> 00:02:18.500]  因為人不聽神的話的就座
[00:02:18.500 --> 00:02:20.100]  原來轉過頭
[00:02:20.100 --> 00:02:22.000]  是祝福的背面
[00:02:22.600 --> 00:02:24.200]  就是說神管教以色列民
[00:02:24.200 --> 00:02:25.600]  神管教我們
[00:02:25.600 --> 00:02:27.400]  有時是會管教
[00:02:27.400 --> 00:02:28.800]  讓我們有懲罰、刑罰
[00:02:28.800 --> 00:02:31.200]  但是刑罰背後其實就是祝福
