
[00:00:00.000 --> 00:00:02.000]  讓我們一起開始祈禱
[00:00:02.000 --> 00:00:10.000]  天上佛神很感謝你
[00:00:10.000 --> 00:00:12.000]  我們仍然不完美
[00:00:12.000 --> 00:00:14.000]  仍然有很多不足的時候
[00:00:14.000 --> 00:00:16.000]  你已經呼召了我們
[00:00:16.000 --> 00:00:18.000]  成為你眼裡
[00:00:18.000 --> 00:00:20.000]  看來是完美的兒女
[00:00:20.000 --> 00:00:24.000]  我們實在覺得很不配
[00:00:24.000 --> 00:00:26.000]  也很願意很希望
[00:00:26.000 --> 00:00:28.000]  我們的生命
[00:00:28.000 --> 00:00:32.000]  真的可以活出你的旨意
[00:00:32.000 --> 00:00:34.000]  讓人看到我們這位天父
[00:00:34.000 --> 00:00:36.000]  是多麼奇妙
[00:00:36.000 --> 00:00:38.000]  多麼偉大
[00:00:38.000 --> 00:00:40.000]  神求你真的
[00:00:40.000 --> 00:00:42.000]  看顧我們,幫助我們
[00:00:42.000 --> 00:00:44.000]  因為我們仍然有很多不足
[00:00:44.000 --> 00:00:46.000]  幫助我們一會
[00:00:46.000 --> 00:00:48.000]  聽你的話語
[00:00:48.000 --> 00:00:50.000]  以致你的話語可以進入我們心裡
[00:00:50.000 --> 00:00:52.000]  成為我們心中的力量
[00:00:52.000 --> 00:00:54.000]  感謝神你聽我們祈禱
[00:00:54.000 --> 00:00:56.000]  祈禱過奉主耶穌得勝名頭
[00:00:56.000 --> 00:00:58.000]  在我預備這段講章的時候
[00:00:58.000 --> 00:01:00.000]  我和一位童工聊天
[00:01:00.000 --> 00:01:02.000]  通常有時都會找一下童工聊天
[00:01:02.000 --> 00:01:04.000]  看看有什麼例子
[00:01:04.000 --> 00:01:06.000]  或者聊一下大綱
[00:01:06.000 --> 00:01:08.000]  我請這位童工給我一些意見
[00:01:08.000 --> 00:01:10.000]  這位童工就跟我說
[00:01:10.000 --> 00:01:12.000]  在行動中活出神
[00:01:12.000 --> 00:01:14.000]  聽起來有點怪
[00:01:14.000 --> 00:01:16.000]  今天我們的題目就是
[00:01:16.000 --> 00:01:18.000]  在行動中活出神
[00:01:18.000 --> 00:01:20.000]  我們會聊一下
[00:01:20.000 --> 00:01:22.000]  在行動中活出神
[00:01:22.000 --> 00:01:24.000]  在行動中活出神
[00:01:24.000 --> 00:01:26.000]  今天我們的題目就是在行動中活出神
[00:01:26.000 --> 00:01:28.000]  她問
[00:01:28.000 --> 00:01:30.000]  在行動中
[00:01:30.000 --> 00:01:32.000]  活出信仰可以比較好一點嗎
[00:01:32.000 --> 00:01:34.000]  我跟她說
[00:01:34.000 --> 00:01:36.000]  不行
[00:01:36.000 --> 00:01:38.000]  是教會給的題目
[00:01:38.000 --> 00:01:40.000]  不能改
[00:01:40.000 --> 00:01:44.000]  當我回想起
[00:01:44.000 --> 00:01:46.000]  童工說這句話的時候
[00:01:46.000 --> 00:01:48.000]  我又開始問自己
[00:01:48.000 --> 00:01:50.000]  什麼叫做活出神呢
[00:01:50.000 --> 00:01:52.000]  不知道大家心裡有什麼答案
[00:01:52.000 --> 00:01:54.000]  對於你來說
[00:01:54.000 --> 00:01:56.000]  什麼叫做活出神呢
[00:01:56.000 --> 00:01:58.000]  我想
[00:01:58.000 --> 00:02:00.000]  可能是代表著
[00:02:00.000 --> 00:02:02.000]  我們的行動
[00:02:02.000 --> 00:02:04.000]  可以讓人認識我們的神
[00:02:04.000 --> 00:02:06.000]  又或者
[00:02:06.000 --> 00:02:08.000]  是用我們的行動去展示
[00:02:08.000 --> 00:02:10.000]  神在我們生命上的影響力
[00:02:10.000 --> 00:02:14.000]  但通常我們很籠統地說
[00:02:14.000 --> 00:02:16.000]  通常教會在裡面
[00:02:16.000 --> 00:02:18.000]  我們經常掛在口邊
[00:02:18.000 --> 00:02:20.000]  就說去見證神
[00:02:20.000 --> 00:02:22.000]  去榮耀神
[00:02:22.000 --> 00:02:24.000]  但是怎樣呢
[00:02:24.000 --> 00:02:26.000]  我們經常說很多
[00:02:26.000 --> 00:02:28.000]  但是怎樣呢
[00:02:28.000 --> 00:02:30.000]  要做些什麼
[00:02:30.000 --> 00:02:32.000]  才算是真正見證到神
[00:02:32.000 --> 00:02:34.000]  和榮耀到神呢
[00:02:34.000 --> 00:02:36.000]  是不是我們每個禮拜
[00:02:36.000 --> 00:02:38.000]  回來崇拜
[00:02:38.000 --> 00:02:40.000]  飯粥團體
[00:02:40.000 --> 00:02:42.000]  最少百分之八十
[00:02:42.000 --> 00:02:44.000]  回主日學
[00:02:44.000 --> 00:02:46.000]  十一奉獻
[00:02:46.000 --> 00:02:48.000]  日日靈修
[00:02:48.000 --> 00:02:50.000]  每個月最少
[00:02:50.000 --> 00:02:52.000]  同一個人傳福音
[00:02:52.000 --> 00:02:54.000]  我們就等於見證了神
[00:02:54.000 --> 00:02:56.000]  和榮耀神呢
[00:02:56.000 --> 00:02:58.000]  要做多少
[00:02:58.000 --> 00:03:00.000]  做多少才足夠
[00:03:00.000 --> 00:03:02.000]  讓我想起
[00:03:02.000 --> 00:03:04.000]  最近在某個電視台
[00:03:04.000 --> 00:03:06.000]  有一部劇集
[00:03:06.000 --> 00:03:08.000]  是講關於BB的劇集
[00:03:08.000 --> 00:03:10.000]  裡面就說到
[00:03:10.000 --> 00:03:12.000]  他們無論是
