
[00:00:00.000 --> 00:00:04.600]  讓我們先去讀出今天正道的經文
[00:00:04.600 --> 00:00:08.600]  詩篇十九篇
[00:00:08.600 --> 00:00:12.000]  七至到第十四節
[00:00:12.000 --> 00:00:14.000]  我們一起來起
[00:00:14.000 --> 00:00:41.000]  (中文)
[00:00:41.000 --> 00:00:55.000]  (中文)
[00:00:55.000 --> 00:01:02.000]  (中文)
[00:01:02.000 --> 00:01:10.000]  (中文)
[00:01:10.000 --> 00:01:34.000]  (中文)
[00:01:34.000 --> 00:01:37.000]  我相信大家對這首詩篇都不陌生
[00:01:37.000 --> 00:01:41.000]  剛才我們讀這一段的特色就是
[00:01:41.000 --> 00:01:47.000]  一開始對聖經有很多的形容
[00:01:47.000 --> 00:01:50.000]  一連串的重讚
[00:01:50.000 --> 00:01:55.000]  我不知道在座當中有多少弟兄姊妹
[00:01:55.000 --> 00:01:58.000]  讀過聖經好幾次
[00:01:58.000 --> 00:02:01.000]  我相信有的
[00:02:01.000 --> 00:02:07.000]  其實原來一些不信主的人都會看聖經
[00:02:07.000 --> 00:02:11.000]  不過是否等於看聖經
[00:02:11.000 --> 00:02:16.000]  我們就經歷得到詩篇這裡形容的
[00:02:16.000 --> 00:02:19.000]  那麼多的好處呢
[00:02:19.000 --> 00:02:21.000]  未必的
[00:02:21.000 --> 00:02:23.000]  如果我們讀聖經只是讀
[00:02:23.000 --> 00:02:27.000]  在頭腦上的一些運作
[00:02:27.000 --> 00:02:32.000]  我們很難在聖經裡跟神相遇
[00:02:32.000 --> 00:02:36.000]  生命未必會得到改變
[00:02:36.000 --> 00:02:43.000]  我記得以前有位老牧者在台上教訓過一些弟兄姊妹
[00:02:43.000 --> 00:02:47.000]  問你們聽到多少年呢
[00:02:47.000 --> 00:02:49.000]  數數脈脈,你們自己數數吧
[00:02:49.000 --> 00:02:52.000]  都可能不少年份
[00:02:52.000 --> 00:02:55.000]  究竟聽那麼多
[00:02:55.000 --> 00:02:58.000]  你們的認識神有沒有增加呢
[00:02:58.000 --> 00:03:01.000]  又或者聽那麼多
[00:03:01.000 --> 00:03:03.000]  生命有沒有被改變呢
[00:03:03.000 --> 00:03:05.000]  如果什麼都沒有呢
[00:03:05.000 --> 00:03:09.000]  那位牧者就說浪費時間
[00:03:09.000 --> 00:03:15.000]  盼望今天我們再聽一篇道之前
[00:03:15.000 --> 00:03:17.000]  我們有一個祈禱
[00:03:17.000 --> 00:03:20.000]  盼望我們今天不會浪費時間
[00:03:20.000 --> 00:03:22.000]  我們一起禱告
[00:03:22.000 --> 00:03:29.000]  主啊,我們走到在你面前
[00:03:29.000 --> 00:03:33.000]  為了聽和明白你的話語
[00:03:33.000 --> 00:03:39.000]  我們安靜地將一切的憂慮、雜念
[00:03:39.000 --> 00:03:41.000]  致謝給你
[00:03:50.000 --> 00:03:55.000]  願意我們的心向主祢開放
[00:03:55.000 --> 00:04:00.000]  認為我們需要有祢在我們的生命裡
[00:04:00.000 --> 00:04:03.000]  願聖靈向我們每一位說話
[00:04:03.000 --> 00:04:05.000]  禱告奉主名候
[00:04:05.000 --> 00:04:07.000]  阿們
[00:04:07.000 --> 00:04:17.000]  這篇詩篇其實對神的話語有幾種分類
[00:04:17.000 --> 00:04:19.000]  我將它翻譯成
[00:04:19.000 --> 00:04:27.000]  律法、法道、分詞、命令、道理和典章
[00:04:27.000 --> 00:04:29.000]  不過原文呢
[00:04:29.000 --> 00:04:33.000]  律法這個原文
[00:04:33.000 --> 00:04:35.000]  Torah
[00:04:35.000 --> 00:04:38.000]  中文喜歡將它翻譯成律法
[00:04:38.000 --> 00:04:42.000]  但原文的意思是「訓誨」
[00:04:42.000 --> 00:04:49.000]  不一定是我們心裡想的十誡、誡明
[00:04:49.000 --> 00:04:55.000]  猶太人通常說Torah就是指摩西吾經
[00:04:55.000 --> 00:04:59.000]  法道呢,原文的意思其實是「見證」
[00:04:59.000 --> 00:05:02.000]  所以如果你去看一些英文的譯本
[00:05:02.000 --> 00:05:06.000]  會將它翻譯成Testimony
[00:05:06.000 --> 00:05:11.000]  分詞原文的意思是「法規」、「誡明」
[00:05:11.000 --> 00:05:13.000]  而第九節的道理
[00:05:13.000 --> 00:05:20.000]  原文的字根和懼怕這個字一樣
