
[00:00:00.000 --> 00:00:07.000]  主耶穌,多謝祢賜效華語。
[00:00:07.000 --> 00:00:10.000]  是呀,祢是我們的主,
[00:00:10.000 --> 00:00:13.000]  祢是我們生命裏面最重要的,
[00:00:13.000 --> 00:00:16.000]  所以求祢此刻打開我們的心,
[00:00:16.000 --> 00:00:19.000]  引導我們進入祢真理,
[00:00:19.000 --> 00:00:22.000]  讓我們願意聽從,
[00:00:22.000 --> 00:00:27.000]  而且在生活裏面行出祢的道理去回應祢,
[00:00:27.000 --> 00:00:29.000]  帶領以下的時間,
[00:00:29.000 --> 00:00:30.000]  祈禱加託仰望,
[00:00:30.000 --> 00:00:33.000]  是奉靠主耶穌基督得性命自祈求。
[00:00:33.000 --> 00:00:35.000]  阿們。
[00:00:35.000 --> 00:00:44.000]  請姐妹早晨,
[00:00:44.000 --> 00:00:48.000]  很想介紹一下我自己,
[00:00:48.000 --> 00:00:50.000]  我中文名叫鍾曼瑩,
[00:00:50.000 --> 00:00:52.000]  英文名叫Fiona,
[00:00:52.000 --> 00:00:55.000]  我是今年一月的時候入職恩福,
[00:00:55.000 --> 00:00:58.000]  來做傳道同工的,
[00:00:58.000 --> 00:01:03.000]  我現在在果園團契和差全部服侍中,
[00:01:03.000 --> 00:01:10.000]  我想和你們分享一個我小時候的愚蠢事情,
[00:01:10.000 --> 00:01:16.000]  我小時候一家住在沙田的屋邨裏面,
[00:01:16.000 --> 00:01:20.000]  我父母是做運輸工作的,
[00:01:20.000 --> 00:01:26.000]  他們每天都要開著大貨車早出晚歸工作,
[00:01:26.000 --> 00:01:30.000]  我家裏的客廳和睡房的窗口,
[00:01:30.000 --> 00:01:34.000]  是可以看到樓下發生什麼事的,
[00:01:34.000 --> 00:01:36.000]  有什麼車出入,
[00:01:36.000 --> 00:01:38.000]  我們是一目了然的,
[00:01:38.000 --> 00:01:40.000]  就是這樣,
[00:01:40.000 --> 00:01:43.000]  我父母幾點回來,
[00:01:43.000 --> 00:01:47.000]  我和我哥哥是很清楚的,
[00:01:47.000 --> 00:01:49.000]  有什麼車出入,
[00:01:49.000 --> 00:01:51.000]  我們都看到的,
[00:01:51.000 --> 00:01:58.000]  所以每一次我和我哥哥在家的時候,
[00:01:58.000 --> 00:02:01.000]  我們都會玩,
[00:02:01.000 --> 00:02:03.000]  看電視,
[00:02:03.000 --> 00:02:05.000]  因為父母不在家,
[00:02:05.000 --> 00:02:08.000]  等到車一回到大門口,
[00:02:08.000 --> 00:02:11.000]  我們就知道要收拾東西,
[00:02:11.000 --> 00:02:12.000]  要收拾房子,
[00:02:12.000 --> 00:02:14.000]  等到他們回來的時候,
[00:02:14.000 --> 00:02:18.000]  看到我們很乖的在做功課,
