
[00:00:00.000 --> 00:00:05.000]  大家看到了,今天的講題是老闆與阿四
[00:00:05.000 --> 00:00:10.000]  首先講明,老闆只是一個比喻
[00:00:10.000 --> 00:00:15.000]  因為我曾經試過在某些地方用這個詞
[00:00:15.000 --> 00:00:19.000]  老闆來形容耶穌,不是恩福
[00:00:19.000 --> 00:00:25.000]  被人罵我,說耶穌不是給錢他花的老闆
[00:00:25.000 --> 00:00:28.000]  他是來侍奉,不是來打工
[00:00:28.000 --> 00:00:33.000]  我沒有這個意思,先聲明,大家不要誤會
[00:00:33.000 --> 00:00:38.000]  這只是一個比喻,讓大家容易明白
[00:00:38.000 --> 00:00:41.000]  我們開始今天的訊息
[00:00:41.000 --> 00:00:47.000]  不知道大家有多少人在座曾經上過三福
[00:00:47.000 --> 00:00:52.000]  也不少,我也上過三福
[00:00:52.000 --> 00:00:54.000]  第一次上三福是很多年前
[00:00:54.000 --> 00:01:00.000]  我在美國曾經參加過一次三福出隊
[00:01:00.000 --> 00:01:02.000]  在當地教會
[00:01:02.000 --> 00:01:08.000]  有一晚,我和兩個組員去到目標人物家門拍門
[00:01:08.000 --> 00:01:13.000]  有一位年輕女士打開半邊門
[00:01:13.000 --> 00:01:17.000]  用身體擋住,不讓我們進去
[00:01:17.000 --> 00:01:23.000]  我們在門口和她用三福那條
[00:01:23.000 --> 00:01:29.000]  不太適合華人文化的泥牌問題問她
[00:01:29.000 --> 00:01:33.000]  假如你今天不幸死了
[00:01:33.000 --> 00:01:38.000]  去到天堂門口守住門口的那位耶和華神問你
[00:01:38.000 --> 00:01:42.000]  為什麼我要讓你進入我的天堂
[00:01:42.000 --> 00:01:47.000]  也挺妙的,就像我們站在門口被人擋住
[00:01:47.000 --> 00:01:52.000]  當時那位女士怎麼回答呢
[00:01:52.000 --> 00:01:55.000]  我不知道你會怎麼回答,別人問你問題的時候
[00:01:55.000 --> 00:01:59.000]  通常人們都說我生前做了很多好事
[00:01:59.000 --> 00:02:04.000]  我是一個好人,我沒有殺人放火,沒有謀財害命
[00:02:04.000 --> 00:02:07.000]  總之一句我是好人
[00:02:07.000 --> 00:02:10.000]  但那位女士怎麼回答呢
[00:02:10.000 --> 00:02:14.000]  到今時今日我還記得清清楚楚
[00:02:14.000 --> 00:02:24.000]  她說,Because I want to be there
[00:02:24.000 --> 00:02:28.000]  因為我想進去
[00:02:28.000 --> 00:02:33.000]  加上香港人特有的特詞,Law 詞
[00:02:33.000 --> 00:02:38.000]  真的很傳神,就是因為我想進入天堂
[00:02:38.000 --> 00:02:43.000]  當時我聽到真的,我呆了
[00:02:43.000 --> 00:02:47.000]  這個很典型的美國人個人主義
[00:02:47.000 --> 00:02:50.000]  就是因為我想要,所以神要給我
[00:02:50.000 --> 00:02:54.000]  完全不需要問,為什麼神要給我
[00:02:54.000 --> 00:03:00.000]  主權在哪裡,非常自我中心
[00:03:00.000 --> 00:03:04.000]  這位女士明顯是自我到離譜
[00:03:04.000 --> 00:03:09.000]  但其實有時會不會反映出我們
[00:03:09.000 --> 00:03:15.000]  我們這班信主的人也會犯一個同樣的錯誤呢
[00:03:15.000 --> 00:03:18.000]  我們口中就說主啊主啊
[00:03:18.000 --> 00:03:24.000]  但是有沒有將生命主權完全交給他呢
[00:03:24.000 --> 00:03:27.000]  今日的故事主角就是約拿
[00:03:27.000 --> 00:03:30.000]  約拿是一個充滿自我的人
[00:03:30.000 --> 00:03:34.000]  約拿給我的感覺就是他才是老闆
[00:03:34.000 --> 00:03:39.000]  神只是幫他完成他心願的阿四
[00:03:39.000 --> 00:03:43.000]  其實這個世界充滿了搞不清楚
[00:03:43.000 --> 00:03:46.000]  誰是老闆,誰是打工的人
[00:03:46.000 --> 00:03:49.000]  尤其是這個後現代的社會
[00:03:49.000 --> 00:03:52.000]  個個都說Field的年代
[00:03:52.000 --> 00:03:55.000]  人人都喜歡自己做老闆
[00:03:55.000 --> 00:04:00.000]  我真的聽不少老闆這樣向我投訴
[00:04:00.000 --> 00:04:03.000]  反映他們的員工是怎樣的
[00:04:03.000 --> 00:04:07.000]  遲到早退,很平常
[00:04:07.000 --> 00:04:12.000]  隨時裸辭就不會通知
[00:04:12.000 --> 00:04:15.000]  這樣都可以,有什麼不可以
[00:04:15.000 --> 00:04:17.000]  我喜歡就行了
[00:04:17.000 --> 00:04:23.000]  說回約拿書,約拿是以色列國的先知
[00:04:23.000 --> 00:04:27.000]  約拿書整本書主要是說約拿來來回回
[00:04:27.000 --> 00:04:31.000]  傳講神的警告和審判的故事
[00:04:31.000 --> 00:04:36.000]  從他的遭遇中帶出一些很重要的神學議題
[00:04:36.000 --> 00:04:41.000]  今日的經文我主要是說約拿書的第四章
[00:04:41.000 --> 00:04:47.000]  第四章被形容為整本約拿書最高潮的地方
[00:04:47.000 --> 00:04:50.000]  第四章一開始是說什麼呢
[00:04:50.000 --> 00:04:53.000]  一開始第一句就是
[00:04:53.000 --> 00:04:57.000]  這是令約拿大大不悅
[00:04:57.000 --> 00:05:01.000]  這句直譯是
[00:05:01.000 --> 00:05:04.000]  這約拿認為是惡的
[00:05:04.000 --> 00:05:07.000]  而且是大惡
[00:05:07.000 --> 00:05:10.000]  他就發起生氣
[00:05:10.000 --> 00:05:12.000]  這件約拿認為不單是惡
[00:05:12.000 --> 00:05:16.000]  更加是大惡的事是什麼呢
[00:05:16.000 --> 00:05:20.000]  先說回前面
[00:05:20.000 --> 00:05:22.000]  細說從頭
[00:05:22.000 --> 00:05:26.000]  我們就從約拿書第一章去看看
[00:05:26.000 --> 00:05:28.000]  約拿書第一章一開始就說
[00:05:28.000 --> 00:05:32.000]  耶和華的華臨到阿米太的兒子約拿說
[00:05:32.000 --> 00:05:36.000]  起來去利利尼大城
[00:05:36.000 --> 00:05:40.000]  向其中的居民宣告
[00:05:40.000 --> 00:05:42.000]  因為他們的惡已經到我面前了
[00:05:42.000 --> 00:05:46.000]  約拿卻起身逃往他師去
[00:05:46.000 --> 00:05:50.000]  躲避耶和華
[00:05:50.000 --> 00:05:55.000]  約拿書一開始就是一個逃跑的故事
[00:05:55.000 --> 00:06:01.000]  神叫約拿起來去利利尼大城宣講信息
[00:06:01.000 --> 00:06:06.000]  但是約拿就起身走向相反的方向
[00:06:06.000 --> 00:06:07.000]  去他師
[00:06:07.000 --> 00:06:09.000]  打個比喻就是
[00:06:09.000 --> 00:06:12.000]  老闆叫你去屯門
[00:06:12.000 --> 00:06:16.000]  你不去就去了長洲
[00:06:16.000 --> 00:06:19.000]  當然長洲風景比屯門美麗
[00:06:19.000 --> 00:06:21.000]  玩也比屯門好玩
[00:06:21.000 --> 00:06:25.000]  他師又如何呢
