
[00:00:00.000 --> 00:00:05.240]  敬拜隊帶領我們敬拜,是一個很好的提醒
[00:00:05.240 --> 00:00:10.120]  我們在生命裏面,很多時候去學習去服侍
[00:00:10.120 --> 00:00:16.280]  去跟隨上帝,但很多時候都會有很多事令我們覺得卻步
[00:00:16.280 --> 00:00:22.120]  或者覺得佛力,我們需要提醒自己為什麼我們會服侍
[00:00:22.120 --> 00:00:25.160]  其實完全都是因為上帝愛去吸引我們
[00:00:25.160 --> 00:00:30.720]  所以很盼望大家不要看教會是一個為做而做
[00:00:30.720 --> 00:00:33.600]  要很辛苦的事,其實是一件很值得的事
[00:00:33.600 --> 00:00:38.160]  也是因為我們經歷上帝愛是很重要的
[00:00:38.160 --> 00:00:44.960]  好,我們不如開始有個祈禱,我們一起祈禱
[00:00:44.960 --> 00:00:49.480]  真愛天父感謝你帶領我們回到來聆聽你的話語
[00:00:49.480 --> 00:00:55.400]  祈求你的話語在我們生命裏面紮根幫助我們,可以跟隨更多
[00:00:55.400 --> 00:00:57.840]  並且可以活出一個不一樣的生命
[00:00:57.840 --> 00:01:01.920]  我們感謝你,祈禱交托,奉主耶穌基督的名義祈求,阿們
[00:01:01.920 --> 00:01:05.400]  好,接下來我預告一下給大家知道
[00:01:05.400 --> 00:01:08.880]  接下來我們會有一個日子叫做青少主日
[00:01:08.880 --> 00:01:15.160]  青少主日就是我們一班青少會去二樓幫忙,去打一個崇拜
[00:01:15.160 --> 00:01:18.360]  有詩詩、AV Team、敬拜隊那些
[00:01:18.360 --> 00:01:24.080]  我們通常去到那裏都是去呈現青少部是一件怎樣的事
[00:01:24.080 --> 00:01:31.640]  一起跟成人部去敬拜,也都是做宣傳,找導師
[00:01:31.640 --> 00:01:35.080]  所以都是一個很開心,大家可以去期待的日子
[00:01:35.080 --> 00:01:40.160]  到時的場景都是很虛幻、很開心、很多雀躍
[00:01:40.160 --> 00:01:41.560]  大家一起去期待
[00:01:41.560 --> 00:01:49.560]  不過我收到一個資訊,我要幫忙去找一些關於以前青少部舊有的資料
[00:01:49.560 --> 00:01:53.680]  我就一直在看,一直在看,很多回憶
[00:01:53.680 --> 00:01:58.840]  很多以前小組的人名,我記得這個這個
[00:01:58.840 --> 00:02:02.360]  一直在看的時候,突然間有一下有點唏噓
[00:02:02.360 --> 00:02:07.200]  我看到就說,這個小組好像沒有什麼人回來了,沒有人
[00:02:07.200 --> 00:02:11.560]  這個小組好像只剩下幾個
[00:02:11.560 --> 00:02:15.880]  然後我想起我自己的小組,以前在青少部的小組
[00:02:15.880 --> 00:02:19.480]  我是青少的時候,很久以前
[00:02:19.480 --> 00:02:24.200]  但我記得那時候曾經有一句跟組員都有說過
[00:02:24.200 --> 00:02:26.280]  如果這樣一直大下去就好了
[00:02:26.280 --> 00:02:29.600]  一直大到長青團契我們還是這個小組
[00:02:29.600 --> 00:02:33.120]  其實是很有那種幸福的感覺
[00:02:33.120 --> 00:02:38.240]  但到現在我的小組其實都不是剩下很多人
[00:02:38.240 --> 00:02:41.840]  不知道大兄姐妹你們的小組現在是怎樣的呢?
[00:02:41.840 --> 00:02:45.560]  有沒有一些很好的朋友,其實你都很想跟他建立關係
[00:02:45.560 --> 00:02:48.880]  建立到長青你都繼續做朋友的呢?
[00:02:48.880 --> 00:02:54.680]  還是你會不會說,其實我的小組到現在都還沒有全部朋友
[00:02:54.680 --> 00:03:00.520]  所以很想讓小組可以結連得好一點
[00:03:00.520 --> 00:03:05.000]  其實我們都很想的,回到教會不是好像只為了回而回
[00:03:05.000 --> 00:03:10.440]  而是這是一個群體,大家都可以去很開心很享受這個小組
[00:03:10.440 --> 00:03:12.640]  怎樣可以在裡面建立關係呢?
[00:03:12.640 --> 00:03:16.400]  今天我們的經文就會告訴我們這件事
[00:03:16.400 --> 00:03:22.680]  我們會看哥林多前書十三章裡面說到愛是什麼什麼
[00:03:22.680 --> 00:03:26.800]  但其實這篇經文主要是寫給一個教會的
[00:03:26.800 --> 00:03:32.240]  那時候保羅在一個地方叫哥林多開了一個教會
[00:03:32.240 --> 00:03:35.440]  開了一年半之後交代了就走了
[00:03:35.440 --> 00:03:38.280]  但是那個教會就有很多混亂的事情發生
[00:03:38.280 --> 00:03:41.560]  很多吵架,又不喜歡你又不喜歡我
[00:03:41.560 --> 00:03:47.280]  所以保羅就寫了一篇書信去提醒他們鼓勵他們
[00:03:47.280 --> 00:03:50.200]  盼望這篇經文都可以去提醒我們
[00:03:50.200 --> 00:03:53.840]  會不會在我們關係裡面可能有些張力
[00:03:53.840 --> 00:03:58.680]  或者你很想你的小組可以變得更加結連更友好的
[00:03:58.680 --> 00:04:01.840]  這篇其實在當中就會告訴我們
[00:04:01.840 --> 00:04:05.840]  會告訴我們其實就是說到
