
[00:00:00.000 --> 00:00:02.000]  好,「謝謝敬拜隊」
[00:00:02.000 --> 00:00:04.760]  是一個很感動的敬拜
[00:00:04.760 --> 00:00:06.760]  當中其實也知道
[00:00:06.760 --> 00:00:07.760]  因為很多青少
[00:00:07.760 --> 00:00:09.760]  大家是不是也在考試
[00:00:09.760 --> 00:00:11.760]  很多很忙的時間
[00:00:11.760 --> 00:00:13.760]  我覺得這個敬拜的流程
[00:00:13.760 --> 00:00:16.760]  其實帶進去也有很多觸動
[00:00:16.760 --> 00:00:18.760]  神母就這樣扔下你
[00:00:18.760 --> 00:00:20.760]  神去那洪水泛濫的時間
[00:00:20.760 --> 00:00:22.760]  祂是坐著為王的
[00:00:22.760 --> 00:00:24.760]  在你走過死人丘谷的時間
[00:00:24.760 --> 00:00:25.760]  祂會陪伴著你
[00:00:25.760 --> 00:00:26.760]  那「盼望」吧
[00:00:26.760 --> 00:00:27.760]  就是大興子母
[00:00:27.760 --> 00:00:30.760]  因為生命,讀書、功課
[00:00:30.760 --> 00:00:31.760]  那些艱難的時期
[00:00:31.760 --> 00:00:33.760]  你體會到主要是跟你同在
[00:00:33.760 --> 00:00:34.760]  跟你一起去考試
[00:00:34.760 --> 00:00:36.760]  跟你一起去做功課的主和
[00:00:36.760 --> 00:00:37.760]  好嗎
[00:00:37.760 --> 00:00:39.760]  也希望我們心裡面
[00:00:39.760 --> 00:00:40.760]  因著這件事
[00:00:40.760 --> 00:00:42.760]  我們可以有信心的
[00:00:42.760 --> 00:00:43.760]  可以有看著喜樂
[00:00:43.760 --> 00:00:45.760]  可以去面對我們的困難
[00:00:45.760 --> 00:00:47.760]  開始我們講道之前
[00:00:47.760 --> 00:00:49.760]  我們一起去討論,好嗎
[00:00:49.760 --> 00:00:52.760]  上天天父,我們求你
[00:00:52.760 --> 00:00:53.760]  去帶領我們
[00:00:53.760 --> 00:00:54.760]  讓我們
[00:00:54.760 --> 00:00:55.760]  因著你的話語
[00:00:55.760 --> 00:00:57.760]  我們的生命可以去更新改變
[00:00:57.760 --> 00:00:59.760]  我們都不可以依靠自己什麼
[00:00:59.760 --> 00:01:01.760]  唯有你的話語在我們生命裡面
[00:01:01.760 --> 00:01:03.760]  就像導航燈一樣
[00:01:03.760 --> 00:01:04.760]  去帶領我們
[00:01:04.760 --> 00:01:06.760]  去走一條正的路
[00:01:06.760 --> 00:01:07.760]  那條正的路
