
[00:00:00.000 --> 00:00:04.600]  有個新聞,不知道大家有沒有看過
[00:00:04.600 --> 00:00:10.200]  2018年的時候有一班探險隊
[00:00:10.200 --> 00:00:15.120]  他們去觀察企鵝
[00:00:15.120 --> 00:00:17.600]  有沒有人看過?
[00:00:17.600 --> 00:00:24.280]  他們有個規定,是不可以去干預他們的
[00:00:24.280 --> 00:00:30.840]  但這班隊員有兩天時間去看
[00:00:30.840 --> 00:00:36.400]  看到這班企鵝跌在一個窩裡
[00:00:36.400 --> 00:00:38.400]  走來走去都走不上來
[00:00:38.400 --> 00:00:40.200]  觀察了兩天之後
[00:00:40.200 --> 00:00:44.360]  就出手幫他們在斜路上挖坑
[00:00:44.360 --> 00:00:46.360]  讓他們可以上去
[00:00:46.360 --> 00:00:48.360]  沒有直接救他們
[00:00:48.360 --> 00:00:55.920]  沒有違背不干預或親自接觸拯救的守則
[00:00:55.920 --> 00:00:57.920]  間接地讓他們上來
[00:00:57.920 --> 00:01:00.920]  當然大部分人都贊同這個做法
[00:01:00.920 --> 00:01:04.320]  一小部分人就覺得不應該這樣做
[00:01:04.320 --> 00:01:09.760]  我自己看來都是一個挽回
[00:01:09.760 --> 00:01:13.760]  小小地挽回這班企鵝仔的生命
[00:01:13.760 --> 00:01:17.760]  當然有些都凍死了
[00:01:17.760 --> 00:01:21.480]  今晚的講題
[00:01:21.480 --> 00:01:26.040]  來到亞國書的講道系列最後一講
[00:01:26.040 --> 00:01:30.520]  我給的講題就是挽回
[00:01:30.520 --> 00:01:32.920]  有時候可以很快
[00:01:32.920 --> 00:01:36.040]  好像剛才那個企鵝兩天都算沒事
[00:01:36.040 --> 00:01:40.040]  有時候要更多時間更多耐性更多智慧
[00:01:40.040 --> 00:01:42.640]  也是我們人生一大主題
[00:01:42.640 --> 00:01:44.160]  也是一個使命主題
[00:01:44.160 --> 00:01:46.160]  說的好像很容易
[00:01:46.160 --> 00:01:49.600]  有很多的力量
[00:01:49.600 --> 00:01:51.600]  愛心智慧在當中
[00:01:51.600 --> 00:01:55.600]  我們透過亞國書去看一看
[00:01:55.600 --> 00:01:58.600]  今晚我會分成三個點
[00:01:58.600 --> 00:02:01.600]  一齊去思想反思
[00:02:01.600 --> 00:02:04.120]  第一個點是和神有關的
[00:02:04.120 --> 00:02:07.120]  因此分題就是挽回
[00:02:07.120 --> 00:02:11.120]  你在神面前的明星
[00:02:11.120 --> 00:02:14.120]  第二是和我們信徒群體有關
[00:02:14.120 --> 00:02:17.120]  挽回你在群體中的明星
[00:02:17.120 --> 00:02:20.120]  第三是和迷失者有關
[00:02:20.120 --> 00:02:23.120]  這是挑戰我們對迷失者
[00:02:23.120 --> 00:02:25.120]  有沒有去挽回他們呢?
[00:02:25.120 --> 00:02:28.120]  第一點我們一起讀經文
[00:02:28.120 --> 00:02:31.120]  經文是十二節
[00:02:31.120 --> 00:02:34.120]  一起讀吧
[00:02:34.120 --> 00:02:36.120]  我的弟兄們
[00:02:36.120 --> 00:02:39.120]  最要緊的是不可起誓
[00:02:39.120 --> 00:02:41.120]  不可指著天起誓
[00:02:41.120 --> 00:02:43.120]  也不可指著地起誓
[00:02:43.120 --> 00:02:45.120]  任何誓都不可起
