
[00:00:00.000 --> 00:00:03.080]  其實我來到恩福堂,恩福神學院教書
[00:00:03.080 --> 00:00:04.920]  我發現今天是踏進第十一年
[00:00:04.920 --> 00:00:07.120]  剛剛跟史牧師去談的時候
[00:00:07.120 --> 00:00:09.680]  第十一年,有沒有聽過我講道啊?
[00:00:09.680 --> 00:00:12.120]  有啊,我想我給兩個字外介紹
[00:00:12.120 --> 00:00:15.440]  第一個就是我語速比正常人快1.25倍
[00:00:15.440 --> 00:00:17.920]  所以大家就要戴安全帶
[00:00:17.920 --> 00:00:20.520]  第二個就是我很不喜歡用powerpoint
[00:00:20.520 --> 00:00:21.840]  如果大家跟別人聊天
[00:00:21.840 --> 00:00:25.680]  你想不想別人看著你的眼睛去聊天?
[00:00:25.680 --> 00:00:26.800]  是不是想的?
[00:00:26.800 --> 00:00:30.160]  所以我講道我喜歡別人看著我的眼睛去聽話
[00:00:30.160 --> 00:00:31.920]  因為一個在左邊,一個在右邊
[00:00:31.920 --> 00:00:33.920]  那你的眼睛看哪邊比較好?
[00:00:33.920 --> 00:00:35.400]  那你就看左邊,看右邊
[00:00:35.400 --> 00:00:36.440]  沒有人看我的了
[00:00:36.440 --> 00:00:40.520]  所以我講道我專門不用powerpoint的
[00:00:40.520 --> 00:00:42.880]  今天揀選了一個講題
[00:00:42.880 --> 00:00:45.120]  是「以利沙事件保之多」
[00:00:45.120 --> 00:00:47.520]  但其實是一個很簡單的故事
[00:00:47.520 --> 00:00:49.800]  是耳熟能詳的故事
[00:00:49.800 --> 00:00:52.680]  就講以利沙
[00:00:52.680 --> 00:00:55.920]  阿蘭王的軍兵圍困以利沙
[00:00:55.920 --> 00:00:58.720]  然後以利沙就去禱告求神
[00:00:58.720 --> 00:01:00.320]  開他僕人的眼目
[00:01:00.320 --> 00:01:02.800]  然後看見耶和華的火車火馬
[00:01:02.800 --> 00:01:04.280]  是不是耳熟能詳?
[00:01:04.280 --> 00:01:05.840]  讀聖經很有趣的
[00:01:05.840 --> 00:01:09.560]  讀聖經我們很多故事都很熟悉的
[00:01:09.560 --> 00:01:11.720]  但是有一些細節
[00:01:11.720 --> 00:01:15.400]  當我們細心去觀察的時候
[00:01:15.400 --> 00:01:19.040]  整段經文好像活靈活現立體那樣
[00:01:19.040 --> 00:01:20.720]  去呈現我們的根前
[00:01:20.720 --> 00:01:22.440]  所以就要賣廣告
[00:01:22.440 --> 00:01:24.680]  所以就在神學院讀神學
[00:01:24.680 --> 00:01:27.680]  就幫助我們去看聖經更加的立體
[00:01:27.680 --> 00:01:31.080]  今天他講以利沙事件保
