
[00:00:00.000 --> 00:00:04.000]  各位兄弟姐妹,各位朋友早晨
[00:00:04.000 --> 00:00:08.000]  很感恩,詩歌最後一句跟我們說
[00:00:08.000 --> 00:00:12.000]  我們朝更美的家鄉走回去
[00:00:12.000 --> 00:00:17.000]  在今天呢,這個經文是在說
[00:00:17.000 --> 00:00:24.000]  神知你住邊,聽見的時候那麼害怕嗎?
[00:00:24.000 --> 00:00:27.000]  我首先讀一段的《創世紀》
[00:00:27.000 --> 00:00:30.000]  這個是一個千古的戰爭
[00:00:30.000 --> 00:00:32.000]  然後我們用啟認的方式
[00:00:32.000 --> 00:00:36.000]  讀出我們今天在啟示錄的第三間教會
[00:00:36.000 --> 00:00:39.000]  其實我自己很開心能夠和大家分享啟示錄
[00:00:39.000 --> 00:00:42.000]  因為啟示錄裡面有很多上帝的啟示
[00:00:42.000 --> 00:00:44.000]  裡面的因典
[00:00:44.000 --> 00:00:46.000]  我首先讀出《創世紀》
[00:00:46.000 --> 00:00:48.000]  這一段大家都很熟悉的經文
[00:00:48.000 --> 00:00:51.000]  他說:耶和華神所做的
[00:00:51.000 --> 00:00:55.000]  唯有蛇比田野一切的走獸更狡猾
[00:00:55.000 --> 00:00:58.000]  蛇對女人說:神喜是真說
[00:00:58.000 --> 00:01:03.000]  你們不可吃圓中任何樹上所出的嗎?
[00:01:03.000 --> 00:01:07.000]  接著我會讀啟示錄三章十二到十七節
[00:01:07.000 --> 00:01:09.000]  我會讀雙數節
[00:01:09.000 --> 00:01:11.000]  我請弟兄姐妹讀單數節
[00:01:11.000 --> 00:01:13.000]  我們用啟認的方式
[00:01:13.000 --> 00:01:15.000]  將上帝寶貴的話讀出來
[00:01:15.000 --> 00:01:19.000]  首先我讀雙數節的十二節
[00:01:19.000 --> 00:01:22.000]  你要寫信給別家魔教會的使者說
[00:01:22.000 --> 00:01:25.000]  那有兩人利劍的這樣說
[00:01:25.000 --> 00:01:27.000]  我知道你的居所
[00:01:27.000 --> 00:01:30.000]  就是有撒旦座位之處
[00:01:30.000 --> 00:01:35.000]  當我忠心的見證人安提珀在你們中間
[00:01:35.000 --> 00:01:39.000]  在撒旦所住的地方被殺之時
[00:01:39.000 --> 00:01:41.000]  你還堅守我的命
[00:01:41.000 --> 00:01:44.000]  沒有對我的信任
[00:01:44.000 --> 00:01:45.000]  十四節
[00:01:45.000 --> 00:01:47.000]  然而有幾件事我要責備你
[00:01:47.000 --> 00:01:51.000]  就是在你那裡有人服從了巴蘭的教訓
[00:01:51.000 --> 00:01:57.000]  這巴蘭曾教唆巴勒將半腳石放在以色列人面前
[00:01:57.000 --> 00:02:01.000]  使他們吃製過偶像之物並且犯奸淫
[00:02:01.000 --> 00:02:07.000]  同樣你那裡也有人服從了尼哥拉派的教訓
[00:02:07.000 --> 00:02:09.000]  所以你當悔改
[00:02:09.000 --> 00:02:10.000]  若不悔改
[00:02:10.000 --> 00:02:13.000]  我很快就到你那裡去
[00:02:13.000 --> 00:02:15.000]  用我口中的劍攻擊他們
[00:02:15.000 --> 00:02:21.000]  凡有耳朵的都應當聽聖靈向宗教會所說的話
[00:02:21.000 --> 00:02:22.000]  得成的
[00:02:22.000 --> 00:02:26.000]  我必將那隱藏的馬拿賜給他
[00:02:26.000 --> 00:02:28.000]  並賜他一塊白石
[00:02:28.000 --> 00:02:31.000]  石像寫著新的名字
[00:02:31.000 --> 00:02:33.000]  除了那領受的意外
[00:02:33.000 --> 00:02:35.000]  沒有人認識
[00:02:35.000 --> 00:02:37.000]  我們一起禱告
[00:02:37.000 --> 00:02:42.000]  周主我們再一次求祢的靈臨到我們當中
[00:02:42.000 --> 00:02:45.000]  求祢自己充滿這個會場
[00:02:45.000 --> 00:02:48.000]  向我們每一個人的內心去說話
[00:02:48.000 --> 00:02:50.000]  以致我們打開我們的內心
[00:02:50.000 --> 00:02:53.000]  再一次不單朝更尾的家鄉走過去
[00:02:53.000 --> 00:02:56.000]  我們都更新改變我們住的這個家鄉
