
[00:00:00.000 --> 00:00:02.720]  大家好,我是Claire
[00:00:02.720 --> 00:00:05.720]  我是恩福神學院的實習神學生
[00:00:05.720 --> 00:00:10.320]  很高興今天跟大家有機會分享上帝的話
[00:00:10.320 --> 00:00:13.120]  今天想跟大家分享的主題是
[00:00:13.120 --> 00:00:15.520]  「成為見證上帝的生命」
[00:00:15.520 --> 00:00:21.560]  不知道大家最近或早前在殘奧
[00:00:21.560 --> 00:00:24.000]  不知道你們有沒有看過殘奧的比賽
[00:00:24.000 --> 00:00:25.600]  或相關的新聞
[00:00:25.600 --> 00:00:29.360]  當我看到這班殘奧的運動員
[00:00:29.360 --> 00:00:31.440]  我心裡其實是很佩服他們的
[00:00:31.440 --> 00:00:35.360]  因為我看到他們過往因著意外或疾病
[00:00:35.360 --> 00:00:40.880]  他們竟然是因為這個緣故而身體有缺陷
[00:00:40.880 --> 00:00:43.160]  但他們沒有因為這樣而灰心
[00:00:43.160 --> 00:00:47.120]  他們願意用積極的態度繼續活他的人生
[00:00:47.120 --> 00:00:49.600]  甚至成為一個職業運動員
[00:00:49.600 --> 00:00:53.600]  代替香港,代表香港要出戰世界大賽
[00:00:53.600 --> 00:00:56.000]  但同時當我們回想社會
[00:00:56.000 --> 00:01:00.560]  也有其他人會用另一種消極的方式
[00:01:00.560 --> 00:01:03.000]  去面對生命中的難關
[00:01:03.000 --> 00:01:06.160]  可能有些人會以逃避的心態
[00:01:06.160 --> 00:01:09.000]  可能會躲在家中不外出
[00:01:09.000 --> 00:01:12.840]  因為很不想看到別人對他們的眼光
[00:01:12.840 --> 00:01:17.360]  同時也有些人會用沉溺的嗜好
[00:01:17.360 --> 00:01:21.040]  可能是瘀酒、賭博或網絡世界
[00:01:21.040 --> 00:01:23.200]  很想忘記他們過往
[00:01:23.200 --> 00:01:26.280]  無論身體或心靈上的痛楚
[00:01:26.280 --> 00:01:30.200]  不知道我們今天在座的這麼多人
[00:01:30.200 --> 00:01:32.560]  我們這群相信神的群體
[00:01:32.560 --> 00:01:35.320]  我們在面對生命難關的時候
[00:01:35.320 --> 00:01:37.280]  我們的神、我們的信仰
[00:01:37.280 --> 00:01:41.440]  是如何幫助我們去跨過這些難處
[00:01:41.440 --> 00:01:43.800]  今年《青少報》的年題是
[00:01:43.800 --> 00:01:47.120]  展現上帝國度,贏得同代人
[00:01:47.120 --> 00:01:49.480]  今個月是10月,10月第一個星期
[00:01:49.480 --> 00:01:51.280]  也是新的一個月題
[00:01:51.280 --> 00:01:54.800]  是講到全方音的心智和熱誠
[00:01:54.800 --> 00:01:56.080]  你可能會問
[00:01:56.080 --> 00:02:00.240]  全方音的心智和面對生命難關
[00:02:00.240 --> 00:02:01.880]  有什麼關係?
[00:02:01.880 --> 00:02:04.240]  對我來說其實是很有關係的
[00:02:04.240 --> 00:02:07.280]  我過往在2018至2019年
[00:02:07.280 --> 00:02:08.720]  就用了一年的時間
[00:02:08.720 --> 00:02:10.880]  去做一個信奉伊斯蘭遺
[00:02:10.880 --> 00:02:14.160]  主要宗教的地方去作全方音的工作
[00:02:14.160 --> 00:02:16.440]  你會問為什麼我會有這個決定
[00:02:16.440 --> 00:02:17.880]  或者這個選擇
[00:02:17.880 --> 00:02:20.560]  用一年的時間去作全方音的工作
[00:02:20.560 --> 00:02:24.000]  其實原因是很簡單
