
[00:00:00.000 --> 00:00:06.000]  Hello,謝謝敬拜隊帶我們來敬拜,可否給敬拜隊一點掌聲
[00:00:06.000 --> 00:00:12.000]  給AV、天龍、詩詩一點掌聲,因為我覺得恢復實體崇拜之後
[00:00:12.000 --> 00:00:18.000]  我猜他們都是很盡心去為我們服侍,為我們擺相
[00:00:18.000 --> 00:00:23.000]  我剛才在敬拜的時候,突然浮起了一個圖片
[00:00:23.000 --> 00:00:27.000]  我不知道你們在裡面體會了什麼
[00:00:27.000 --> 00:00:34.000]  我體會到剛才的敬拜好像在幫我充電
[00:00:34.000 --> 00:00:39.000]  那個情況我想像到的圖片是什麼呢
[00:00:39.000 --> 00:00:43.000]  大家都知道最近Apple出了新iPhone
[00:00:43.000 --> 00:00:47.000]  之後它有一個很重要的發明
[00:00:47.000 --> 00:00:50.000]  它有一個叫做MagSafe的東西
[00:00:50.000 --> 00:00:54.000]  它有一個圓圈可以無線充電
[00:00:54.000 --> 00:00:58.000]  現在的電話可以插進去,就像磁石一樣
[00:00:58.000 --> 00:01:00.000]  放著就可以充電
[00:01:00.000 --> 00:01:05.000]  那種感覺就像回到敬拜就像放著上帝一樣
[00:01:05.000 --> 00:01:07.000]  由上帝那裡去支取力量
[00:01:07.000 --> 00:01:10.000]  我不知道你們敬拜有什麼體會
[00:01:10.000 --> 00:01:14.000]  每個星期回來敬拜可以成為我們的習慣
[00:01:14.000 --> 00:01:20.000]  但同樣也可以成為我們每一次去經歷上帝的歷程
[00:01:20.000 --> 00:01:22.000]  今天我會分享訊息
[00:01:22.000 --> 00:01:25.000]  我想了一個題目
[00:01:25.000 --> 00:01:27.000]  一會兒就講解一下題目的意思
[00:01:27.000 --> 00:01:34.000]  不知道大家有沒有記得上個星期阿熹說了什麼
[00:01:34.000 --> 00:01:37.000]  上個星期是敬拜的第四講
[00:01:37.000 --> 00:01:42.000]  阿熹說了一個題目叫做指聖下儀式感的敬拜
[00:01:42.000 --> 00:01:44.000]  他說了一樣很重要的東西
[00:01:44.000 --> 00:01:46.000]  就是羅式遵從
[00:01:46.000 --> 00:01:48.000]  他說對於神的命令
[00:01:48.000 --> 00:01:51.000]  人很容易絕大部分都會聽從
[00:01:51.000 --> 00:01:54.000]  但有少部分可以不聽
[00:01:54.000 --> 00:01:56.000]  做到大朗根上帝
[00:01:56.000 --> 00:01:58.000]  細節自己定
[00:01:58.000 --> 00:02:05.000]  他最後說原來我們敬拜的核心是要Let God be God
[00:02:05.000 --> 00:02:09.000]  今天很想接著上次阿熹分享的東西
[00:02:09.000 --> 00:02:11.000]  帶大家去進行一樣東西
[00:02:11.000 --> 00:02:14.000]  當我們進入不同的場景的時候
[00:02:14.000 --> 00:02:19.000]  我們經常都會記得要帶著Let God be God的心態
[00:02:19.000 --> 00:02:25.000]  但當我們經歷星期一、二、三、四、五
[00:02:25.000 --> 00:02:28.000]  我們生活中發生很多的事
[00:02:28.000 --> 00:02:30.000]  帶給我們很多的衝擊
[00:02:30.000 --> 00:02:32.000]  星期六回來教會
[00:02:32.000 --> 00:02:34.000]  我們去敬拜
[00:02:34.000 --> 00:02:36.000]  我們每個人都帶著不同的狀態
[00:02:36.000 --> 00:02:38.000]  所以很多時候我們唱歌的時候
[00:02:38.000 --> 00:02:40.000]  譬如剛才Angela帶我們的思想
[00:02:40.000 --> 00:02:42.000]  我們生命中有什麼不安
[00:02:42.000 --> 00:02:44.000]  有什麼憂慮要放下
[00:02:44.000 --> 00:02:46.000]  要將焦點放在上帝
[00:02:46.000 --> 00:02:48.000]  可能我們每個人都會做的
[00:02:48.000 --> 00:02:50.000]  我就問一件事
[00:02:50.000 --> 00:02:56.000]  究竟其實這個過程、這個歷程是怎樣操練回來的呢?
[00:02:56.000 --> 00:02:59.000]  我們要有什麼心態呢?
[00:02:59.000 --> 00:03:01.000]  我就會想
[00:03:01.000 --> 00:03:04.000]  這大半年我們環境有很多衝擊
[00:03:04.000 --> 00:03:06.000]  社會的氣候
[00:03:06.000 --> 00:03:08.000]  疫情又很反覆
[00:03:08.000 --> 00:03:10.000]  有些人就說
[00:03:10.000 --> 00:03:14.000]  這大半年原來是我們信仰的真空期
[00:03:14.000 --> 00:03:18.000]  我猜我們回來崇拜每個星期
[00:03:18.000 --> 00:03:23.000]  可能這大半年我們都會帶著很多很多不同的感受回來崇拜
[00:03:23.000 --> 00:03:27.000]  可能以前主席叫你想想
[00:03:27.000 --> 00:03:29.000]  生命中有什麼困難和不安的時候
[00:03:29.000 --> 00:03:32.000]  很多時候我們第一刻就會想
[00:03:32.000 --> 00:03:37.000]  通常都是考試、讀書、考試、讀書
[00:03:37.000 --> 00:03:39.000]  就將這些放下
[00:03:39.000 --> 00:03:41.000]  但是可能這大半年裡
[00:03:41.000 --> 00:03:44.000]  大家會想多了很多不同的東西
[00:03:44.000 --> 00:03:46.000]  無論生活上的東西
[00:03:46.000 --> 00:03:48.000]  心情的狀態
[00:03:48.000 --> 00:03:50.000]  生命上經歷的東西
