
[00:00:00.000 --> 00:00:02.000]  第一千姊妹早安
[00:00:02.000 --> 00:00:04.000]  大家好
[00:00:04.000 --> 00:00:07.000]  延續希伯來書系列的廣導
[00:00:07.000 --> 00:00:09.000]  今天我們要思考的經文
[00:00:09.000 --> 00:00:13.000]  記載在六章的九到二十節
[00:00:13.000 --> 00:00:15.000]  先問問大家
[00:00:15.000 --> 00:00:18.000]  現在的家庭電器
[00:00:18.000 --> 00:00:21.000]  或者雪櫃、洗衣機、抽濕機
[00:00:21.000 --> 00:00:24.000]  都會提供兩三年的保養
[00:00:24.000 --> 00:00:27.000]  又或者手機、無線的耳機
[00:00:27.000 --> 00:00:29.000]  都有一年保養
[00:00:29.000 --> 00:00:31.000]  大家會否覺得好像不夠
[00:00:31.000 --> 00:00:33.000]  都想用久一點
[00:00:33.000 --> 00:00:36.000]  你會否買產品的時候
[00:00:36.000 --> 00:00:39.000]  尤其是貴的貨品
[00:00:39.000 --> 00:00:43.000]  會否額外買保養期
[00:00:43.000 --> 00:00:46.000]  有沒有人買長一點
[00:00:46.000 --> 00:00:47.000]  都有
[00:00:47.000 --> 00:00:49.000]  都想用久一點
[00:00:49.000 --> 00:00:52.000]  為了保險一點
[00:00:52.000 --> 00:00:54.000]  我很多時候
[00:00:54.000 --> 00:00:56.000]  我的電子產品比較弱
[00:00:56.000 --> 00:00:58.000]  都很聽受貨員的意見
[00:00:58.000 --> 00:01:00.000]  他總是跟我說
[00:01:00.000 --> 00:01:03.000]  加多幾百元延長保養期
[00:01:03.000 --> 00:01:05.000]  想要多一點保障
[00:01:05.000 --> 00:01:10.000]  往往產品不妥當的時候
[00:01:10.000 --> 00:01:12.000]  通常會怎樣
[00:01:12.000 --> 00:01:15.000]  剛好過了保養期
[00:01:15.000 --> 00:01:16.000]  我還記得
[00:01:16.000 --> 00:01:19.000]  曾經買了藍牙耳機
[00:01:19.000 --> 00:01:22.000]  本身因為很輕
[00:01:22.000 --> 00:01:24.000]  又說它很好
[00:01:24.000 --> 00:01:26.000]  又說可以抗噪
[00:01:26.000 --> 00:01:28.000]  還有很多功能
