
[00:00:00.000 --> 00:00:02.680]  我對今天要和大家分享的經文
[00:00:02.680 --> 00:00:04.600]  其實一直都很忐忑
[00:00:04.600 --> 00:00:08.080]  我為了這星期要去宣講
[00:00:08.080 --> 00:00:09.360]  很緊張
[00:00:09.360 --> 00:00:10.080]  為什麼呢?
[00:00:10.080 --> 00:00:11.240]  是因為我很擔心
[00:00:11.240 --> 00:00:13.520]  不知道你們聽了之後會怎樣
[00:00:13.520 --> 00:00:15.840]  不知道你們會覺得上帝怎樣
[00:00:15.840 --> 00:00:18.000]  但是剛才在敬拜裡面
[00:00:18.000 --> 00:00:21.880]  帶我去看回其實上帝的聖潔
[00:00:21.880 --> 00:00:23.720]  我們是一個怎樣的人
[00:00:23.720 --> 00:00:26.080]  但是祂又怎樣原諒我們呢?
[00:00:26.080 --> 00:00:27.640]  我就不管了
[00:00:27.640 --> 00:00:29.160]  我就照說了
[00:00:29.440 --> 00:00:32.160]  願意上帝的聖靈在我們心裡面去動功
[00:00:32.160 --> 00:00:33.240]  我們一起禱告
[00:00:33.240 --> 00:00:37.560]  七天父確實我們是罪人
[00:00:37.560 --> 00:00:40.360]  有時候我們在聖經裡面
[00:00:40.360 --> 00:00:42.200]  看到祢一個這樣的上帝
[00:00:42.200 --> 00:00:43.720]  我們可能都會質疑
[00:00:43.720 --> 00:00:45.280]  可能都會去問
[00:00:45.280 --> 00:00:48.880]  願祢今天去軟化我們的心
[00:00:48.880 --> 00:00:51.640]  以致我們在聖經裡面看到的
[00:00:51.640 --> 00:00:53.920]  見到一個真實的祢
[00:00:53.920 --> 00:00:55.920]  見到一個真實的我們
[00:00:55.920 --> 00:00:58.520]  我們會願意去迴轉
[00:00:58.520 --> 00:01:01.880]  因為知道耶穌已經為我們去寫生
[00:01:01.880 --> 00:01:05.000]  幫助我們聽到祢的說話
[00:01:05.000 --> 00:01:07.120]  接受到祢的說話
[00:01:07.120 --> 00:01:08.280]  我們要向祂禱告
[00:01:08.280 --> 00:01:09.320]  奉主命求
[00:01:09.320 --> 00:01:10.240]  阿門
[00:01:10.240 --> 00:01:14.720]  華人就有一句話
[00:01:14.720 --> 00:01:19.920]  叫做「打在疑心,就痛在良心」
[00:01:19.920 --> 00:01:22.920]  無論社會怎樣去說
[00:01:22.920 --> 00:01:25.200]  打、看佛、虐兒
[00:01:25.200 --> 00:01:26.760]  有很多不同的討論
[00:01:27.000 --> 00:01:28.840]  不過這句話都是想帶出
[00:01:28.840 --> 00:01:31.920]  其實管教從來都不容易
[00:01:31.920 --> 00:01:34.880]  管教一定是會帶來痛的
[00:01:34.880 --> 00:01:38.080]  帶來孩子身上的痛
[00:01:38.080 --> 00:01:42.200]  帶來父母在心裡面的痛
[00:01:42.200 --> 00:01:45.120]  相信在座都有不少的父母
[00:01:45.120 --> 00:01:47.000]  曾經或者可能現在
[00:01:47.000 --> 00:01:48.720]  仍然是要去管教的
[00:01:48.720 --> 00:01:50.720]  又或者你曾經
[00:01:50.720 --> 00:01:51.920]  甚至是現在
[00:01:51.920 --> 00:01:54.520]  你都是被管教的那一位
[00:01:55.800 --> 00:01:57.520]  相信大家都同意
[00:01:57.520 --> 00:01:58.720]  希望你都會同意
[00:01:58.720 --> 00:02:01.600]  就是管教是需要的
[00:02:01.600 --> 00:02:05.720]  因為所謂養不過
[00:02:05.720 --> 00:02:07.320]  就父之過
[00:02:07.320 --> 00:02:10.200]  慈母就多敗矣
[00:02:10.200 --> 00:02:12.760]  不過問題可能就是
[00:02:12.760 --> 00:02:14.560]  究竟怎樣管教呢?
[00:02:14.560 --> 00:02:16.880]  呵住來教
[00:02:16.880 --> 00:02:21.000]  還是要是所謂的愛之深
[00:02:21.000 --> 00:02:22.560]  責之切呢?
[00:02:24.840 --> 00:02:26.760]  當年很久很久很久以前
[00:02:26.760 --> 00:02:28.680]  我就讀中一
[00:02:28.680 --> 00:02:31.120]  就要上家政堂
[00:02:31.120 --> 00:02:32.800]  當年又不知為何
[00:02:32.800 --> 00:02:34.360]  老師就很看得起我
[00:02:34.360 --> 00:02:37.920]  就叫我幫明天的烹飪堂
[00:02:37.920 --> 00:02:39.480]  買一斤豬肉
[00:02:39.480 --> 00:02:42.400]  當時我打給我媽
