
[00:00:00.000 --> 00:00:07.000]  不知道大家覺得自己對神的話語有多少認識呢?
[00:00:07.000 --> 00:00:14.000]  我們在當中所講的道理有多少理解呢?
[00:00:14.000 --> 00:00:17.000]  我就以浪子比喻為例
[00:00:17.000 --> 00:00:19.000]  想和大家做一個測試
[00:00:19.000 --> 00:00:21.000]  大家去想想
[00:00:21.000 --> 00:00:23.000]  第一
[00:00:23.000 --> 00:00:26.000]  在浪子比喻的記載
[00:00:26.000 --> 00:00:28.000]  在路加福音第十五章裏面
[00:00:28.000 --> 00:00:34.000]  那一章裏面一共有多少個比喻呢?
[00:00:34.000 --> 00:00:35.000]  第二
[00:00:35.000 --> 00:00:37.000]  浪子比喻裏面
[00:00:37.000 --> 00:00:40.000]  哪一個人物是主角?
[00:00:40.000 --> 00:00:44.000]  哪一個人物是配角?
[00:00:44.000 --> 00:00:45.000]  第三
[00:00:45.000 --> 00:00:51.000]  浪子比喻是針對哪一些人呢?
[00:00:51.000 --> 00:00:55.000]  其實在整個路加福音第十五章裏面
[00:00:55.000 --> 00:00:59.000]  一般人認為有三個比喻
[00:00:59.000 --> 00:01:02.000]  第一個比喻是失陽的比喻
[00:01:02.000 --> 00:01:05.000]  記載在第四節到第七節
[00:01:05.000 --> 00:01:08.000]  第二個比喻是失淺的比喻
[00:01:08.000 --> 00:01:11.000]  由第八節到第十節
[00:01:11.000 --> 00:01:15.000]  第三個比喻是浪子的比喻
[00:01:15.000 --> 00:01:19.000]  由十一節到三十二節
[00:01:19.000 --> 00:01:23.000]  但是如果我們細心去讀路加福音第十五章的時候
[00:01:23.000 --> 00:01:26.000]  我們會發現這三個比喻
[00:01:26.000 --> 00:01:29.000]  他們都有一個同一個中心思想
[00:01:29.000 --> 00:01:35.000]  所以如果我們說這一章只有一個比喻的話
[00:01:35.000 --> 00:01:37.000]  這個也是對的
[00:01:37.000 --> 00:01:39.000]  也沒有錯的
[00:01:39.000 --> 00:01:45.000]  至於浪子的比喻的主角是誰呢?
[00:01:45.000 --> 00:01:47.000]  是父親
[00:01:47.000 --> 00:01:51.000]  因為在路加的比喻裏面
[00:01:51.000 --> 00:01:56.000]  常常都有一個人物是代表天父或者耶穌
[00:01:56.000 --> 00:02:00.000]  而這個父親就是代表天父
[00:02:00.000 --> 00:02:03.000]  路加要讀者知道
[00:02:03.000 --> 00:02:05.000]  不是我們
[00:02:05.000 --> 00:02:07.000]  在第一個比喻裏面
[00:02:07.000 --> 00:02:10.000]  那個牧羊人就是代表天父
[00:02:10.000 --> 00:02:15.000]  第二個是那個婦人是代表天父
