
[00:00:00.000 --> 00:00:03.400]  好,我們一起在聽到之先來一同禱告
[00:00:03.400 --> 00:00:06.000]  慈悲的主,我們多謝你
[00:00:06.000 --> 00:00:08.000]  讓我們一起去聽你的話語
[00:00:08.000 --> 00:00:12.000]  求你讓我們今天看到的是主你自己在我們當中
[00:00:12.000 --> 00:00:15.000]  讓我們看到你怎樣去持守真理
[00:00:15.000 --> 00:00:16.000]  怎樣去愛我們
[00:00:16.000 --> 00:00:20.000]  讓我們有勇氣,有自由地去走出真理
[00:00:20.000 --> 00:00:22.000]  奉主名求,阿們
[00:00:22.000 --> 00:00:27.000]  今天我的講題是被討厭的勇氣
[00:00:27.000 --> 00:00:29.000]  大家有沒有試過被人討厭呀?
[00:00:29.000 --> 00:00:33.000]  在你的人生當中,有沒有試過被人討厭呀?
[00:00:33.000 --> 00:00:36.000]  大家都很誠實呀
[00:00:36.000 --> 00:00:40.000]  如果沒有舉手的那些,可能是討厭你的人沒有告訴你
[00:00:40.000 --> 00:00:43.000]  大家喜不喜歡被人討厭呀?
[00:00:43.000 --> 00:00:46.000]  沒有人舉手呀
[00:00:46.000 --> 00:00:49.000]  因為被人討厭是開心嗎?
[00:00:49.000 --> 00:00:51.000]  不開心呀
[00:00:51.000 --> 00:00:54.000]  尤其是一些重要的人去討厭你
[00:00:54.000 --> 00:00:56.000]  最近我走進書室看到你有一本書
[00:00:56.000 --> 00:00:58.000]  叫做被討厭的勇氣
[00:00:58.000 --> 00:01:03.000]  這本書在全球賣了750萬本
[00:01:03.000 --> 00:01:07.000]  可能有不少的人都曾經被人討厭
[00:01:07.000 --> 00:01:09.000]  起碼750萬人
[00:01:09.000 --> 00:01:13.000]  亦都想跳出這種人際關係的困擾
[00:01:13.000 --> 00:01:17.000]  這本書是講勇氣的心理學書
[00:01:17.000 --> 00:01:22.000]  它說人生所有的煩惱都和人際關係有關
[00:01:22.000 --> 00:01:26.000]  因為所有的煩惱裡面都一定有人
[00:01:26.000 --> 00:01:31.000]  所謂的自由就是被人討厭
[00:01:31.000 --> 00:01:33.000]  很特別呀這種說法
[00:01:33.000 --> 00:01:36.000]  如果你沒有辦法不在意他人的評價
[00:01:36.000 --> 00:01:39.000]  沒有辦法不怕被人討厭
[00:01:39.000 --> 00:01:42.000]  亦都不想付出可能得不到認同的代價
[00:01:42.000 --> 00:01:45.000]  就沒有辦法貫徹自己的生活方式
[00:01:45.000 --> 00:01:47.000]  也就是得不到自由
[00:01:47.000 --> 00:01:49.000]  你認不認同呢?
[00:01:49.000 --> 00:01:52.000]  會不會覺得好像有些自我呢?這個說法
[00:01:52.000 --> 00:01:55.000]  我們必須要發揮成敬
[00:01:55.000 --> 00:01:57.000]  今天我們會繼續
[00:01:57.000 --> 00:02:00.000]  全教會的馬可福音講道系列
[00:02:00.000 --> 00:02:04.000]  破繭的蛻變門徒成長路
