
[00:00:00.000 --> 00:00:04.000]  好,讓我們一起低頭有個祈禱
[00:00:04.000 --> 00:00:09.000]  天父上帝,很感謝你讓我們今天回到你的聖殿去敬拜你
[00:00:09.000 --> 00:00:14.000]  我們能夠回來,是因為你先揀選我們,拯救我們
[00:00:14.000 --> 00:00:19.000]  讓我們成為你的兒女,讓我們有這個福分,能夠回來敬拜你
[00:00:19.000 --> 00:00:23.000]  我們可能各人都帶著我們人生不同的包袱
[00:00:23.000 --> 00:00:28.000]  不同的困難,挑戰來到當中
[00:00:28.000 --> 00:00:37.000]  求你藉著一間信息,讓我們行走人生的路,行走天路的力量和盼望
[00:00:37.000 --> 00:00:41.000]  多謝主聽我們祈禱,奉耶穌基督,聖名祈求,阿們
[00:00:41.000 --> 00:00:45.000]  好,今天的題目叫做天上有明
[00:00:45.000 --> 00:00:50.000]  既然是說天上有明,其實就是在說明星的東西
[00:00:50.000 --> 00:00:57.000]  我先說說我自己,之前說到我披露過我喜歡看電影,喜歡看書
[00:00:57.000 --> 00:01:05.000]  我相信上了五堂課的弟兄姊妹,你應該都會感受到Sam全都是一個文人
[00:01:05.000 --> 00:01:11.000]  他絕對是一個文人,不過我想說除了他之外,我不是一個文人
[00:01:11.000 --> 00:01:15.000]  不過我很喜歡中國歷史,很喜歡中國文學
[00:01:15.000 --> 00:01:21.000]  如果以前不是因為父親的緣故,我可能會繼續進修中國文學歷史
[00:01:21.000 --> 00:01:27.000]  可能成為一個教書的老師,到最後未必會成為一個銀行的文員
[00:01:27.000 --> 00:01:35.000]  我很喜歡看中國歷史和文學,是因為我很喜歡看歷史人物說過的話
[00:01:35.000 --> 00:01:38.000]  在他們說過的話裡面給了我們很多人生的智慧
[00:01:38.000 --> 00:01:46.000]  特別是不同的皇帝,不同的朝代他們自亂興衰的一些經驗
[00:01:46.000 --> 00:01:51.000]  給我們看到有些人生的錯誤我們盡量不要犯,其實有很多很多的智慧
[00:01:51.000 --> 00:01:59.000]  我想先考考大家,這裡有一堆的金句,我把它分成上下兩部分
[00:01:59.000 --> 00:02:01.000]  上面我讀幾句給大家聽
[00:02:01.000 --> 00:02:08.000]  富貴不歸故鄉,如錦衣夜行,誰人知之者,我無眼見江東父老
[00:02:08.000 --> 00:02:12.000]  力不山兮氣蓋世,時不理兮追不逝
[00:02:12.000 --> 00:02:14.000]  大家知不知道是誰說過的話
[00:02:14.000 --> 00:02:17.000]  項羽,大家的文學水準都是很高的
[00:02:17.000 --> 00:02:26.000]  其實我很喜歡項羽,如果你看史記裡面的一些資料
[00:02:26.000 --> 00:02:32.000]  你會知道其實項羽是一個很有霸氣很有能力的人
[00:02:32.000 --> 00:02:36.000]  不過當然他也有他的缺點,他剛愎自用
[00:02:36.000 --> 00:02:42.000]  他不能夠用他應該要用的人,去到最後他是烏剛自問
[00:02:42.000 --> 00:02:44.000]  但是他說的金句也影響了我
[00:02:44.000 --> 00:02:50.000]  因為我從小到大讀的時候都覺得如果我沒有一些人生成就
[00:02:50.000 --> 00:02:52.000]  我就無眼見江東父老
[00:02:52.000 --> 00:02:56.000]  我很欣賞他前面那句力不山兮氣蓋世
[00:02:56.000 --> 00:02:58.000]  曾經幻想自己也充滿霸氣
[00:02:58.000 --> 00:03:00.000]  當然我經常不說他後面那句
[00:03:00.000 --> 00:03:02.000]  時不理兮追不逝
[00:03:02.000 --> 00:03:06.000]  就是說當時勢不適合自己的時候
[00:03:06.000 --> 00:03:08.000]  你多有才華也沒有用
[00:03:08.000 --> 00:03:11.000]  這個其實是他在烏剛自問之前說的
[00:03:11.000 --> 00:03:13.000]  下面還有一句
[00:03:13.000 --> 00:03:15.000]  人死留命炮死留皮
[00:03:15.000 --> 00:03:17.000]  大家知不知道是誰說的呢
[00:03:17.000 --> 00:03:19.000]  人死留命大家有沒有聽過
[00:03:19.000 --> 00:03:22.000]  這個可能會冷門一點
[00:03:22.000 --> 00:03:25.000]  大家知不知道是哪位人士說的呢
[00:03:25.000 --> 00:03:29.000]  大家有沒有聽過王彥章
[00:03:29.000 --> 00:03:31.000]  可能都沒有什麼聽過
[00:03:31.000 --> 00:03:34.000]  其實是五代裡面一個大將
[00:03:34.000 --> 00:03:37.000]  根據歐陽修的新五代史
[00:03:37.000 --> 00:03:39.000]  王彥章傳裡面說過
[00:03:39.000 --> 00:03:42.000]  王彥章很擅長耍一支鐵槍
[00:03:42.000 --> 00:03:45.000]  以前打仗就拿劍和槍
[00:03:45.000 --> 00:03:49.000]  他憑著一支鐵槍打遍天下無敵手
[00:03:49.000 --> 00:03:52.000]  得到當時皇帝朱溫的器重
[00:03:52.000 --> 00:03:53.000]  但好景不常
[00:03:53.000 --> 00:03:55.000]  朱溫退位之後
[00:03:55.000 --> 00:03:57.000]  二世祖繼位
[00:03:57.000 --> 00:03:58.000]  二世祖繼位之後
[00:03:58.000 --> 00:04:01.000]  王彥章就被打下冷宮
[00:04:01.000 --> 00:04:04.000]  後來外敵不斷侵擾的時候
[00:04:04.000 --> 00:04:07.000]  這個新的皇帝就找回王彥章出來
[00:04:07.000 --> 00:04:09.000]  希望他能夠抵抗外敵
[00:04:09.000 --> 00:04:11.000]  但因為國家練兵抗日持久
[00:04:11.000 --> 00:04:12.000]  已經沒有人練兵了
[00:04:12.000 --> 00:04:15.000]  所以只有王彥章一個都頂不住大局
[00:04:15.000 --> 00:04:17.000]  到最後成破
[00:04:17.000 --> 00:04:19.000]  王彥章都被俘虜
[00:04:19.000 --> 00:04:21.000]  被俘虜的時候
[00:04:21.000 --> 00:04:23.000]  外敵就問王彥章你投不投降
[00:04:23.000 --> 00:04:27.000]  王彥章臨死慷慨就義的時候就說了
[00:04:27.000 --> 00:04:28.000]  炮死留皮
[00:04:28.000 --> 00:04:30.000]  人死留名
[00:04:30.000 --> 00:04:33.000]  我當然不可以屈服
[00:04:33.000 --> 00:04:34.000]  這句話都影響我
[00:04:34.000 --> 00:04:35.000]  人死留名
