
[00:00:00.000 --> 00:00:03.000]  我們在開聖的時候一起禱告
[00:00:03.000 --> 00:00:05.000]  主耶穌我們求祢自己一靈
[00:00:05.000 --> 00:00:07.000]  繼續向我們說話
[00:00:07.000 --> 00:00:09.000]  也更新我們的內心
[00:00:09.000 --> 00:00:10.000]  以致我們的生命
[00:00:10.000 --> 00:00:12.000]  在新的一年裏不斷的
[00:00:12.000 --> 00:00:15.000]  天生似一天
[00:00:15.000 --> 00:00:17.000]  我們一年也都新過一年
[00:00:17.000 --> 00:00:18.000]  我們感恩的禱告
[00:00:18.000 --> 00:00:20.000]  奉耶穌基督的名而求
[00:00:20.000 --> 00:00:21.000]  阿們
[00:00:21.000 --> 00:00:23.000]  很開心能夠在大家當中
[00:00:23.000 --> 00:00:25.000]  分享神的話
[00:00:25.000 --> 00:00:27.000]  今天會繼續和大家分享
[00:00:27.000 --> 00:00:28.000]  加拉太書
[00:00:28.000 --> 00:00:30.000]  我們有三張投影片
[00:00:30.000 --> 00:00:35.000]  是加拉太書的經文
[00:00:35.000 --> 00:00:38.000]  我們可以一起讀出來
[00:00:38.000 --> 00:00:39.000]  期望在新的一年
[00:00:39.000 --> 00:00:42.000]  和大家一起除舊迎新
[00:00:42.000 --> 00:00:47.000]  是加拉太書第五章十六節
[00:00:47.000 --> 00:00:49.000]  一直到二十六節
[00:00:49.000 --> 00:00:50.000]  投影片有的時候
[00:00:50.000 --> 00:00:51.000]  我們可以一起讀
[00:00:51.000 --> 00:00:52.000]  好 我們一起讀
[00:00:52.000 --> 00:00:53.000]  一二三
[00:00:53.000 --> 00:00:57.000]  可說你們要順著聖靈而行
[00:00:57.000 --> 00:01:00.000]  絕不可滿足肉體的情慾
[00:01:00.000 --> 00:01:04.000]  因為肉體的情慾和聖靈相爭
[00:01:04.000 --> 00:01:07.000]  聖靈和肉體相爭
[00:01:07.000 --> 00:01:09.000]  這兩個彼此敵對
[00:01:09.000 --> 00:01:13.000]  使你們不能做所願意做的
[00:01:13.000 --> 00:01:16.000]  但你們若被聖靈引導
[00:01:16.000 --> 00:01:19.000]  就不在律法之下
[00:01:19.000 --> 00:01:22.000]  情慾的事都是顯而易見的
[00:01:22.000 --> 00:01:26.000]  就如淫亂、污衊、放蕩、
[00:01:26.000 --> 00:01:29.000]  拜偶像、行邪術、仇恨、
[00:01:29.000 --> 00:01:34.000]  紛爭、忌恨、憤怒、自私、
[00:01:34.000 --> 00:01:39.000]  分派、結黨、嫉妒、醉酒、謊言等類
[00:01:39.000 --> 00:01:42.000]  我從前告訴過你們
[00:01:42.000 --> 00:01:44.000]  現在又告訴你們
[00:01:44.000 --> 00:01:47.000]  做這樣事的人
[00:01:47.000 --> 00:01:49.000]  必不能承受神的國
[00:01:49.000 --> 00:01:52.000]  聖靈的果子就是
[00:01:52.000 --> 00:01:56.000]  仁愛、喜樂、和平、忍耐、恩慈、
[00:01:56.000 --> 00:02:00.000]  良善、信實、溫柔、節制
[00:02:00.000 --> 00:02:03.000]  這樣的事沒有律法禁止
[00:02:03.000 --> 00:02:06.000]  凡屬基督耶穌的人
[00:02:06.000 --> 00:02:09.000]  是已經把肉體與肉體的
[00:02:09.000 --> 00:02:14.000]  邪情私慾銅釘在十字架上了
[00:02:14.000 --> 00:02:17.000]  我們若靠著聖靈而活
[00:02:17.000 --> 00:02:20.000]  也要靠著聖靈行事
[00:02:20.000 --> 00:02:22.000]  不要貪圖虛名
[00:02:22.000 --> 00:02:25.000]  彼此惹氣
[00:02:26.000 --> 00:02:30.000]  我想問問有沒有人喜歡看戰爭片?
[00:02:30.000 --> 00:02:32.000]  有沒有人喜歡看?
[00:02:32.000 --> 00:02:35.000]  有一些弟兄
[00:02:35.000 --> 00:02:37.000]  早期比較多
[00:02:37.000 --> 00:02:39.000]  早期比較多人喜歡看戰爭片
[00:02:39.000 --> 00:02:43.000]  我以前也喜歡看多一點
[00:02:43.000 --> 00:02:45.000]  在太太的教導下
[00:02:45.000 --> 00:02:46.000]  我就越看越少
[00:02:46.000 --> 00:02:48.000]  也是很好的
[00:02:48.000 --> 00:02:52.000]  但舊約也有很多著名的戰爭
[00:02:52.000 --> 00:02:56.000]  例如神親自出手將埃及的全軍淹沒在紅海
[00:02:56.000 --> 00:02:59.000]  又如約書亞圍困耶利哥城
[00:02:59.000 --> 00:03:03.000]  最終憑神的力量使城牆傾倒
[00:03:03.000 --> 00:03:06.000]  之後祂勢如破竹得了迦南全地
[00:03:06.000 --> 00:03:07.000]  又如我們很熟悉的
[00:03:07.000 --> 00:03:11.000]  大衛擊敗哥利亞和他率領的非利士全軍
[00:03:11.000 --> 00:03:12.000]  看的時候有時會想
[00:03:12.000 --> 00:03:14.000]  真是生不逢時
[00:03:14.000 --> 00:03:15.000]  若果能夠身在那個時代
[00:03:15.000 --> 00:03:18.000]  看見大衛如何手刃仇敵
[00:03:18.000 --> 00:03:20.000]  真是何等快意
[00:03:20.000 --> 00:03:22.000]  但保羅在《迦太太書》中說到
[00:03:22.000 --> 00:03:25.000]  真正的爭戰發生在人的內心
[00:03:25.000 --> 00:03:26.000]  摩西能夠得勝
[00:03:26.000 --> 00:03:28.000]  不在紅海邊
[00:03:28.000 --> 00:03:31.000]  乃是他四十年的抗野生涯
[00:03:31.000 --> 00:03:33.000]  約書亞能夠得勝
[00:03:33.000 --> 00:03:35.000]  不是在約旦河邊
[00:03:35.000 --> 00:03:39.000]  乃是在乎他一生關乎摩西的謙和和信心
