
[00:00:00.000 --> 00:00:03.000]  我們開始的時候一起去禱告
[00:00:03.000 --> 00:00:05.000]  耶穌我們很感謝祢
[00:00:05.000 --> 00:00:07.000]  讓我們在另一個禮拜日
[00:00:07.000 --> 00:00:08.000]  我們另一個主日
[00:00:08.000 --> 00:00:10.000]  來到主祢自己的面前去敬拜主
[00:00:10.000 --> 00:00:13.000]  就求主祢自己親自開我們的心眼
[00:00:13.000 --> 00:00:15.000]  在祢自己的話語上得到詛咒
[00:00:15.000 --> 00:00:17.000]  也在我們的生命上帶來安慰
[00:00:17.000 --> 00:00:19.000]  我們禱告奉耶穌基督的名
[00:00:19.000 --> 00:00:20.000]  阿們
[00:00:20.000 --> 00:00:25.000]  在這幾年我們面對很多關係的挑戰
[00:00:25.000 --> 00:00:27.000]  我們有沒有身邊有朋友移民
[00:00:27.000 --> 00:00:30.000]  最近有沒有來看過
[00:00:30.000 --> 00:00:31.000]  很多吧
[00:00:31.000 --> 00:00:33.000]  我每個星期都不見了幾位會友
[00:00:33.000 --> 00:00:35.000]  我都很感觸
[00:00:35.000 --> 00:00:37.000]  有些買不到飛機票
[00:00:37.000 --> 00:00:39.000]  走不了了還要再等一會
[00:00:39.000 --> 00:00:40.000]  我覺得好呀你多留一會
[00:00:40.000 --> 00:00:42.000]  但是轉頭他跟我說
[00:00:42.000 --> 00:00:45.000]  剛剛那間航空公司給了機位
[00:00:45.000 --> 00:00:48.000]  已經在第二個星期日去了外地
[00:00:48.000 --> 00:00:50.000]  心裏面都很記掛他們
[00:00:50.000 --> 00:00:52.000]  不單止移民
[00:00:52.000 --> 00:00:53.000]  其實在過去兩年裏面
[00:00:53.000 --> 00:00:55.000]  人與人之間的信任
[00:00:55.000 --> 00:00:57.000]  因為政見的關係
[00:00:57.000 --> 00:00:59.000]  都可能有很多的破損
[00:00:59.000 --> 00:01:02.000]  我們今天我想繼續和大家在加拿大書
[00:01:02.000 --> 00:01:05.000]  看加拿大和仕途那份感情
[00:01:05.000 --> 00:01:08.000]  以致面對這麼多關係上的挑戰的時候
[00:01:08.000 --> 00:01:11.000]  我們懂得怎樣可以很成熟地面對
[00:01:11.000 --> 00:01:12.000]  特別不單止移民
[00:01:12.000 --> 00:01:13.000]  不單止政見
[00:01:13.000 --> 00:01:15.000]  甚或年紀大
[00:01:15.000 --> 00:01:18.000]  都會令到我們有一些分離
[00:01:18.000 --> 00:01:22.000]  我早前因為這篇的服事的時候
[00:01:22.000 --> 00:01:25.000]  我就看看我們恩福的一些網站
[00:01:25.000 --> 00:01:27.000]  我看見我們今年恩福
[00:01:27.000 --> 00:01:29.000]  原來我們今年34週年
[00:01:29.000 --> 00:01:31.000]  9月有很多的日子
[00:01:31.000 --> 00:01:32.000]  聊聊天
[00:01:32.000 --> 00:01:33.000]  9月有很多日子
[00:01:33.000 --> 00:01:35.000]  剛剛過了的有猶太人的贖罪日
[00:01:35.000 --> 00:01:38.000]  即是7月那個贖罪日
[00:01:38.000 --> 00:01:40.000]  即是剛剛在9月上的星期
[00:01:40.000 --> 00:01:43.000]  昨天就是918事變的90週年
[00:01:43.000 --> 00:01:46.000]  如果大家記得松花崗上這首歌的時候
[00:01:46.000 --> 00:01:47.000]  有另一個的日子
[00:01:47.000 --> 00:01:49.000]  下個星期就是中秋節
[00:01:49.000 --> 00:01:50.000]  但是有個930
[00:01:50.000 --> 00:01:54.000]  每年都是我們恩福堂的堂兄
[00:01:54.000 --> 00:01:56.000]  如果我們去做
[00:01:56.000 --> 00:01:58.000]  我記得梅善牧師在病之前
[00:01:58.000 --> 00:02:00.000]  有跟我說家喬明年35週年
[00:02:00.000 --> 00:02:02.000]  我們想一下怎樣
[00:02:02.000 --> 00:02:04.000]  很好家中有個好姊妹
[00:02:04.000 --> 00:02:06.000]  我們恩福家有個好姊妹
