
[00:00:00.000 --> 00:00:05.240]  大家好,我是恩福堂兒童部的Wendy,全道同工
[00:00:05.240 --> 00:00:10.240]  今天很開心可以在青年崇拜跟大家分享訊息
[00:00:10.240 --> 00:00:13.000]  今天分享的題目叫做
[00:00:13.000 --> 00:00:17.800]  擁抱神給每個人的自由
[00:00:17.800 --> 00:00:20.520]  擁抱神給每個人的自由
[00:00:20.520 --> 00:00:27.160]  在保羅身處的時期
[00:00:27.160 --> 00:00:30.160]  他是甚麼時期呢?他是公元後
[00:00:30.160 --> 00:00:33.160]  他32年信主
[00:00:33.160 --> 00:00:36.160]  64年就殉道
[00:00:36.160 --> 00:00:43.160]  在保羅這段由信主至到殉道的期間
[00:00:43.160 --> 00:00:49.160]  猶太教仍然活躍
[00:00:49.160 --> 00:00:53.160]  當時猶太教普遍的看法就是
[00:00:53.160 --> 00:01:02.160]  上帝頒佈的律法就是要抵消人類犯罪的意欲
[00:01:02.160 --> 00:01:08.160]  而且猶太教育裏面有一句話這樣說
[00:01:08.160 --> 00:01:12.160]  More Torah, more life
[00:01:12.160 --> 00:01:15.160]  越多的Torah,即神的律法
[00:01:15.160 --> 00:01:18.160]  越多的life,這個life是解甚麼呢?
[00:01:18.160 --> 00:01:22.160]  可以解作壽命,解作熱情
[00:01:22.160 --> 00:01:28.160]  解作活力,解作生氣,生命力
[00:01:28.160 --> 00:01:33.160]  對猶太人來說,神的律法是告訴他們
[00:01:33.160 --> 00:01:37.160]  如何可以跟耶和華神一起生活
[00:01:37.160 --> 00:01:46.160]  而今天我們想,律法好像只是一系列的規矩、規則束縛我們
[00:01:46.160 --> 00:01:49.160]  但原來我們誤會了
[00:01:49.160 --> 00:01:53.160]  Torah, Torah,律法這個字
[00:01:53.160 --> 00:01:56.160]  對當時猶太人來說
[00:01:56.160 --> 00:02:01.160]  就好像父母給子女一些指引
[00:02:01.160 --> 00:02:03.160]  很個人的指引
[00:02:03.160 --> 00:02:08.160]  以及一些個人的教導
[00:02:08.160 --> 00:02:13.160]  而Torah,律法這個希伯來字的字根
[00:02:13.160 --> 00:02:18.160]  就是解作指引和發射
[00:02:18.160 --> 00:02:20.160]  甚麼是發射呢?
[00:02:20.160 --> 00:02:25.160]  當時來說,就是射箭,要射中一個目標
[00:02:25.160 --> 00:02:28.160]  Shoot,或者Instruction
[00:02:28.160 --> 00:02:33.160]  這是Torah,希伯來字,律法字根的意思
[00:02:33.160 --> 00:02:40.160]  原來不是只有一系列的規則要守
[00:02:40.160 --> 00:02:45.160]  而是出埃及之後,他們本身在埃及地是奴隸
[00:02:45.160 --> 00:02:48.160]  出埃及地之後,50天左右
[00:02:48.160 --> 00:02:52.160]  就是神頒布Torah給摩西
[00:02:52.160 --> 00:02:57.160]  摩西把這些指引,好像父母給他的教導
[00:02:57.160 --> 00:03:02.160]  就帶回猶太人群體裏,告訴他們
[00:03:02.160 --> 00:03:05.160]  你們昔日在埃及很辛苦做奴隸
[00:03:05.160 --> 00:03:07.160]  現在你們自由了
[00:03:07.160 --> 00:03:11.160]  我想告訴你們,你們去一個新的生活的時候
[00:03:11.160 --> 00:03:13.160]  你們可以怎樣生活
[00:03:13.160 --> 00:03:19.160]  引導你們,你們的新生活可以和耶和華神,上帝一起
[00:03:19.160 --> 00:03:25.160]  所以Torah對他們來說,是有解作Alive with God
[00:03:25.160 --> 00:03:30.160]  意思是說,他們的生命裏面,是會有神,有上帝
[00:03:30.160 --> 00:03:34.160]  正如我們今天,很多時候我們都尋求不同的指引
[00:03:34.160 --> 00:03:38.160]  有時問人的意見,問朋友的意見
[00:03:38.160 --> 00:03:42.160]  問傳道人,問組長的意見
[00:03:42.160 --> 00:03:44.160]  昔日的Torah就是一些指引
[00:03:44.160 --> 00:03:49.160]  給當時的上帝的子民,知道怎樣去生活
[00:03:49.160 --> 00:03:54.160]  有一個秩序,有一個愛的群體在當中
[00:03:54.160 --> 00:03:56.160]  而今天講到的經文
[00:03:56.160 --> 00:04:01.160]  一開始,同樣地保羅都是清楚指出
[00:04:01.160 --> 00:04:04.160]  律法是屬靈的
[00:04:04.160 --> 00:04:07.160]  律法是善的
[00:04:07.160 --> 00:04:13.160]  屬靈的意思,就是與神的靈相關
[00:04:13.160 --> 00:04:16.160]  受神的靈發動
[00:04:16.160 --> 00:04:23.160]  受神的靈充滿
[00:04:23.160 --> 00:04:27.160]  保羅清楚指出,律法是沒有問題的
[00:04:27.160 --> 00:04:31.160]  是屬靈的,是善的
[00:04:31.160 --> 00:04:35.160]  問題是我,我這個人
[00:04:35.160 --> 00:04:40.160]  我這個人已經邁吸罪了
[00:04:40.160 --> 00:04:43.160]  現代中文譯本的說法就是
[00:04:43.160 --> 00:04:47.160]  已經邁吸罪,作奴奴隸
[00:04:47.160 --> 00:04:51.160]  就像我簽了賣身契一樣
[00:04:51.160 --> 00:04:55.160]  賣身給罪這個主人
[00:04:55.160 --> 00:04:59.160]  然後被罪這個主人捆綁
[00:04:59.160 --> 00:05:03.160]  這個我不能做自己想做的事
[00:05:03.160 --> 00:05:07.160]  只能做罪這個主人吩咐的事
[00:05:07.160 --> 00:05:11.160]  就像今天在我們家服侍我們的工人姐姐一樣
[00:05:11.160 --> 00:05:15.160]  他們只能做主人吩咐的事
[00:05:15.160 --> 00:05:19.160]  不能做自己想做的事
[00:05:19.160 --> 00:05:26.160]  那麼,律法能夠幫助我脫離賣身契嗎?
[00:05:26.160 --> 00:05:28.160]  不能夠
[00:05:28.160 --> 00:05:33.160]  律法只是告訴你,你要做對的事
[00:05:33.160 --> 00:05:39.160]  或者告訴你,你做錯了什麼事
[00:05:39.160 --> 00:05:44.160]  今天,我們更加想自由和獨立
[00:05:44.160 --> 00:05:46.160]  不想受任何的束縛
[00:05:46.160 --> 00:05:51.160]  取心所欲,去做自己喜歡做的事
[00:05:51.160 --> 00:05:54.160]  我們開始反抗神
[00:05:54.160 --> 00:06:00.160]  又完全得不到,或者無法理解到真正的自由是什麼
[00:06:00.160 --> 00:06:05.160]  我覺得,哪裡有快樂,我就去追求
[00:06:05.160 --> 00:06:09.160]  好像有時在教會,我不是很開心
[00:06:09.160 --> 00:06:13.160]  但在世界,我也不是很開心
[00:06:13.160 --> 00:06:17.160]  明明很年輕,你們啊
[00:06:17.160 --> 00:06:22.160]  但覺得有時活著,很累
[00:06:22.160 --> 00:06:29.160]  毫無盼望,不知道該如何是好
[00:06:29.160 --> 00:06:35.160]  原來聖經裡有一個人,也經歷著同樣的掙扎
[00:06:35.160 --> 00:06:39.160]  使徒保羅,今天我們講到經文裡
[00:06:39.160 --> 00:06:44.160]  告訴我們,他也有我們的掙扎
[00:06:44.160 --> 00:06:50.160]  我們一起讀出羅馬書七章,十四至二十五節
[00:06:50.160 --> 00:06:52.160]  可以分為三部分
[00:06:52.160 --> 00:06:55.160]  第一部分,十四至十七
[00:06:55.160 --> 00:06:58.160]  接著是十八至二十
[00:06:58.160 --> 00:07:01.160]  最後是二十一至二十五
[00:07:01.160 --> 00:07:04.160]  我們一次讀出十四至二十五節
[00:07:04.160 --> 00:07:09.160]  我們原知道律法是屬靈的
[00:07:09.160 --> 00:07:11.160]  我卻是屬肉體的
[00:07:11.160 --> 00:07:13.160]  是已經邁吸罪了
[00:07:13.160 --> 00:07:17.160]  因為我所做的,我自己不明白
[00:07:17.160 --> 00:07:20.160]  我所願意的,我並不做
[00:07:20.160 --> 00:07:24.160]  我所幸福的,我反而去做
[00:07:24.160 --> 00:07:28.160]  如果我所做的,是我不願意的
[00:07:28.160 --> 00:07:31.160]  我得承認律法是善的
[00:07:31.160 --> 00:07:33.160]  事實上,這不是我做的
[00:07:33.160 --> 00:07:37.160]  而是住在我裡面的罪做的
[00:07:37.160 --> 00:07:40.160]  我也知道,住在我裡面的
[00:07:40.160 --> 00:07:44.160]  就是我肉體之中,沒有善
[00:07:44.160 --> 00:07:47.160]  因為立志為善,由得我
[00:07:47.160 --> 00:07:50.160]  只是行出來,由不得我
[00:07:50.160 --> 00:07:53.160]  我所願意的善,我不去做
[00:07:53.160 --> 00:07:57.160]  我所不願意的惡,我反而去做
[00:07:57.160 --> 00:08:00.160]  如果我去做我不願意做的
[00:08:00.160 --> 00:08:02.160]  就不是我做的
[00:08:02.160 --> 00:08:06.160]  而是住在我裡面的罪做的
[00:08:06.160 --> 00:08:08.160]  我覺得有個律
[00:08:08.160 --> 00:08:11.160]  就是我願意行善的時候
[00:08:11.160 --> 00:08:13.160]  就有惡纏著我
[00:08:13.160 --> 00:08:16.160]  因為安著我裡面的人
[00:08:16.160 --> 00:08:18.160]  我喜歡神的律
[00:08:18.160 --> 00:08:21.160]  但我看出肢體中另有個律
[00:08:21.160 --> 00:08:24.160]  和我內心的律交戰
[00:08:24.160 --> 00:08:26.160]  把我怒去
[00:08:26.160 --> 00:08:29.160]  使我服從那肢體中罪的律
[00:08:29.160 --> 00:08:31.160]  我真苦啊
[00:08:31.160 --> 00:08:35.160]  誰能救我脫離這必死的身體呢
[00:08:35.160 --> 00:08:40.160]  感謝神,靠著我們的主耶穌基督就能
[00:08:40.160 --> 00:08:45.160]  這樣看來,一方面我內心馴服神的律
[00:08:45.160 --> 00:08:50.160]  另一方面,肉體卻馴服罪的律了
[00:08:50.160 --> 00:08:58.160]  剛才讀出的是和合本修訂版的經文
[00:08:58.160 --> 00:09:02.160]  我還想分享多一個版本給大家參考
[00:09:02.160 --> 00:09:04.160]  就是現代中文譯本
[00:09:04.160 --> 00:09:07.160]  在2019年做好的
[00:09:07.160 --> 00:09:10.160]  它是如何說羅馬書先後我們讀出的
[00:09:10.160 --> 00:09:13.160]  七章18至19節呢
[00:09:13.160 --> 00:09:17.160]  在上一版的PowerPoint
[00:09:17.160 --> 00:09:23.160]  現代中文譯本這樣翻譯
[00:09:23.160 --> 00:09:25.160]  我也知道
[00:09:25.160 --> 00:09:27.160]  在我裡面
[00:09:27.160 --> 00:09:30.160]  就是在我的本性裡面
[00:09:30.160 --> 00:09:32.160]  沒有良善
[00:09:32.160 --> 00:09:36.160]  因為我有行善的意願
[00:09:36.160 --> 00:09:39.160]  卻沒有行善的能力
[00:09:39.160 --> 00:09:41.160]  我所願意的善
[00:09:41.160 --> 00:09:43.160]  我偏不去做
[00:09:43.160 --> 00:09:45.160]  我所不願意的惡
[00:09:45.160 --> 00:09:48.160]  我反而去做
[00:09:48.160 --> 00:09:52.160]  信主之後
[00:09:52.160 --> 00:09:55.160]  其實我們經歷著內心很多的掙扎
[00:09:55.160 --> 00:09:58.160]  是很真實的
[00:09:58.160 --> 00:10:00.160]  第一世紀的門徒
[00:10:00.160 --> 00:10:02.160]  包括仕途保羅
