
[00:00:00.000 --> 00:00:04.040]  頂智慕今天的崇拜講道會延續今年教會的主題
[00:00:04.040 --> 00:00:06.160]  就是破繭的蛻變
[00:00:06.160 --> 00:00:09.720]  我們會透過馬福音學習藉真理轉化生命
[00:00:09.720 --> 00:00:12.600]  蛻變對於有些動物或是觀眾來說
[00:00:12.600 --> 00:00:14.240]  可能是一生只有一次
[00:00:14.240 --> 00:00:18.680]  但有些物種其實是在不斷的蛻變當中才會成長
[00:00:18.680 --> 00:00:20.280]  所以對我們基督徒來說
[00:00:20.280 --> 00:00:24.920]  信主決志那一刻是一個蛻變很重要的時刻
[00:00:24.920 --> 00:00:26.760]  但不代表我們的轉變
[00:00:26.760 --> 00:00:29.800]  就在信了主決了志之後就完成了
[00:00:29.800 --> 00:00:31.040]  其實在信主之後
[00:00:31.040 --> 00:00:33.960]  我們還有一段很漫長的神聖的旅程
[00:00:33.960 --> 00:00:36.240]  需要透過聖經的教導
[00:00:36.240 --> 00:00:37.600]  聖靈的轉化
[00:00:37.600 --> 00:00:41.640]  讓我們可以在生命每一天都繼續的更新
[00:00:41.640 --> 00:00:43.160]  使徒保羅提醒我們
[00:00:43.160 --> 00:00:43.960]  很熟的經文
[00:00:43.960 --> 00:00:45.360]  不要效法這個世界
[00:00:45.360 --> 00:00:49.000]  只要心意更新而變化
[00:00:49.000 --> 00:00:51.120]  叫你們測驗何謂神的善良
[00:00:51.120 --> 00:00:52.720]  純存可喜悅的旨意
[00:00:52.720 --> 00:00:54.200]  變化這個字原文
[00:00:54.200 --> 00:01:01.520]  其實就是現在需要不斷的持續的轉變更新
[00:01:01.520 --> 00:01:04.680]  今年是我信主32年
[00:01:04.680 --> 00:01:06.160]  也就是恩福15年了
[00:01:06.160 --> 00:01:08.480]  信主越來我發覺
[00:01:08.480 --> 00:01:10.040]  甚至我越提醒自己
[00:01:10.040 --> 00:01:12.240]  我有沒有成為一個信仰的
[00:01:12.240 --> 00:01:13.600]  或者我們有時說的
[00:01:13.600 --> 00:01:15.480]  好像一個老油條那樣
[00:01:15.480 --> 00:01:16.120]  什麼意思呢
[00:01:16.120 --> 00:01:17.240]  就是一成不變
[00:01:17.240 --> 00:01:18.600]  很細顧原話
[00:01:18.600 --> 00:01:19.800]  或者態度消極
[00:01:19.800 --> 00:01:23.840]  或者好像一切事都已經隔輕就熟了
[00:01:23.840 --> 00:01:26.360]  上個月很感恩我有一個月的假期
[00:01:26.360 --> 00:01:28.280]  所以很多電視節目說很久沒見我了
[00:01:28.280 --> 00:01:31.840]  因為我15年來都沒試過放過這麼長的假期
[00:01:31.840 --> 00:01:35.000]  有機會陪大女兒去加拿大升學
[00:01:35.000 --> 00:01:37.400]  剛好就是當年
[00:01:37.400 --> 00:01:40.280]  就是32年前我決志和受洗的教會
[00:01:40.280 --> 00:01:42.880]  就是多倫多中華長度會40週年
[00:01:42.880 --> 00:01:45.160]  所以你看到有個40字
[00:01:45.160 --> 00:01:46.960]  他們就邀請了我錄一個訊息
[00:01:46.960 --> 00:01:49.520]  就說多年來在主裡面的成長
[00:01:49.520 --> 00:01:51.800]  我有幸可以再回教會
[00:01:51.800 --> 00:01:53.800]  去到教會那裡看回照片
[00:01:53.800 --> 00:01:57.440]  我都想不到你竟然找回我信主30多年前圈住的那個
[00:01:57.440 --> 00:02:00.360]  右下角就是那時候我都是好像後面那樣唱詩班
[00:02:00.360 --> 00:02:02.320]  因為信主沒多久就進了詩班
[00:02:02.320 --> 00:02:05.000]  上高的那幅就是一個青年型
[00:02:05.000 --> 00:02:05.960]  今天都不是青年了
[00:02:05.960 --> 00:02:07.320]  全部都已經變了
[00:02:07.320 --> 00:02:09.320]  很感恩其實有一個早上
