
[00:00:00.000 --> 00:00:04.000]  頂姊妹,如果我不知道說起射波
[00:00:04.000 --> 00:00:06.000]  大家會想起什麼?
[00:00:06.000 --> 00:00:09.000]  都笑一笑,好像大家都get到
[00:00:09.000 --> 00:00:13.000]  會不會想起之前世界盃黃金射球?
[00:00:13.000 --> 00:00:14.000]  有的舉手
[00:00:14.000 --> 00:00:15.000]  沒有
[00:00:15.000 --> 00:00:17.000]  想起第二種射波的呢?
[00:00:17.000 --> 00:00:18.000]  舉手
[00:00:18.000 --> 00:00:22.000]  大家都應該知道我說的是
[00:00:22.000 --> 00:00:26.000]  即場很流行的那種射波
[00:00:26.000 --> 00:00:28.000]  就是射搏
[00:00:28.000 --> 00:00:30.000]  我跟詹木說
[00:00:30.000 --> 00:00:34.000]  今天的講道題目是想用信仰射波
[00:00:34.000 --> 00:00:35.000]  他九秒九
[00:00:35.000 --> 00:00:38.000]  馬上說一定要看這條youtube片
[00:00:38.000 --> 00:00:39.000]  很棒的
[00:00:39.000 --> 00:00:42.000]  大家不用擔心,我不會現在播放
[00:00:42.000 --> 00:00:44.000]  你們有興趣可以回去看
[00:00:44.000 --> 00:00:47.000]  是出自小人國4
[00:00:47.000 --> 00:00:49.000]  有人看過嗎?
[00:00:49.000 --> 00:00:51.000]  這個叫射波操
[00:00:51.000 --> 00:00:52.000]  有沒有人看過?
[00:00:52.000 --> 00:00:54.000]  都有一些
[00:00:54.000 --> 00:00:56.000]  這個射波操是什麼呢?
[00:00:56.000 --> 00:01:00.000]  就是很活該的那些舞台劇演員
[00:01:00.000 --> 00:01:03.000]  在台上一面做一些射波的動作
[00:01:03.000 --> 00:01:07.000]  例如射波、推樁、踢腳
[00:01:07.000 --> 00:01:09.000]  我做得很生疏,不好意思
[00:01:09.000 --> 00:01:13.000]  一面說射波的術語
[00:01:13.000 --> 00:01:15.000]  即是射波術語
[00:01:15.000 --> 00:01:19.000]  這條片都可以說是導進了打工仔
[00:01:19.000 --> 00:01:23.000]  無論是低層、中層、高層的辛酸史
[00:01:23.000 --> 00:01:27.000]  因為被那些射波高手壓到我們呼吸不了
[00:01:27.000 --> 00:01:33.000]  我今天就想和大家分享一些劇的精髓
[00:01:33.000 --> 00:01:37.000]  第一個先說低層射波打工仔
[00:01:37.000 --> 00:01:41.000]  當老闆說你做錯了
[00:01:41.000 --> 00:01:44.000]  那些打工仔會說什麼呢?
[00:01:44.000 --> 00:01:47.000]  我都是照你的意思做
[00:01:47.000 --> 00:01:50.000]  當老闆說你真的做錯了
[00:01:50.000 --> 00:01:52.000]  他又會怎麼說呢?
[00:01:52.000 --> 00:01:54.000]  上一層同事都是這樣說的
[00:01:54.000 --> 00:01:56.000]  我照做的
[00:01:56.000 --> 00:01:59.000]  我真的不覺得我有錯
[00:01:59.000 --> 00:02:01.000]  大家有沒有聽過這些說話?
[00:02:01.000 --> 00:02:02.000]  都有吧?
[00:02:02.000 --> 00:02:04.000]  這些就是低層的
[00:02:04.000 --> 00:02:06.000]  好,我們去到中層了
[00:02:06.000 --> 00:02:08.000]  中層的射波打工仔
[00:02:08.000 --> 00:02:12.000]  當高層的交一些東西給他跟的時候
[00:02:12.000 --> 00:02:14.000]  他會怎麼說呢?
[00:02:14.000 --> 00:02:17.000]  這件事不是我跟開的
[00:02:17.000 --> 00:02:19.000]  這個是不是很熟悉?
[00:02:19.000 --> 00:02:22.000]  我也有時候聽到,不是我跟開的
[00:02:22.000 --> 00:02:25.000]  但是高層堅持說
[00:02:25.000 --> 00:02:27.000]  都是要你跟的時候
[00:02:27.000 --> 00:02:29.000]  這個打工仔又會怎麼說呢?
[00:02:29.000 --> 00:02:31.000]  很楚楚可憐地說
[00:02:31.000 --> 00:02:35.000]  你這樣我很難做的,老闆
[00:02:35.000 --> 00:02:39.000]  但是他為了不繼續糾纏下去
[00:02:39.000 --> 00:02:41.000]  要快點解決這件事
[00:02:41.000 --> 00:02:44.000]  他接著就會很楚楚可憐地說
[00:02:44.000 --> 00:02:47.000]  我都不想被人說我越權
[00:02:47.000 --> 00:02:49.000]  我怎麼可以接這個工作呢?
[00:02:49.000 --> 00:02:51.000]  這個就是中層的
[00:02:51.000 --> 00:02:55.000]  好了,去到最高層的老闆級了
[00:02:55.000 --> 00:02:58.000]  他們是怎麼射波呢?
[00:02:58.000 --> 00:03:02.000]  這個可能我們當下屬做錯事的時候
[00:03:02.000 --> 00:03:04.000]  老闆最重要的是什麼?
[00:03:04.000 --> 00:03:07.000]  馬上割席,劃清界線
[00:03:07.000 --> 00:03:09.000]  所以他就會說
[00:03:09.000 --> 00:03:13.000]  唉,這次我真的愛莫能助了
[00:03:13.000 --> 00:03:15.000]  接著當下屬反駁
[00:03:15.000 --> 00:03:17.000]  老闆,這件事做錯了
[00:03:17.000 --> 00:03:19.000]  是因為你有這樣說過
[00:03:19.000 --> 00:03:21.000]  我照你的意思做的
[00:03:21.000 --> 00:03:24.000]  通常老闆會說什麼呢?
[00:03:24.000 --> 00:03:26.000]  我沒有說過
[00:03:26.000 --> 00:03:28.000]  大家都知道,應該聽了很多
[00:03:28.000 --> 00:03:31.000]  我沒有印象我這樣說過
[00:03:31.000 --> 00:03:34.000]  最流行說這句話
[00:03:34.000 --> 00:03:36.000]  但是當下屬仍然堅持
[00:03:36.000 --> 00:03:39.000]  不是,你真的有這樣說過
[00:03:39.000 --> 00:03:42.000]  就是不太懂得做,還撐下去
[00:03:42.000 --> 00:03:45.000]  本來老闆不是這麼差的
[00:03:45.000 --> 00:03:48.000]  但是當下屬堅持的時候
[00:03:48.000 --> 00:03:50.000]  老闆唯有說
[00:03:50.000 --> 00:03:54.000]  你想想你究竟適不適合這份工作
[00:03:54.000 --> 00:03:58.000]  這幾個打到盡了
[00:03:58.000 --> 00:03:59.000]  我們打工仔
[00:03:59.000 --> 00:04:02.000]  那種被人逼到盡的場景
[00:04:02.000 --> 00:04:05.000]  不知道是不是我們在職場
[00:04:05.000 --> 00:04:08.000]  都被這些射波高手射薄得多
[00:04:08.000 --> 00:04:10.000]  變成我們在教會裡
[00:04:10.000 --> 00:04:13.000]  好像都用這些射波操
[00:04:13.000 --> 00:04:14.000]  這些射波技巧
[00:04:14.000 --> 00:04:17.000]  都回到我們的信仰群體裡
[00:04:17.000 --> 00:04:20.000]  不知道大家回到教會裡
[00:04:20.000 --> 00:04:24.000]  聽到多少信仰的射波證據
[00:04:24.000 --> 00:04:28.000]  第一句是出自聖經的
[00:04:28.000 --> 00:04:30.000]  平平安安的去吧
[00:04:30.000 --> 00:04:33.000]  願你們穿得暖吃得飽
[00:04:33.000 --> 00:04:35.000]  當頂姐妹好有需要的時候
[00:04:35.000 --> 00:04:37.000]  就這樣說一句
[00:04:37.000 --> 00:04:39.000]  然後轉個頭就走了
[00:04:39.000 --> 00:04:42.000]  這是不是第一個射波呢
