
[00:00:00.000 --> 00:00:04.000]  早晨大英姐妹 各位會眾 各位朋友
[00:00:04.000 --> 00:00:08.000]  我們開始之前有個禱告
[00:00:08.000 --> 00:00:12.000]  主要是將整個時間去交談你
[00:00:12.000 --> 00:00:16.000]  願聖靈臨在充滿我們 開啟我們的心
[00:00:16.000 --> 00:00:20.000]  讓我們有從你而來的智慧悟性
[00:00:20.000 --> 00:00:24.000]  去明白你的說話 讓講的聽的同夢祝福
[00:00:24.000 --> 00:00:28.000]  多謝主你 我們禱告奉主耶穌基督名求
[00:00:28.000 --> 00:00:30.000]  阿門
[00:00:30.000 --> 00:00:36.000]  我們今天題目是 精神愛人的禱告
[00:00:36.000 --> 00:00:39.000]  我想基督徒 信徒
[00:00:39.000 --> 00:00:43.000]  我們對禱告相信都不會陌生
[00:00:43.000 --> 00:00:48.000]  我們都知道禱告是我們跟神溝通的一種方式
[00:00:48.000 --> 00:00:53.000]  所以我們每天除了早禱 晚禱 睡前祈禱
[00:00:53.000 --> 00:00:55.000]  還會什麼時候祈禱
[00:00:55.000 --> 00:00:59.000]  飯前 飯後會不會
[00:00:59.000 --> 00:01:02.000]  聚會等等時間禱告
[00:01:02.000 --> 00:01:05.000]  有人將禱告比為聖徒的呼吸
[00:01:05.000 --> 00:01:10.000]  反映禱告對屬靈生命下我們的重要性
[00:01:10.000 --> 00:01:13.000]  聖經裡面大概有650個禱告
[00:01:13.000 --> 00:01:16.000]  大家耳熟能詳的主禱文
[00:01:16.000 --> 00:01:21.000]  就是主耶穌親自教導門徒我們去禱告
[00:01:21.000 --> 00:01:23.000]  禱告只是很簡單的事
[00:01:23.000 --> 00:01:26.000]  三歲小孩都懂得
[00:01:26.000 --> 00:01:28.000]  但禱告是很深奧的功課
[00:01:28.000 --> 00:01:31.000]  一輩子都學不完
[00:01:31.000 --> 00:01:36.000]  不少教會 神學院都會舉辦禱告營 禱告學
[00:01:36.000 --> 00:01:38.000]  禱告的培訓課程
[00:01:38.000 --> 00:01:43.000]  幫助信徒更深的認識 操練禱告
[00:01:43.000 --> 00:01:45.000]  在認識信徒方面
[00:01:45.000 --> 00:01:48.000]  就著禱告方面
[00:01:48.000 --> 00:01:52.000]  不少都會提出一個疑問
[00:01:52.000 --> 00:01:56.000]  到底怎樣的禱告是神所喜悅
[00:01:56.000 --> 00:02:00.000]  你有沒有問過?
[00:02:00.000 --> 00:02:04.000]  今早我們一起來看看
[00:02:04.000 --> 00:02:08.000]  一個神喜悅 一個感動神的禱告
[00:02:08.000 --> 00:02:12.000]  大理書記載大理和他三個朋友
[00:02:12.000 --> 00:02:14.000]  在秘魯時期的遭遇
[00:02:14.000 --> 00:02:16.000]  和裡面很多的預言
[00:02:16.000 --> 00:02:20.000]  以及神在人類歷史裡面的掌權
[00:02:20.000 --> 00:02:22.000]  公元前605年
[00:02:22.000 --> 00:02:27.000]  大理和其他猶太人一起被擄到巴比倫
[00:02:27.000 --> 00:02:29.000]  大理在宮中成長
[00:02:29.000 --> 00:02:31.000]  經歷不少風霜
[00:02:31.000 --> 00:02:35.000]  先後目睹猶大國巴比倫國的滅亡
[00:02:35.000 --> 00:02:40.000]  第九章記載大理看到的第三個異象
[00:02:40.000 --> 00:02:44.000]  時間大概在主前538-539
[00:02:44.000 --> 00:02:49.000]  距離大理被擄到巴比倫已經接近70年
[00:02:49.000 --> 00:02:52.000]  大理已經是一個老人家
[00:02:52.000 --> 00:02:59.000]  但心裡仍念掛耶路撒冷和自己的國民同胞
[00:02:59.000 --> 00:03:02.000]  在一次偶然的機會之下
[00:03:02.000 --> 00:03:05.000]  他讀到從遠方送來的家書
[00:03:05.000 --> 00:03:08.000]  透過先知耶利米的預言
[00:03:08.000 --> 00:03:13.000]  大理得知神對他選民的計劃
[00:03:13.000 --> 00:03:17.000]  在耶利米書25章11-12節
[00:03:17.000 --> 00:03:19.000]  「這地必然荒涼
[00:03:19.000 --> 00:03:22.000]  這些國民要服侍巴比倫王七十年
[00:03:22.000 --> 00:03:24.000]  七十年滿了以後
[00:03:24.000 --> 00:03:28.000]  我必認罰巴比倫王那國民」
[00:03:28.000 --> 00:03:31.000]  經文說猶大地方要荒涼
[00:03:31.000 --> 00:03:38.000]  猶太人要服侍巴比倫王七十年
[00:03:38.000 --> 00:03:41.000]  然而在29章10節
[00:03:41.000 --> 00:03:43.000]  「七十年滿了以後
[00:03:43.000 --> 00:03:45.000]  我要眷顧你們
[00:03:45.000 --> 00:03:47.000]  讓你們成就我的恩賢
[00:03:47.000 --> 00:03:50.000]  使你們仍回到此地」
[00:03:50.000 --> 00:03:54.000]  只要猶太人經歷七十年秘魯的磨練
[00:03:54.000 --> 00:03:57.000]  神就會讓他們回歸迦南地
[00:03:57.000 --> 00:03:58.000]  重建家園
[00:03:58.000 --> 00:04:01.000]  復興以色列國
[00:04:01.000 --> 00:04:04.000]  現在已經接近秘魯七十年的尾聲
[00:04:04.000 --> 00:04:08.000]  在波斯王朝任高官的大尉利
[00:04:08.000 --> 00:04:12.000]  於是迫切地向神禱告
[00:04:12.000 --> 00:04:16.000]  大尉利是敬神愛人
[00:04:16.000 --> 00:04:18.000]  有美好的靈性
[00:04:18.000 --> 00:04:20.000]  是一位禱告戰士
[00:04:20.000 --> 00:04:26.000]  雖然他被擄為奴隸
[00:04:26.000 --> 00:04:29.000]  然而在異國的他鄉巴比倫
[00:04:29.000 --> 00:04:31.000]  多年來仍一日三次
[00:04:31.000 --> 00:04:33.000]  面向耶路撒冷
[00:04:33.000 --> 00:04:34.000]  六章十節說到
[00:04:34.000 --> 00:04:39.000]  在相室跪在他神面前禱告感謝
[00:04:39.000 --> 00:04:42.000]  甚至被詠盡獅子坑
[00:04:42.000 --> 00:04:46.000]  付上生命代價而在所不惜
[00:04:46.000 --> 00:04:48.000]  到了第九章
[00:04:48.000 --> 00:04:52.000]  我們更能領略到他禱告的內容
[00:04:52.000 --> 00:04:55.000]  拋網直撞今早的訊息
[00:04:55.000 --> 00:04:57.000]  我們一起看看
[00:04:57.000 --> 00:04:59.000]  大尉利禱告的態度和內容
[00:04:59.000 --> 00:05:05.000]  如何成為我們禱告的街霧學習
[00:05:05.000 --> 00:05:07.000]  大尉利禱告的結果
[00:05:07.000 --> 00:05:09.000]  如何擴闊他的視野
[00:05:09.000 --> 00:05:11.000]  並為以色列人信徒
[00:05:11.000 --> 00:05:19.000]  帶來什麼樣的安慰和啟示
[00:05:19.000 --> 00:05:21.000]  第一個大綱是禱告的內容
[00:05:21.000 --> 00:05:23.000]  認罪祈求
[00:05:23.000 --> 00:05:26.000]  大尉利得悉神的應許
[00:05:26.000 --> 00:05:29.000]  那時離七十年被擄的期限將滿
[00:05:29.000 --> 00:05:31.000]  快到
[00:05:31.000 --> 00:05:33.000]  於是第三節
[00:05:33.000 --> 00:05:35.000]  大尉利面向主神
[00:05:35.000 --> 00:05:37.000]  禁食披麻蒙灰
[00:05:37.000 --> 00:05:41.000]  懇切的禱告祈求
[00:05:41.000 --> 00:05:43.000]  面向主神是說
[00:05:43.000 --> 00:05:47.000]  大尉利迴轉專注的面向主神
[00:05:47.000 --> 00:05:48.000]  有可能是跪下
[00:05:48.000 --> 00:05:55.000]  面向耶路撒冷神殿所在之處的窗口禱告
[00:05:55.000 --> 00:05:57.000]  而披麻蒙灰是猶太人
[00:05:57.000 --> 00:05:59.000]  以披麻衣蒙灰塵
[00:05:59.000 --> 00:06:03.000]  來表達心裡極度的憂傷
[00:06:03.000 --> 00:06:05.000]  總括而言
[00:06:05.000 --> 00:06:07.000]  禁食披麻蒙灰
[00:06:07.000 --> 00:06:10.000]  是一種憂傷痛悔的表現
[00:06:10.000 --> 00:06:14.000]  而是真誠悔改的行動
[00:06:14.000 --> 00:06:16.000]  大尉利很著重禱告
[00:06:16.000 --> 00:06:18.000]  是經過準備
[00:06:18.000 --> 00:06:19.000]  專心一致
[00:06:19.000 --> 00:06:21.000]  大家看到嗎
[00:06:21.000 --> 00:06:24.000]  而且他在神的面前謙卑痛心
[00:06:24.000 --> 00:06:26.000]  全人的投入
[00:06:26.000 --> 00:06:27.000]  對他來說
[00:06:27.000 --> 00:06:30.000]  禱告並不是無關重要的瑣碎事
[00:06:30.000 --> 00:06:32.000]  不是想祈就祈
[00:06:32.000 --> 00:06:33.000]  不想祈就不祈
[00:06:33.000 --> 00:06:34.000]  記得祈就祈
