
[00:00:00.000 --> 00:00:02.000]  第四子堂崇拜
[00:00:02.000 --> 00:00:04.000]  眨眼間
[00:00:04.000 --> 00:00:06.000]  已經到第幾個月了?大家數下手指
[00:00:06.000 --> 00:00:12.000]  視乎你第幾個月參與
[00:00:12.000 --> 00:00:14.000]  不過由開堂崇拜開始
[00:00:14.000 --> 00:00:16.000]  到現在
[00:00:16.000 --> 00:00:18.000]  差不多五個月了
[00:00:18.000 --> 00:00:20.000]  五個月了
[00:00:20.000 --> 00:00:22.000]  我不知道大家現在的心情
[00:00:22.000 --> 00:00:24.000]  是怎樣的
[00:00:24.000 --> 00:00:26.000]  我想先去了解一下
[00:00:26.000 --> 00:00:28.000]  大家的心情
[00:00:28.000 --> 00:00:30.000]  有多少人比較心急
[00:00:30.000 --> 00:00:32.000]  快點找到地方
[00:00:32.000 --> 00:00:34.000]  快點可以出去
[00:00:34.000 --> 00:00:36.000]  傳福音
[00:00:36.000 --> 00:00:38.000]  發展事工就好了
[00:00:38.000 --> 00:00:40.000]  有多少人是這種心態
[00:00:40.000 --> 00:00:42.000]  可不可以舉手
[00:00:42.000 --> 00:00:44.000]  大家都
[00:00:44.000 --> 00:00:46.000]  準備當中
[00:00:46.000 --> 00:00:48.000]  有多少人希望
[00:00:48.000 --> 00:00:50.000]  多用點時間準備才出去
[00:00:50.000 --> 00:00:52.000]  不要太心急
[00:00:52.000 --> 00:00:54.000]  我們一起禱告等候神
[00:00:54.000 --> 00:00:56.000]  好像《士道行傳》
[00:00:56.000 --> 00:00:58.000]  在十四樓禱告
[00:00:58.000 --> 00:01:00.000]  現在我們也是在十四樓的樓房禱告
[00:01:00.000 --> 00:01:02.000]  有多少人抱著這種心態
[00:01:02.000 --> 00:01:04.000]  可不可以舉手
[00:01:04.000 --> 00:01:06.000]  也有一部分
[00:01:06.000 --> 00:01:08.000]  其他人不回答我
[00:01:08.000 --> 00:01:10.000]  可能大家也在祈禱
[00:01:10.000 --> 00:01:12.000]  我相信這段時間
[00:01:12.000 --> 00:01:14.000]  大家的焦點
[00:01:14.000 --> 00:01:16.000]  特別是繼續下位到第四子禱告的時候
[00:01:16.000 --> 00:01:18.000]  你也會留意
[00:01:18.000 --> 00:01:20.000]  究竟環境是怎樣
[00:01:20.000 --> 00:01:22.000]  究竟現在的階段去到哪裏
[00:01:22.000 --> 00:01:24.000]  究竟你的需要是甚麼
[00:01:24.000 --> 00:01:26.000]  我們會將焦點
[00:01:26.000 --> 00:01:28.000]  放在這些地方
[00:01:28.000 --> 00:01:30.000]  究竟我們說去上水
[00:01:30.000 --> 00:01:32.000]  去粉嶺,究竟是哪裏
[00:01:32.000 --> 00:01:34.000]  你也想快點去知道
[00:01:34.000 --> 00:01:36.000]  或者想快點去看看
[00:01:36.000 --> 00:01:38.000]  那裏有甚麼機會
[00:01:38.000 --> 00:01:40.000]  如果能夠早點去
[00:01:40.000 --> 00:01:42.000]  可能大家都會
[00:01:42.000 --> 00:01:44.000]  覺得會好一點
[00:01:44.000 --> 00:01:46.000]  這是很自然
[00:01:46.000 --> 00:01:48.000]  大家會這樣去思想
[00:01:48.000 --> 00:01:50.000]  但如果因為外在的需要
[00:01:50.000 --> 00:01:52.000]  成為了我們的焦點
[00:01:52.000 --> 00:01:54.000]  亦很容易
[00:01:54.000 --> 00:01:56.000]  忽略了我們內裏的需要
[00:01:56.000 --> 00:01:58.000]  這也是很容易
[00:01:58.000 --> 00:02:00.000]  人會很容易被外在的環境
