
[00:00:00.000 --> 00:00:05.000]  靠主恩守我不驚怕
[00:00:05.000 --> 00:00:08.000]  而淚困惑有他引路
[00:00:08.000 --> 00:00:12.000]  信靠主原諒我這身
[00:00:12.000 --> 00:00:15.000]  天國有屬我冠冕
[00:00:15.000 --> 00:00:19.000]  頂姐妹我心裏充滿感恩
[00:00:19.000 --> 00:00:22.000]  首先很感恩很感恩感謝主
[00:00:22.000 --> 00:00:28.000]  讓敬拜隊可以帶我們有一個美好的敬拜呈獻給他
[00:00:28.000 --> 00:00:31.000]  很想我們都一起鼓掌
[00:00:31.000 --> 00:00:35.000]  將我們的鼓掌呈獻給我們上人大好嗎
[00:00:35.000 --> 00:00:41.000]  第二感恩就是
[00:00:41.000 --> 00:00:46.000]  今天是我第一次來到苦中崇拜裏面去講道
[00:00:46.000 --> 00:00:49.000]  我叫做高城邦傳道
[00:00:49.000 --> 00:00:53.000]  通常在恩福都稱呼我為卡神傳道
[00:00:53.000 --> 00:00:56.000]  卡神卡神如果想容易記得我的話
[00:00:56.000 --> 00:01:00.000]  可以叫我車仔車仔傳道
[00:01:00.000 --> 00:01:05.000]  所以今天能夠和大家在苦中裏面一起敬拜
[00:01:05.000 --> 00:01:07.000]  一起去聆聽上帝的話語
[00:01:07.000 --> 00:01:12.000]  我心裏同樣充滿恩典感恩
[00:01:12.000 --> 00:01:17.000]  頂姐妹好像未問大家平安
[00:01:17.000 --> 00:01:20.000]  大家平安主內平安
[00:01:20.000 --> 00:01:25.000]  3月1號開始是取消口罩的日子
[00:01:25.000 --> 00:01:29.000]  不知道大家那天有甚麼體會呢
[00:01:29.000 --> 00:01:34.000]  我記得那天早上我沒有戴口罩去巴士站
[00:01:34.000 --> 00:01:36.000]  走到巴士站
[00:01:36.000 --> 00:01:38.000]  發覺每一次呼吸
[00:01:38.000 --> 00:01:43.000]  能夠做一次可以一口又一口呼吸久違了的新鮮空氣
[00:01:43.000 --> 00:01:47.000]  原來感覺是很舒服很美好的
[00:01:47.000 --> 00:01:52.000]  不過當去到巴士站等上巴士
[00:01:52.000 --> 00:01:57.000]  上到巴士站後還是戴口罩比較穩固
[00:01:57.000 --> 00:02:02.000]  因為在一個空氣不流通的巴士站裏
[00:02:02.000 --> 00:02:06.000]  都是要小心保護自己
[00:02:06.000 --> 00:02:13.000]  所以讓我體會到生活可以復常
[00:02:13.000 --> 00:02:16.000]  但原來在我自己的心態裏面
[00:02:16.000 --> 00:02:23.000]  在我心理裏面都未能夠可以預備好完全的復常
[00:02:23.000 --> 00:02:26.000]  這個是我的經歷和體會
[00:02:26.000 --> 00:02:31.000]  不知道3月1號大家的體會又是怎樣呢
[00:02:31.000 --> 00:02:35.000]  今日講到的題目是復常者殿
[00:02:35.000 --> 00:02:38.000]  很想和大家一起探討一下
[00:02:38.000 --> 00:02:42.000]  要復常上帝的殿又有甚麼預備呢
[00:02:42.000 --> 00:02:46.000]  首先讓我們一起同心禱告
[00:02:46.000 --> 00:02:56.000]  感謝主讓我們可以在祢的殿中一同敬拜
[00:02:56.000 --> 00:02:58.000]  聆聽祢的話語
[00:02:58.000 --> 00:03:01.000]  求主祢幫助我們在座的每一位
[00:03:01.000 --> 00:03:04.000]  能夠按著祢的恩義恩語
[00:03:04.000 --> 00:03:08.000]  塑造激勵我們的生命
[00:03:08.000 --> 00:03:11.000]  回應主信實不變的慈愛
[00:03:11.000 --> 00:03:14.000]  我們同心禱告
[00:03:14.000 --> 00:03:17.000]  交託奉主基督得性的名字
[00:03:17.000 --> 00:03:18.000]  阿門
[00:03:18.000 --> 00:03:23.000]  今日宣講的第一個分題是
[00:03:23.000 --> 00:03:25.000]  「事事復見」
[00:03:25.000 --> 00:03:30.000]  意思是現在是否時候復見呢
[00:03:30.000 --> 00:03:32.000]  首先讓我們一起讀一讀
