
[00:00:00.000 --> 00:00:02.000]  今天有個題目
[00:00:02.000 --> 00:00:04.000]  那裡有沒有得出?
[00:00:04.000 --> 00:00:06.000]  我可不可以出那些?
[00:00:06.000 --> 00:00:08.000]  謝謝
[00:00:08.000 --> 00:00:10.000]  這個題目叫「你想求變嗎?」
[00:00:10.000 --> 00:00:12.000]  我不知道你們想不想變
[00:00:12.000 --> 00:00:14.000]  有沒有想變的?
[00:00:14.000 --> 00:00:16.000]  有時有人說基督教的信仰
[00:00:16.000 --> 00:00:18.000]  有個很特別的地方
[00:00:18.000 --> 00:00:20.000]  就是不停叫頂姐妹
[00:00:20.000 --> 00:00:22.000]  不停叫信主的人
[00:00:22.000 --> 00:00:24.000]  「你要變啦!你要改變!」
[00:00:24.000 --> 00:00:26.000]  有些人會覺得
[00:00:26.000 --> 00:00:28.000]  「變得很辛苦,感到很乏力,很累」
[00:00:28.000 --> 00:00:30.000]  「為何經常說要變?」
[00:00:30.000 --> 00:00:32.000]  「做完一個去到另一個階段又說要再變」
[00:00:32.000 --> 00:00:34.000]  「又去做另一個階段」
[00:00:34.000 --> 00:00:36.000]  感覺很疲累
[00:00:36.000 --> 00:00:38.000]  所以香港基督徒難怪
[00:00:38.000 --> 00:00:40.000]  來來去去教會多極
[00:00:40.000 --> 00:00:42.000]  在全香港統計中
[00:00:42.000 --> 00:00:44.000]  持續十年都不夠三十萬
[00:00:44.000 --> 00:00:46.000]  現在移民潮更差
[00:00:46.000 --> 00:00:48.000]  走走了很多
[00:00:48.000 --> 00:00:50.000]  在教會中出現的
[00:00:50.000 --> 00:00:52.000]  在過去的統計中
[00:00:52.000 --> 00:00:54.000]  不夠三十萬,直近三十萬
[00:00:54.000 --> 00:00:56.000]  很多年都是這樣
[00:00:56.000 --> 00:00:58.000]  人們去了哪裡呢?
[00:00:58.000 --> 00:01:00.000]  總有很多原因
[00:01:00.000 --> 00:01:02.000]  不過我仍然相信
[00:01:02.000 --> 00:01:04.000]  教會的推動或聖經中
[00:01:04.000 --> 00:01:06.000]  常常提醒我們要去改變
[00:01:06.000 --> 00:01:08.000]  也有真實的
[00:01:08.000 --> 00:01:10.000]  突然間還未說奏音
[00:01:10.000 --> 00:01:12.000]  也有真實的
[00:01:12.000 --> 00:01:14.000]  聖經中有說「一天生似一天」
[00:01:14.000 --> 00:01:16.000]  或是神很想我們
[00:01:16.000 --> 00:01:18.000]  或是聖經裏保羅地告訴我們
[00:01:18.000 --> 00:01:20.000]  我們要心意根深而變化
[00:01:20.000 --> 00:01:22.000]  心要變
[00:01:22.000 --> 00:01:24.000]  可能你會說「為何要變呢?」
[00:01:24.000 --> 00:01:26.000]  如果你不能明白
[00:01:26.000 --> 00:01:28.000]  究竟聖經裏想我們變化的目的
[00:01:28.000 --> 00:01:30.000]  都是會覺得累
[00:01:30.000 --> 00:01:32.000]  都是會覺得很乏力
[00:01:32.000 --> 00:01:34.000]  甚至會覺得「為何要這麼多呢?」
[00:01:34.000 --> 00:01:36.000]  因為聖經有一個很重要的神學想法
[00:01:36.000 --> 00:01:38.000]  就是原來每個人都受罪的影響
[00:01:38.000 --> 00:01:40.000]  你和我都活在罪的底下
[00:01:40.000 --> 00:01:42.000]  如果我們不變
[00:01:42.000 --> 00:01:44.000]  其實我們會繼續被罪的影響
[00:01:44.000 --> 00:01:46.000]  奴役、核制
[00:01:46.000 --> 00:01:48.000]  導致我們在生活上
[00:01:48.000 --> 00:01:50.000]  因為罪的影響
[00:01:50.000 --> 00:01:52.000]  我們在人與人,人與自己的關係裏
[00:01:52.000 --> 00:01:54.000]  我們無法復和
[00:01:54.000 --> 00:01:56.000]  我們只是活在沒有盼望
[00:01:56.000 --> 00:01:58.000]  活在抑鬱,活在找不到出路
[00:01:58.000 --> 00:02:00.000]  受很多困擾的底下
[00:02:00.000 --> 00:02:02.000]  我們生活得不開心
[00:02:02.000 --> 00:02:04.000]  而聖經裏面說我們要變的背後
[00:02:04.000 --> 00:02:06.000]  特別是說到我們要像基督
[00:02:06.000 --> 00:02:08.000]  我們生命要改變像基督
[00:02:08.000 --> 00:02:10.000]  那你會說「這是甚麼意思?」
[00:02:10.000 --> 00:02:12.000]  原來生命改變像基督
