
[00:00:00.000 --> 00:00:02.000]  大家聖誕快樂
[00:00:02.000 --> 00:00:06.240]  我覺得我們這個午堂很有活力
[00:00:06.240 --> 00:00:10.440]  不知道是不是詹牧師平時是跳跳紮紮的
[00:00:10.440 --> 00:00:17.320]  大家唱詩歌很有那種願意放上去的感受
[00:00:17.320 --> 00:00:19.320]  很為大家感恩
[00:00:19.320 --> 00:00:21.320]  開始的時候我們一起禱告一起祈禱
[00:00:21.320 --> 00:00:23.320]  祝我們多謝你
[00:00:23.320 --> 00:00:25.320]  我們能夠自由的敬拜你
[00:00:25.320 --> 00:00:27.320]  自由的紀念你自己的降生
[00:00:27.320 --> 00:00:29.320]  我願意這份降生的信息
[00:00:29.320 --> 00:00:32.320]  不單止留在這個家裏面
[00:00:32.320 --> 00:00:34.320]  也成為我們在這個家
[00:00:34.320 --> 00:00:36.320]  我們走出去每個恩福人
[00:00:36.320 --> 00:00:39.320]  作為你自己榮耀的彰顯
[00:00:39.320 --> 00:00:41.320]  願主你幫助我們
[00:00:41.320 --> 00:00:43.320]  我們將今天的時間恭敬在你的手中
[00:00:43.320 --> 00:00:45.320]  願以你自己的信息臨到我們的心中
[00:00:45.320 --> 00:00:47.320]  我們禱告奉耶穌基督的名
[00:00:47.320 --> 00:00:49.320]  阿們
[00:00:49.320 --> 00:00:52.320]  我首先想大家讀今天的經文
[00:00:52.320 --> 00:00:54.320]  因為我今天選了一段聖誕的經文
[00:00:54.320 --> 00:00:56.320]  就是在路架福音的
[00:00:56.320 --> 00:00:57.320]  可能大家都很熟悉
[00:00:57.320 --> 00:01:00.320]  聽到耶穌基督的特別和不同
[00:01:00.320 --> 00:01:02.320]  這段經文我分了三張投影片
[00:01:02.320 --> 00:01:04.320]  我請弟兄讀第一張
[00:01:04.320 --> 00:01:05.320]  姐妹讀第二張
[00:01:05.320 --> 00:01:07.320]  然後我們一起讀第三張
[00:01:07.320 --> 00:01:09.320]  我們一起讀
[00:01:09.320 --> 00:01:11.320]  1、2、3
[00:01:11.320 --> 00:01:13.320]  按摩西律法滿了潔淨的日子
[00:01:13.320 --> 00:01:17.320]  他們就帶著孩子上耶路撒冷去
[00:01:17.320 --> 00:01:19.320]  要把他獻給主
[00:01:19.320 --> 00:01:22.320]  正如主的律法上所記
[00:01:22.320 --> 00:01:26.320]  凡投生的男子必歸主為聖
[00:01:26.320 --> 00:01:29.320]  他要照主的律法上所說
[00:01:29.320 --> 00:01:33.320]  用一對斑鷗或用兩隻初甲獻祭
[00:01:33.320 --> 00:01:36.320]  那時在耶路撒冷有一個人
[00:01:36.320 --> 00:01:37.320]  名叫西冕
[00:01:37.320 --> 00:01:40.320]  這人又公義又虔誠
[00:01:40.320 --> 00:01:44.320]  素常盼望以色列的安慰者來到
[00:01:44.320 --> 00:01:46.320]  又有聖靈在他身上
[00:01:46.320 --> 00:01:48.320]  他得了聖靈的啟示
[00:01:48.320 --> 00:01:50.320]  我們請姐妹讀
[00:01:50.320 --> 00:01:51.320]  1、2、3
[00:01:51.320 --> 00:01:54.320]  在祂到自己未死以前
[00:01:54.320 --> 00:01:57.320]  必看見主所立的基督
[00:01:57.320 --> 00:02:01.320]  祂受了聖靈的感動進入聖殿
[00:02:01.320 --> 00:02:05.320]  正遇見耶穌的父母抱著孩子進來
[00:02:05.320 --> 00:02:08.320]  要照律法的規矩而行
[00:02:08.320 --> 00:02:11.320]  西冕就把祂抱過來
[00:02:11.320 --> 00:02:13.320]  稱頌神說
[00:02:13.320 --> 00:02:16.320]  主啊,如今可以照祢的話
[00:02:16.320 --> 00:02:19.320]  容祢的僕人安然去世
[00:02:19.320 --> 00:02:23.320]  因為我的眼睛已經看見祢的救恩
[00:02:23.320 --> 00:02:27.320]  就是祢在萬民前所預備的
[00:02:27.320 --> 00:02:28.320]  我們一起讀
