
[00:00:00.000 --> 00:00:02.000]  (主席) 頂英姐妹晚安
[00:00:02.000 --> 00:00:04.000]  (頂英姐妹) 晚安
[00:00:04.000 --> 00:00:08.500]  (主席) 今晚正道的經文是《史道行傳》
[00:00:08.500 --> 00:00:12.000]  七章五十四到六十節
[00:00:12.000 --> 00:00:17.000]  是繼續我們晚崇的主題
[00:00:17.000 --> 00:00:19.000]  系列訊息
[00:00:19.000 --> 00:00:24.000]  今晚的題目是「去到盡頭有什麼」
[00:00:24.000 --> 00:00:26.000]  不知道頂英姐妹你聽到
[00:00:26.000 --> 00:00:28.000]  或者想這個題目的時候
[00:00:28.000 --> 00:00:32.000]  會有什麼聯想呢?
[00:00:32.000 --> 00:00:35.000]  去到盡頭
[00:00:35.000 --> 00:00:36.000]  或者我這樣說
[00:00:36.000 --> 00:00:38.000]  如果婚姻去到盡頭
[00:00:38.000 --> 00:00:40.000]  會有什麼呢?
[00:00:40.000 --> 00:00:42.000]  死線去到盡頭
[00:00:42.000 --> 00:00:44.000]  又有什麼後果呢?
[00:00:44.000 --> 00:00:46.000]  來到生命了
[00:00:46.000 --> 00:00:49.000]  這篇經文是很特別的
[00:00:49.000 --> 00:00:51.000]  去到盡頭
[00:00:51.000 --> 00:00:53.000]  會有什麼發現?
[00:00:53.000 --> 00:00:55.000]  生命的盡頭
[00:00:55.000 --> 00:00:59.000]  我相信這個是最盡的盡頭
[00:00:59.000 --> 00:01:05.000]  有什麼比生命去到盡頭更加盡呢?
[00:01:05.000 --> 00:01:07.000]  很想一起有個祈禱
[00:01:07.000 --> 00:01:09.000]  一起禱告
[00:01:09.000 --> 00:01:15.000]  親愛的耶穌
[00:01:15.000 --> 00:01:18.000]  祢真是配得一切的榮耀
[00:01:18.000 --> 00:01:20.000]  稱讚
[00:01:20.000 --> 00:01:25.000]  祢也配得我們所有人的心
[00:01:25.000 --> 00:01:29.000]  因為祢是一位那麼愛我們的主
[00:01:29.000 --> 00:01:33.000]  是祢親自來到世間
[00:01:33.000 --> 00:01:36.000]  尋找拯救失喪的我們
[00:01:36.000 --> 00:01:39.000]  對著我們每一個有百般的忍耐
[00:01:39.000 --> 00:01:42.000]  透過祢自己的說話
[00:01:42.000 --> 00:01:46.000]  求祢今晚讓我們得著激勵
[00:01:46.000 --> 00:01:49.000]  在我們的生命裏
[00:01:49.000 --> 00:01:52.000]  有什麼位置需要成長
[00:01:52.000 --> 00:01:54.000]  求祢都指示我們
[00:01:54.000 --> 00:01:57.000]  讓我們能夠向祢打開的心
[00:01:57.000 --> 00:01:59.000]  去夢祢的指引
[00:01:59.000 --> 00:02:01.000]  也有聖靈的加力
[00:02:01.000 --> 00:02:02.000]  聽我們禱告
[00:02:02.000 --> 00:02:03.000]  奉主命求
[00:02:03.000 --> 00:02:04.000]  阿門
[00:02:04.000 --> 00:02:08.000]  今晚一起來認識一下
[00:02:08.000 --> 00:02:11.000]  流山世代下的使命重尋
[00:02:11.000 --> 00:02:13.000]  《使徒行傳》裏面
[00:02:13.000 --> 00:02:15.000]  來到這個屍體版
[00:02:15.000 --> 00:02:18.000]  上次岳聖牧師也有說到
[00:02:18.000 --> 00:02:19.000]  是屍體版
[00:02:19.000 --> 00:02:21.000]  其實說了很長
[00:02:21.000 --> 00:02:23.000]  不過這次我們選的
[00:02:23.000 --> 00:02:26.000]  就是這幾節
[00:02:26.000 --> 00:02:27.000]  就是去到
[00:02:27.000 --> 00:02:31.000]  看上去就是一個很
[00:02:31.000 --> 00:02:34.000]  也是一個很慘的一件事
[00:02:34.000 --> 00:02:38.000]  就是鑑山被石頭打死了
[00:02:38.000 --> 00:02:40.000]  的一個事蹟
[00:02:40.000 --> 00:02:42.000]  但是在這裏也有幾個導向
[00:02:42.000 --> 00:02:44.000]  想和大家一起去看的
[00:02:44.000 --> 00:02:46.000]  在程序表的內頁也有寫給大家
[00:02:46.000 --> 00:02:48.000]  第一個是神的向導
[00:02:48.000 --> 00:02:51.000]  當我們面對受苦的時候
[00:02:51.000 --> 00:02:53.000]  神在哪裏呢?
[00:02:53.000 --> 00:02:54.000]  第二
[00:02:54.000 --> 00:02:56.000]  人的向導
[00:02:56.000 --> 00:02:58.000]  當面對迫害的時候
[00:02:58.000 --> 00:03:02.000]  人性的光輝在哪裏呢?
[00:03:02.000 --> 00:03:04.000]  第三就是一個群體
[00:03:04.000 --> 00:03:06.000]  信仰群體的向導
[00:03:06.000 --> 00:03:08.000]  當遭受殺害的時候
[00:03:08.000 --> 00:03:11.000]  殺害是不是就停止了呢?
[00:03:11.000 --> 00:03:14.000]  是不是教會就一蹶不振呢?
[00:03:14.000 --> 00:03:17.000]  神國的發展可以是怎樣呢?
[00:03:17.000 --> 00:03:22.000]  很想和大家一起去讀經文
[00:03:22.000 --> 00:03:25.000]  如果看到可以一起讀
[00:03:25.000 --> 00:03:27.000]  一二三
[00:03:27.000 --> 00:03:29.000]  眾人聽見這些話
[00:03:29.000 --> 00:03:32.000]  心中極其惱怒
[00:03:32.000 --> 00:03:35.000]  向屍體版咬牙切齒
[00:03:35.000 --> 00:03:38.000]  但屍體版滿有聖靈
[00:03:38.000 --> 00:03:40.000]  定睜望天
[00:03:40.000 --> 00:03:42.000]  看見神的榮耀
[00:03:42.000 --> 00:03:46.000]  又看見耶穌站在神的右邊
[00:03:46.000 --> 00:03:49.000]  就說:我看見天開了
[00:03:49.000 --> 00:03:52.000]  人只站在神的右邊
